game_date,player,card,url
2005-03-28,Jason McAteer,yellow,https://www.tranmere-web.com/match/2004/2005-03-28
2005-03-28,Iain Hume,yellow,https://www.tranmere-web.com/match/2004/2005-03-28
2005-03-28,Eugene Dadi,red,https://www.tranmere-web.com/match/2004/2005-03-28
2005-03-26,Ian Sharps,yellow,https://www.tranmere-web.com/match/2004/2005-03-26
2005-03-26,Paul Linwood,yellow,https://www.tranmere-web.com/match/2004/2005-03-26
2005-03-26,Danny Harrison,yellow,https://www.tranmere-web.com/match/2004/2005-03-26
2005-03-12,Gareth Roberts,yellow,https://www.tranmere-web.com/match/2004/2005-03-12
2005-03-12,Ian Sharps,yellow,https://www.tranmere-web.com/match/2004/2005-03-12
2005-03-12,Ian Goodison,yellow,https://www.tranmere-web.com/match/2004/2005-03-12
2005-03-05,Jason McAteer,yellow,https://www.tranmere-web.com/match/2004/2005-03-05
2005-03-05,Iain Hume,yellow,https://www.tranmere-web.com/match/2004/2005-03-05
2005-03-05,Eugene Dadi,yellow,https://www.tranmere-web.com/match/2004/2005-03-05
2005-02-26,Ian Goodison,yellow,https://www.tranmere-web.com/match/2004/2005-02-26
2005-02-26,Mike Jackson,yellow,https://www.tranmere-web.com/match/2004/2005-02-26
2005-02-26,Ian Sharps,yellow,https://www.tranmere-web.com/match/2004/2005-02-26
2005-02-22,Iain Hume,yellow,https://www.tranmere-web.com/match/2004/2005-02-22
2005-02-05,Gareth Roberts,yellow,https://www.tranmere-web.com/match/2004/2005-02-05
2005-02-05,Ryan Taylor,yellow,https://www.tranmere-web.com/match/2004/2005-02-05
2005-02-05,Mark Rankine,yellow,https://www.tranmere-web.com/match/2004/2005-02-05
2005-02-05,Danny Harrison,yellow,https://www.tranmere-web.com/match/2004/2005-02-05
2005-02-05,Iain Hume,yellow,https://www.tranmere-web.com/match/2004/2005-02-05
2005-02-05,Gareth Roberts,red,https://www.tranmere-web.com/match/2004/2005-02-05
2005-01-29,John Achterberg,yellow,https://www.tranmere-web.com/match/2004/2005-01-29
2005-01-29,Ian Sharps,yellow,https://www.tranmere-web.com/match/2004/2005-01-29
2005-01-25,Ryan Taylor,yellow,https://www.tranmere-web.com/match/2004/2005-01-25
2005-01-25,Ian Goodison,yellow,https://www.tranmere-web.com/match/2004/2005-01-25
