game_date,ko_time,cup_round,cup_leg,cup_stage,cup_replay,cup_section,extra_time,pen_outcome,pen_score,pen_gf,pen_ga,agg_outcome,agg_score,agg_gf,agg_ga,away_goal_outcome,gg_outcome
1998-09-22,NA,2,2,2nd round 2nd leg,0,NA,0,NA,NA,NA,NA,W,4-3,4,3,NA,NA
1998-09-15,NA,2,1,2nd round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-08-18,NA,1,2,1st round 2nd leg,0,NA,0,NA,NA,NA,NA,W,4-0,4,0,NA,NA
1998-08-11,NA,1,1,1st round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-02-14,NA,5,NA,5th round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-01-24,NA,4,NA,4th round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-01-13,NA,3,NA,3rd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-10-14,NA,3,NA,3rd round,0,NA,1,L,5-6,6,5,NA,NA,NA,NA,NA,NA
1997-09-23,NA,2,2,2nd round 2nd leg,0,NA,0,NA,NA,NA,NA,W,2-1,2,1,NA,NA
1997-09-16,NA,2,1,2nd round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-08-26,NA,1,2,1st round 2nd leg,0,NA,0,NA,NA,NA,NA,W,4-3,4,3,NA,NA
1997-08-12,NA,1,1,1st round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-01-14,NA,3,NA,3rd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-09-24,NA,2,2,2nd round 2nd leg,0,NA,0,NA,NA,NA,NA,L,2-3,2,3,NA,NA
1996-09-17,NA,2,1,2nd round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-09-03,NA,1,2,1st round 2nd leg,0,NA,0,NA,NA,NA,NA,W,3-1,3,1,NA,NA
1996-08-21,NA,1,1,1st round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-01-06,NA,3,NA,3rd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-11-08,NA,3,NA,3rd round replay,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-10-24,NA,3,NA,3rd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-10-04,NA,2,2,2nd round 2nd leg,0,NA,0,NA,NA,NA,NA,W,4-1,4,1,NA,NA
1995-09-19,NA,2,1,2nd round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-05-17,NA,SF,2,Semi-final 2nd leg,0,NA,0,NA,NA,NA,NA,L,1-3,NA,NA,NA,NA
1995-05-14,NA,SF,1,Semi-final 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-01-29,NA,4,NA,4th round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-01-18,NA,3,NA,3rd round replay,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-01-07,NA,3,NA,3rd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994-11-15,NA,G,NA,Group A,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994-11-09,NA,3,NA,3rd round replay,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994-10-26,NA,3,NA,3rd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994-10-04,NA,G,NA,Group A,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994-09-27,NA,2,2,2nd round 2nd leg,0,NA,0,NA,NA,NA,NA,W,1-0,1,0,NA,NA
1994-09-20,NA,2,1,2nd round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994-09-06,NA,G,NA,Group A,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994-08-24,NA,G,NA,Group A,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994-05-18,NA,SF,2,Semi-final 2nd leg,0,NA,0,NA,NA,NA,NA,L,1-2,NA,NA,NA,NA
1994-05-15,NA,SF,1,Semi-final 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994-02-27,NA,SF,2,Semi-final 2nd leg,0,NA,1,L,4-5,5,4,D,4-4,4,4,NA,NA
1994-02-16,NA,SF,1,Semi-final 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994-01-29,NA,QF,NA,Quarter-final replay,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994-01-26,NA,QF,NA,Quarter-final,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994-01-08,NA,3,NA,3rd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-11-30,NA,4,NA,4th round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-10-26,NA,3,NA,3rd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-10-05,NA,2,2,2nd round 2nd leg,0,NA,0,NA,NA,NA,NA,W,6-2,6,2,NA,NA
1993-09-21,NA,2,1,2nd round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-09-07,NA,P,NA,Preliminary round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-08-31,NA,P,NA,Preliminary round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-05-19,NA,SF,2,Semi-final 2nd leg,0,NA,0,NA,NA,NA,NA,L,4-5,NA,NA,NA,NA
1993-05-16,NA,SF,1,Semi-final 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-01-23,NA,4,NA,4th round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-01-12,NA,3,NA,3rd round replay,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-01-02,NA,3,NA,3rd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-12-16,NA,G,NA,Group B,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-12-08,NA,G,NA,Group B,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-11-24,NA,G,NA,Group B,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-11-11,NA,G,NA,Group B,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-09-15,NA,P,NA,Preliminary round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
