season,ssn_tickets
2009/10,
2010/11,
2011/12,
2012/13,
2013/14,1874
2014/15,
2015/16,
2016/17,
2017/18,
2018/19,3505
2019/20,3970
2020/21,3071
2021/22,3561
2022/23,3430
2023/24,3549
2024/25,
