season,scorers
"1959/60","Finney,Rowley,Eglington 3"
"1959/60",""
"1959/60","Eglington"
"1959/60",""
"1959/60","Charlton,Finney,Williams K,Rowley,Mulkerrin,Eglington"
"1959/60","Rowley"
"1959/60","Williams K 2,Mulkerrin 2"
"1959/60","Finney,Williams K"
"1959/60","Eglington"
"1959/60",""
"1959/60",""
"1959/60","Jones 2,Eglington"
"1959/60",""
"1959/60",""
"1959/60","McDonnell"
"1959/60","Finney,Jones,McDonnell"
"1959/60","Eglington"
"1959/60","Charlton"
"1959/60","Williams K,McDonnell,Eglington"
"1959/60","Mulkerrin,Eglington 2"
"1959/60",""
"1959/60",""
"1959/60","Rowley,Eglington"
"1959/60","Williams K,Rowley,McDonnell 2"
"1959/60","Williams K,Rowley 2"
"1959/60","Rowley,McDonnell"
"1959/60",""
"1959/60","Finney"
"1959/60","Harrop"
"1959/60",""
"1959/60","Rowley 2,Mulkerrin 2"
"1959/60","Finney"
"1959/60","Williams K,Rowley"
"1959/60","Rowley,Mulkerrin"
"1959/60","Rowley,OG"
"1959/60",""
"1959/60","Williams K"
"1959/60","Williams K"
"1959/60","Barnett"
"1959/60","Barnett"
"1959/60","Bracewell,Barnett"
"1959/60","McDonnell,Barnett"
"1959/60",""
"1959/60","Williams K"
"1959/60",""
"1959/60","Rowley,Barnett"
"1959/60","Hood 2"
