season,scorers
"1955/56",""
"1955/56","Bell,Fleming,Tansey"
"1955/56",""
"1955/56","Kelly"
"1955/56",""
"1955/56",""
"1955/56","Davies,Speakman 2,OG"
"1955/56","Davies,Kidd"
"1955/56","McDevitt,Kelly,Speakman"
"1955/56","Kelly,Davies 3"
"1955/56",""
"1955/56",""
"1955/56","McDevitt,Davies"
"1955/56",""
"1955/56","Davies,Speakman"
"1955/56",""
"1955/56","Williams R"
"1955/56","Speakman"
"1955/56","Davies,Jones"
"1955/56","Speakman 2"
"1955/56","Jones 2"
"1955/56","McDevitt"
"1955/56",""
"1955/56","McDevitt,Walls,Kidd,Speakman"
"1955/56","McDevitt,Walls,Kidd"
"1955/56","Kieran"
"1955/56","Walls"
"1955/56",""
"1955/56","Fleming"
"1955/56",""
"1955/56","Stephens,Parnell"
"1955/56","Parnell,Speakman"
"1955/56",""
"1955/56","McDevitt,Jones 2,Stephens"
"1955/56","Jones,Speakman"
"1955/56",""
"1955/56","McDevitt,Stephens"
"1955/56",""
"1955/56","Bell"
"1955/56","Jones,Fleming"
"1955/56",""
"1955/56",""
"1955/56",""
"1955/56","Jones"
"1955/56",""
"1955/56","Kelly,Jones,Stephens 2,OG"
"1955/56",""
"1955/56",""
