season,scorers
"1982/83",""
"1982/83","Hutchinson"
"1982/83","Hamilton,Kerr"
"1982/83","Hamilton,Powell,Hutchinson"
"1982/83","Hamilton"
"1982/83",""
"1982/83","Griffiths"
"1982/83",""
"1982/83",""
"1982/83",""
"1982/83","Brown O"
"1982/83",""
"1982/83","Hamilton"
"1982/83","Hutchinson,Brown O"
"1982/83","Brown O"
"1982/83","Aspinall"
"1982/83",""
"1982/83","Kerr,Brown O"
"1982/83",""
"1982/83","Mungall,Kerr"
"1982/83","Kerr,Brown O 3"
"1982/83","Ferguson,Aspinall"
"1982/83","OG"
"1982/83","Brown O"
"1982/83","Aspinall,Griffiths"
"1982/83","Ferguson 2"
"1982/83","Griffiths,Powell"
"1982/83","Brown O 2"
"1982/83","Aspinall"
"1982/83","Ferguson,Kerr"
"1982/83",""
"1982/83",""
"1982/83","Ferguson,Brown O"
"1982/83","Griffiths"
"1982/83","Oliver,Aspinall,Kerr"
"1982/83","Kerr"
"1982/83",""
"1982/83","Wellings,Brown O"
"1982/83",""
"1982/83","Aspinall,Wellings"
"1982/83",""
"1982/83","Ferguson"
"1982/83",""
"1982/83","Ferguson,Brown O"
"1982/83","Aspinall,Brown O,Griffiths"
"1982/83","Brown O"
"1982/83",""
"1982/83",""
"1982/83","Kerr"
"1982/83","Kerr"
"1982/83",""
"1982/83","Brown O"
"1982/83","Wellings"
"1982/83",""
