season,scorers
"1926/27","Marquis,Charlton,Cartman"
"1926/27","Charlton"
"1926/27","Marquis 2,Charlton 2"
"1926/27","Charlton,Cartman"
"1926/27",""
"1926/27","Proctor,Cartman,OG"
"1926/27","Littlehales"
"1926/27",""
"1926/27","OG"
"1926/27","Charlton"
"1926/27","Charlton"
"1926/27","Marquis,Charlton,OG"
"1926/27","Marquis"
"1926/27","Flanagan 3"
"1926/27","Charlton"
"1926/27","Flanagan"
"1926/27","Marquis"
"1926/27","Littlehales"
"1926/27","Cartman"
"1926/27","Flanagan,Rimmer"
"1926/27","Marquis,Flanagan,Rimmer"
"1926/27","Flanagan,Jones"
"1926/27","Lewis,Flanagan 5,OG"
"1926/27","Flanagan,Jones"
"1926/27","Matthews,White,Proctor,Flanagan 2,Jones 2,Rimmer"
"1926/27",""
"1926/27","Rimmer"
"1926/27","Flanagan"
"1926/27","White,Flanagan 2"
"1926/27","Rimmer"
"1926/27","Flanagan,Jones"
"1926/27","Rimmer"
"1926/27","White,Marquis,Flanagan"
"1926/27","Flanagan,Jones,Rimmer"
"1926/27","Jones"
"1926/27","Rimmer"
"1926/27",""
"1926/27",""
"1926/27","Marquis,Flanagan,Rimmer 2"
"1926/27","Flanagan 2"
"1926/27",""
"1926/27","Charlton 2,Jones"
"1926/27","Marquis 2,Flanagan,Jones 3"
"1926/27","Flanagan,Cartman"
