season,scorers
"1952/53",""
"1952/53",""
"1952/53",""
"1952/53","Atkinson"
"1952/53",""
"1952/53",""
"1952/53","Eastham,Iceton"
"1952/53","Davies 2,Lamb,Done"
"1952/53","Done 3"
"1952/53","Lamb"
"1952/53","Davies,OG"
"1952/53","Done"
"1952/53","Mycock"
"1952/53","Davies,Iceton"
"1952/53",""
"1952/53","McDevitt 2"
"1952/53","McDevitt,Done,Iceton"
"1952/53",""
"1952/53","Davies,Atkinson 2,McDevitt,Iceton"
"1952/53","Atkinson 6,Done 2"
"1952/53",""
"1952/53","Done 2"
"1952/53","Williams R"
"1952/53","Done,Williams R"
"1952/53",""
"1952/53","Bainbridge,Done"
"1952/53","Davies"
"1952/53","Iceton"
"1952/53","Done"
"1952/53",""
"1952/53",""
"1952/53","Done,McDevitt"
"1952/53","Done 3,OG"
"1952/53",""
"1952/53","Harlock,Atkinson,Done"
"1952/53",""
"1952/53","McDevitt,Atkinson,Done,Iceton"
"1952/53",""
"1952/53",""
"1952/53","Atkinson"
"1952/53","Williams R,Eastham,Iceton"
"1952/53","Done"
"1952/53","Davies,Done"
"1952/53","Done 2"
"1952/53",""
"1952/53","Bainbridge,Done"
"1952/53","Done"
"1952/53","Done,OG"
"1952/53","Davies,Bainbridge 2,Jackson"
"1952/53","Bainbridge"
