season,scorers
"1989/90","Bishop,Malkin"
"1989/90","Bishop,Malkin 2,Muir"
"1989/90","McCarrick,Morrissey,Harvey"
"1989/90","Malkin,Muir 2"
"1989/90",""
"1989/90","Malkin,Fairclough"
"1989/90","Muir"
"1989/90","Muir"
"1989/90","Higgins,Morrissey,Malkin,Muir"
"1989/90","Hughes,Muir 2"
"1989/90","Morrissey,Malkin 2,Muir,Bishop 2"
"1989/90","Malkin"
"1989/90","Malkin,Muir 2"
"1989/90",""
"1989/90","Muir"
"1989/90",""
"1989/90","McCarrick,Bishop,Steel"
"1989/90","Muir"
"1989/90","Hughes"
"1989/90","Harvey 2,Steel,Muir"
"1989/90","Muir"
"1989/90","McCarrick,Bishop"
"1989/90",""
"1989/90","Vickers,Steel"
"1989/90","Martindale,Vickers,OG"
"1989/90",""
"1989/90","Martindale,Malkin"
"1989/90","Muir"
"1989/90",""
"1989/90","Harvey,Steel"
"1989/90",""
"1989/90","Muir"
"1989/90","McCarrick,Malkin"
"1989/90",""
"1989/90","Morrissey 2"
"1989/90",""
"1989/90",""
"1989/90","McNab,Morrissey,Muir"
"1989/90","McNab,Hughes,Steel,Muir,Malkin"
"1989/90","Harvey,Steel,Muir"
"1989/90","Malkin,Muir"
"1989/90","Steel,Muir"
"1989/90","McCarrick,Vickers,Malkin 2"
"1989/90","Bishop 2,Hughes,Muir"
"1989/90","McCarrick,Bishop,Muir"
"1989/90","Muir,Thomas"
"1989/90","Malkin,Muir"
"1989/90","Malkin"
"1989/90","Malkin 2"
"1989/90",""
"1989/90","Malkin,Harvey,Thomas"
"1989/90","Muir"
"1989/90","Steel,Muir"
"1989/90","Vickers,Harvey,OG"
"1989/90","Muir"
"1989/90","Mungall,Muir"
"1989/90","Malkin,Muir"
"1989/90","Muir"
"1989/90","Malkin"
"1989/90",""
"1989/90","Mungall,Muir"
"1989/90",""
"1989/90","Malkin,Muir"
"1989/90","Steel,Muir"
"1989/90",""
