season,scorers
"1992/93","Aldridge,Malkin"
"1992/93","Garnett,Aldridge 2"
"1992/93",""
"1992/93",""
"1992/93","Garnett,Muir"
"1992/93",""
"1992/93","Aldridge,Nevin,Muir"
"1992/93","Nevin"
"1992/93","Aldridge 2"
"1992/93",""
"1992/93","Morrissey,Nevin"
"1992/93","Brannan,Mungall,Aldridge"
"1992/93","Aldridge 2,Nevin"
"1992/93",""
"1992/93","Irons,Mungall,Aldridge 2"
"1992/93","Morrissey,OG"
"1992/93","Malkin"
"1992/93","Morrissey,Aldridge,McNab"
"1992/93","Nevin"
"1992/93",""
"1992/93","Irons,Nevin 2"
"1992/93",""
"1992/93","Malkin"
"1992/93","Aldridge 2"
"1992/93","Irons,Aldridge 3,Malkin"
"1992/93","Irons"
"1992/93","Irons,Morrissey"
"1992/93","Aldridge 3"
"1992/93","Morrissey"
"1992/93","Mungall"
"1992/93","Aldridge,Nevin"
"1992/93","Aldridge,Nevin"
"1992/93","Vickers,Morrissey 2"
"1992/93","Higgins,Aldridge 2,OG"
"1992/93","Nevin"
"1992/93","Higgins"
"1992/93","McNab"
"1992/93",""
"1992/93",""
"1992/93",""
"1992/93",""
"1992/93","Malkin 2,Nevin"
"1992/93","Nevin"
"1992/93","Morrissey,Malkin"
"1992/93",""
"1992/93",""
"1992/93",""
"1992/93","Martindale,Coyne T"
"1992/93","Nevin 2"
"1992/93","Irons 3"
"1992/93",""
"1992/93","Higgins,Irons"
"1992/93","Higgins,Proctor"
"1992/93",""
"1992/93","Aldridge 2"
"1992/93","Martindale,Nevin"
"1992/93","Malkin"
"1992/93","Morrissey"
"1992/93","Irons,Proctor,Nevin"
