season,scorers
"1950/51","Wheeler,Bainbridge 2,Rosenthal 4"
"1950/51","Bainbridge,Rosenthal"
"1950/51","Bainbridge"
"1950/51","Rosenthal,Iceton 2"
"1950/51","Eastham"
"1950/51","Harlock,Iceton"
"1950/51","Bainbridge"
"1950/51","Bainbridge,Iceton"
"1950/51","Wheeler"
"1950/51","Rosenthal 2"
"1950/51","Wheeler,Bainbridge"
"1950/51","Wheeler,Rosenthal,Williamson 2"
"1950/51","Rosenthal"
"1950/51","Rosenthal"
"1950/51","Wheeler,Rosenthal"
"1950/51",""
"1950/51","Bell,Wheeler,Rosenthal"
"1950/51","Harlock,Wheeler,Rosenthal"
"1950/51","Kieran"
"1950/51","Wheeler,Williamson,Bainbridge,Iceton 2"
"1950/51",""
"1950/51","Bainbridge"
"1950/51","Bainbridge,Doonan"
"1950/51","Bainbridge,Doonan,Williamson"
"1950/51","Bainbridge"
"1950/51","Harlock 2,Bainbridge,Williamson"
"1950/51","Harlock,Bainbridge 2,Eastham"
"1950/51","Bainbridge"
"1950/51","Rosenthal"
"1950/51","Williamson"
"1950/51","Harlock,Bainbridge,Dillon"
"1950/51",""
"1950/51","Bainbridge 2"
"1950/51",""
"1950/51","Kieran"
"1950/51","Dillon"
"1950/51","Rosenthal 2"
"1950/51","Dillon"
"1950/51","Dillon,Iceton,OG"
"1950/51","Eastham,Dillon 2"
"1950/51","Millington,Eastham,Iceton"
"1950/51","Rosenthal"
"1950/51","Eastham"
"1950/51","Dillon 2"
"1950/51",""
"1950/51","Dillon"
"1950/51","Kieran,Harlock"
"1950/51","Bell"
