season,scorers
"1946/47","Atkinson"
"1946/47","Bell,Atkinson"
"1946/47","Bridges"
"1946/47","Ashcroft,Williamson J"
"1946/47","Atkinson 2,Williamson J"
"1946/47","Williamson J"
"1946/47","Atkinson 2"
"1946/47","Burns"
"1946/47","OG"
"1946/47","Burns,Atkinson"
"1946/47",""
"1946/47",""
"1946/47",""
"1946/47","Harlock,Atkinson 2,Jones"
"1946/47","Rosenthal,Jones"
"1946/47",""
"1946/47","Harlock"
"1946/47","Salmon,Jones"
"1946/47","Burns,Atkinson,Rosenthal"
"1946/47","Burns,Atkinson 3,Jones"
"1946/47","Rosenthal"
"1946/47",""
"1946/47","Jones,Rice"
"1946/47","Jones 2,Birmingham"
"1946/47","Jones"
"1946/47","Atkinson"
"1946/47","Atkinson 2,Alexander"
"1946/47","Rosenthal 2"
"1946/47","Jones"
"1946/47","Ashcroft 3"
"1946/47","Atkinson,Jones"
"1946/47","Atkinson,Rosenthal"
"1946/47",""
"1946/47","Atkinson"
"1946/47","Atkinson 2,Rosenthal,Jones"
"1946/47",""
"1946/47","Jones,Cartwright"
"1946/47","Atkinson"
"1946/47","Cox,Rosenthal,Jones"
"1946/47",""
"1946/47","Jones"
"1946/47",""
"1946/47",""
