season,scorers
"1929/30","Naylor,Meston,Charlton,Waterston 2"
"1929/30","Waterston 3"
"1929/30","Meston"
"1929/30","Charlton"
"1929/30","Charlton,Waterston 3,Cropper"
"1929/30","Lewis,Waterston 2"
"1929/30",""
"1929/30","Charlton,Cropper 2"
"1929/30",""
"1929/30","Charlton,Waterston"
"1929/30","Cartman,Waterston"
"1929/30",""
"1929/30","Charlton"
"1929/30","Charlton 2,Waterston,Cartman"
"1929/30","Ridding 2"
"1929/30","Charlton 2,Waterston"
"1929/30","Meston,Waterston"
"1929/30",""
"1929/30",""
"1929/30",""
"1929/30","Ridding,Urmson 2"
"1929/30",""
"1929/30",""
"1929/30","Cartman,Urmson"
"1929/30","Charlton 2,Waterston"
"1929/30","Lewis,Charlton,Waterston"
"1929/30","Cartman,Charlton"
"1929/30","Ridding,Cropper"
"1929/30","Charlton 2,Ridding 3,Urmson 2"
"1929/30","Ridding"
"1929/30","Charlton,Ridding 4"
"1929/30","Charlton"
"1929/30","Meston 2,Cartman 2"
"1929/30","Waterston"
"1929/30","Barton,Meston 2"
"1929/30","Meston"
"1929/30","Charlton,Waterston,Urmson"
"1929/30","Charlton,Urmson"
"1929/30","Meston,Urmson"
"1929/30",""
"1929/30","Meston"
"1929/30",""
"1929/30","Urmson"
"1929/30","Watts"
