season,scorers
"1949/50",""
"1949/50","Bainbridge 2"
"1949/50","Bainbridge,McKay"
"1949/50","Bainbridge 2"
"1949/50","Eastham"
"1949/50",""
"1949/50","Atkinson"
"1949/50","Williamson 2"
"1949/50",""
"1949/50","Eastham,Wood"
"1949/50","Bainbridge"
"1949/50","Bainbridge"
"1949/50","Harlock,Bainbridge,Atkinson,Wood"
"1949/50","Bainbridge,Wood"
"1949/50","Atkinson"
"1949/50","Harlock,Bainbridge"
"1949/50","Wheeler,Wood"
"1949/50",""
"1949/50",""
"1949/50","Lamb,Bainbridge"
"1949/50",""
"1949/50","Williamson"
"1949/50",""
"1949/50",""
"1949/50","Wheeler,Lamb,Wood 2"
"1949/50",""
"1949/50","Bainbridge"
"1949/50",""
"1949/50","Atkinson 2,Rosenthal"
"1949/50","OG"
"1949/50","Wheeler,Bainbridge"
"1949/50","Williamson"
"1949/50","Williamson"
"1949/50",""
"1949/50","Bainbridge,OG"
"1949/50","Rosenthal"
"1949/50",""
"1949/50","Bainbridge,Atkinson"
"1949/50","Bainbridge,Rosenthal"
"1949/50",""
"1949/50","Harlock,Bainbridge"
"1949/50","Bainbridge 2"
"1949/50","Atkinson"
"1949/50",""
