season,scorers
"1981/82",""
"1981/82","Kerr,Brown O 2,OG"
"1981/82",""
"1981/82",""
"1981/82","Kelly,Kerr,Brown O"
"1981/82","Mungall"
"1981/82","Bramhall,Brown O"
"1981/82",""
"1981/82","Williams J"
"1981/82","Mountfield,Williams J"
"1981/82","Brown O 2"
"1981/82","Hamilton"
"1981/82","Brown O 2"
"1981/82","Brown O"
"1981/82","Morley,Brown O"
"1981/82","Hutchinson,Kerr"
"1981/82",""
"1981/82",""
"1981/82",""
"1981/82","Hutchinson"
"1981/82","Brown O"
"1981/82","Brown O"
"1981/82","Williams J"
"1981/82","Brown O"
"1981/82",""
"1981/82","Hamilton,Hutchinson"
"1981/82",""
"1981/82","Hutchinson,Craven"
"1981/82","Kerr 2,Craven"
"1981/82","Williams J,Hutchinson,Kerr"
"1981/82",""
"1981/82",""
"1981/82","Kerr"
"1981/82","Bramhall"
"1981/82","Kerr,Craven"
"1981/82","Bramhall"
"1981/82","Kerr"
"1981/82",""
"1981/82","Kerr,Craven"
"1981/82","Kerr"
"1981/82",""
"1981/82",""
"1981/82","Kerr 2"
"1981/82","Williams J"
"1981/82","Kerr 2"
"1981/82","Griffiths"
"1981/82","Burgess,Kerr,Craven"
"1981/82","Craven"
"1981/82",""
"1981/82","Williams J"
"1981/82","Craven,Ferguson"
"1981/82","Hutchinson,Brown O"
"1981/82","Morley"
"1981/82","Craven 2"
