season,scorers
"1993/94",""
"1993/94","Malkin"
"1993/94","Brannan"
"1993/94",""
"1993/94",""
"1993/94","Aldridge,Muir,Kenworthy"
"1993/94","Malkin"
"1993/94","Muir,Thomas"
"1993/94","Aldridge,Muir,Brannan,Thomas"
"1993/94",""
"1993/94","Aldridge 2,Nevin 3"
"1993/94","Brannan,Nevin"
"1993/94","Kenworthy,Muir"
"1993/94","Irons"
"1993/94","Malkin,Nevin"
"1993/94","Malkin"
"1993/94","Brannan,Nevin"
"1993/94","Irons,Vickers,Aldridge 2"
"1993/94",""
"1993/94","Muir 2,Nevin"
"1993/94",""
"1993/94","Aldridge,Nevin 2,Morrissey"
"1993/94","Jones G"
"1993/94","Aldridge 2,Malkin"
"1993/94","Brannan 2,Aldridge"
"1993/94","Aldridge,Nevin"
"1993/94","Aldridge"
"1993/94",""
"1993/94","Irons"
"1993/94",""
"1993/94","Brannan,Malkin"
"1993/94",""
"1993/94",""
"1993/94","Aldridge"
"1993/94","Malkin"
"1993/94","Malkin"
"1993/94","Nevin,Thomas"
"1993/94",""
"1993/94","Brannan,Aldridge,Malkin"
"1993/94","Nolan,Hughes,Aldridge"
"1993/94","McGreal"
"1993/94","Aldridge"
"1993/94","Malkin"
"1993/94",""
"1993/94","Aldridge 2"
"1993/94",""
"1993/94","Aldridge"
"1993/94","Brannan,O'Brien,Aldridge 2"
"1993/94","Aldridge"
"1993/94","Brannan,Garnett,Aldridge,Nevin"
"1993/94","Aldridge,Jones G"
"1993/94",""
"1993/94","Garnett,Irons,Muir"
"1993/94","Aldridge 2,Irons"
"1993/94","Brannan,Aldridge"
"1993/94","Aldridge,Muir"
"1993/94","Muir"
"1993/94",""
"1993/94","Nevin"
