season,scorers
"1956/57","Gwatkin"
"1956/57",""
"1956/57","Gwatkin,Kelly"
"1956/57","Spink,Kelly"
"1956/57","Spink"
"1956/57",""
"1956/57",""
"1956/57","Jones"
"1956/57",""
"1956/57","Jones"
"1956/57","Godwin"
"1956/57","Williams T,Dodd,McDevitt"
"1956/57",""
"1956/57","Dodd"
"1956/57","Rees 2"
"1956/57","Parnell"
"1956/57","Spink,Rees"
"1956/57",""
"1956/57","Davies"
"1956/57","Davies,Gwatkin,Godwin,Hill"
"1956/57",""
"1956/57","OG 2"
"1956/57","Kieran,Dodd,Fleming"
"1956/57","Dodd"
"1956/57",""
"1956/57","Gwatkin,Holder,McDevitt"
"1956/57","Gwatkin"
"1956/57","Gwatkin,Dodd 2"
"1956/57",""
"1956/57","Heydon,Dodd"
"1956/57","McDevitt,Dodd"
"1956/57","Rees"
"1956/57",""
"1956/57",""
"1956/57",""
"1956/57","Molyneux"
"1956/57",""
"1956/57",""
"1956/57",""
"1956/57","McDevitt 3,Dodd"
"1956/57","McDevitt,Dodd"
"1956/57","Kidd,Molyneux"
"1956/57",""
"1956/57","Kelly,Molyneux"
"1956/57",""
"1956/57",""
"1956/57",""
