season,scorers
"1927/28","Flanagan"
"1927/28","Charlton"
"1927/28","Waring 2,Jones"
"1927/28","Lewis,Rimmer"
"1927/28","Charlton,Waring"
"1927/28","Waring 2"
"1927/28","Waring"
"1927/28",""
"1927/28","Cartman,Charlton,Waring 2,Rimmer"
"1927/28","Charlton 2,Littlehales"
"1927/28","Charlton,Rimmer"
"1927/28","Waring,Rimmer"
"1927/28",""
"1927/28","Charlton 2,Waring"
"1927/28","Charlton 2,Waring"
"1927/28","Cartman,Waring 3,Rimmer"
"1927/28","Bamber,Rimmer 2"
"1927/28","Littlehales"
"1927/28","Waring"
"1927/28","Rimmer"
"1927/28","Littlehales"
"1927/28","Littlehales,Rimmer"
"1927/28","Cartman,Jones,Waring 6,Littlehales 2,OG"
"1927/28",""
"1927/28",""
"1927/28","Bedford,Charlton,Waring,Littlehales,Rimmer 2"
"1927/28","Bedford,Charlton"
"1927/28","Charlton,Waring 2,Littlehales"
"1927/28","Charlton,Flanagan,Littlehales"
"1927/28","Jones 2,Charlton,Flanagan,Urmson"
"1927/28","Littlehales"
"1927/28","Littlehales,Flanagan,Bevan"
"1927/28","Charlton,Flanagan"
"1927/28","Jones"
"1927/28","Charlton 3,Flanagan,Littlehales"
"1927/28","Jones 2,Charlton,Flanagan 3,Littlehales"
"1927/28","Flanagan,Bevan,Urmson"
"1927/28","Jones,Charlton,Littlehales"
"1927/28","Charlton,Flanagan"
"1927/28",""
"1927/28",""
"1927/28","Jones 2,Charlton 2,Flanagan"
"1927/28",""
"1927/28","Flanagan,Littlehales"
"1927/28","Beswick 2"
