season,scorers
"1991/92","Aldridge 2"
"1991/92","Irons,Aldridge 3"
"1991/92","Aldridge,Steel"
"1991/92","Aldridge 2,Steel 2"
"1991/92","Aldridge,Thomas"
"1991/92","Hughes,Malkin"
"1991/92","Vickers,Malkin,Thomas"
"1991/92","Brannan,Irons"
"1991/92",""
"1991/92","Higgins,Aldridge"
"1991/92","Aldridge"
"1991/92",""
"1991/92","Aldridge 3,Steel,Martindale,McNab"
"1991/92","Steel"
"1991/92","Aldridge,Steel,Malkin"
"1991/92",""
"1991/92","Aldridge"
"1991/92","Aldridge 3,Steel,Martindale"
"1991/92","Steel"
"1991/92","Aldridge"
"1991/92","Aldridge"
"1991/92","Irons,Aldridge"
"1991/92","Aldridge"
"1991/92","Irons,Aldridge 2"
"1991/92",""
"1991/92","Aldridge"
"1991/92",""
"1991/92","Morrissey"
"1991/92",""
"1991/92","Cooper"
"1991/92","Irons,Aldridge"
"1991/92","Irons"
"1991/92","Aldridge"
"1991/92",""
"1991/92","Malkin"
"1991/92",""
"1991/92","Muir"
"1991/92","Morrissey"
"1991/92",""
"1991/92","Morrissey 2,Aldridge,Malkin"
"1991/92","Aldridge"
"1991/92",""
"1991/92",""
"1991/92","Harvey,Aldridge"
"1991/92","Morrissey,Aldridge 2"
"1991/92","Irons,Aldridge 3"
"1991/92",""
"1991/92",""
"1991/92","Muir"
"1991/92","Nolan,Steel"
"1991/92","Morrissey,Aldridge 2"
"1991/92","Irons,Thomas"
"1991/92","Muir"
"1991/92",""
"1991/92","Muir"
"1991/92","Irons,Muir"
"1991/92","Irons"
"1991/92","Aldridge"
"1991/92","Aldridge"
