season,scorers
"1967/68",""
"1967/68","Pritchard,Yardley"
"1967/68","Yardley"
"1967/68","Yardley"
"1967/68","Pritchard 2"
"1967/68","Yardley 4"
"1967/68",""
"1967/68",""
"1967/68","Pritchard,Yardley"
"1967/68","King A"
"1967/68","Casey,Yardley 3"
"1967/68","Yardley"
"1967/68","Stevens,Pritchard,Williams"
"1967/68","Pritchard"
"1967/68",""
"1967/68","Yardley 2"
"1967/68","Yardley,Beamish"
"1967/68","Williams"
"1967/68","King A,Pritchard,Beamish"
"1967/68","Yardley 3"
"1967/68","Pritchard"
"1967/68","Yardley"
"1967/68","Yardley,Hudson 2"
"1967/68","Yardley,Hudson 3,Williams"
"1967/68","Hudson 2"
"1967/68",""
"1967/68","Yardley"
"1967/68","King A,Yardley"
"1967/68","Stevens,Yardley,MacNamee"
"1967/68","King A,MacNamee"
"1967/68","Beamish,Williams"
"1967/68","King A,MacNamee"
"1967/68","Yardley,Williams"
"1967/68","King A"
"1967/68","Yardley,Hudson"
"1967/68","Beamish"
"1967/68","Yardley,Beamish"
"1967/68","Hill"
"1967/68",""
"1967/68",""
"1967/68",""
"1967/68","Smith"
"1967/68","MacNamee,Beamish,Sinclair"
"1967/68","King A"
"1967/68","Pritchard"
"1967/68",""
"1967/68",""
"1967/68","Pritchard"
"1967/68",""
"1967/68",""
"1967/68","Sinclair,Pritchard"
"1967/68","Pritchard"
"1967/68",""
"1967/68","Hudson"
