season,scorers
"1965/66","Dyson 2"
"1965/66","King A"
"1965/66","Twist"
"1965/66","Manning,Dyson"
"1965/66","Dyson 2"
"1965/66","Dyson,Crawford"
"1965/66","Pritchard,Crawford"
"1965/66","Dyson"
"1965/66",""
"1965/66","Dyson 2"
"1965/66","King A,Manning 2,Dyson,OG"
"1965/66",""
"1965/66",""
"1965/66","Parnell"
"1965/66","Lornie 2,Manning,Dyson 2"
"1965/66","King A"
"1965/66","King A,Manning 2,Dyson 2,OG"
"1965/66","Pritchard,Manning"
"1965/66","Manning"
"1965/66",""
"1965/66",""
"1965/66","Crawford,Manning,Dyson"
"1965/66",""
"1965/66","Manning,Dyson 2,Sinclair 3"
"1965/66","Dyson"
"1965/66",""
"1965/66","Manning 2,Dyson,Crawford,A'Court 2"
"1965/66","Lornie,Crawford,Stanley"
"1965/66",""
"1965/66","King A 2,Dyson,Sinclair,A'Court"
"1965/66","Hill,Dyson,A'Court"
"1965/66","Pritchard,Dyson 2"
"1965/66","Manning,A'Court 3"
"1965/66","Dyson"
"1965/66","OG"
"1965/66","Dyson"
"1965/66","Manning"
"1965/66","Manning"
"1965/66","King A"
"1965/66","Lornie"
"1965/66",""
"1965/66","Parnell"
"1965/66",""
"1965/66","King A"
"1965/66","Hill,Manning 2,Dyson 2,Twist"
"1965/66","Hill,Dyson,Twist"
"1965/66","Manning,Dyson 3,Pritchard"
"1965/66","Manning,OG"
