season,scorers
"1976/77","James"
"1976/77","Moore,James 2"
"1976/77",""
"1976/77","Moore"
"1976/77",""
"1976/77","Tynan"
"1976/77",""
"1976/77","Kenny,Allen"
"1976/77","Tynan"
"1976/77","Allen"
"1976/77","Peplow"
"1976/77",""
"1976/77","Tynan,Allen"
"1976/77","Kenny,Moore"
"1976/77","Kenny"
"1976/77","Allen"
"1976/77",""
"1976/77",""
"1976/77","Young 2"
"1976/77",""
"1976/77","Young,Allen"
"1976/77","Allen"
"1976/77","Young,OG"
"1976/77","Palios,Allen"
"1976/77",""
"1976/77","Palios,Cliff,Moore,Allen"
"1976/77",""
"1976/77","Allen"
"1976/77","Peplow 2,Moore,Allen"
"1976/77",""
"1976/77",""
"1976/77",""
"1976/77","Kenny"
"1976/77",""
"1976/77","James"
"1976/77",""
"1976/77","Palios,Moore,James,Allen"
"1976/77",""
"1976/77","Moore"
"1976/77",""
"1976/77","Moore,Allen"
"1976/77",""
"1976/77","Parry,James"
"1976/77","Allen"
"1976/77","Cliff,Moore,Allen"
"1976/77","Flood,Allen"
"1976/77",""
"1976/77","Moore,James"
"1976/77","Allen"
"1976/77",""
