season,scorers
"1958/59","McDonnell 2,OG"
"1958/59","Rowley"
"1958/59",""
"1958/59","Rowley,Williams K"
"1958/59",""
"1958/59","Williams K,Rowley,McDonnell"
"1958/59","Williams K 3"
"1958/59","McDonnell"
"1958/59",""
"1958/59","Williams K 2,McDonnell 2"
"1958/59","Williams K 2,McDonnell"
"1958/59","Williams K,OG"
"1958/59",""
"1958/59",""
"1958/59","Dodd"
"1958/59","Williams K,Green"
"1958/59","Green,Eglington"
"1958/59","Eglington"
"1958/59","Rowley,OG"
"1958/59","Finney,Williams K 4,Rowley,Green,Eglington"
"1958/59","Rowley 2"
"1958/59","Rowley"
"1958/59","Rowley"
"1958/59","Williams K 2,Rowley 2,Green"
"1958/59",""
"1958/59","McDonnell 2"
"1958/59","McDonnell,Dodd 3"
"1958/59","McDonnell"
"1958/59","McDonnell"
"1958/59",""
"1958/59","Williams K,Rowley"
"1958/59","Williams K"
"1958/59","Williams K,Rowley 2,Eglington"
"1958/59","Rowley 2,Green"
"1958/59","Finney 2"
"1958/59","Rowley,Green,Eglington"
"1958/59",""
"1958/59","Rowley,McDonnell"
"1958/59","Rowley 2"
"1958/59",""
"1958/59","Williams K"
"1958/59","Williams K,Rowley"
"1958/59",""
"1958/59","Williams K,Rowley"
"1958/59","Williams K 2,McDonnell"
"1958/59","Finney,Williams K,Rowley 4,Eglington,OG 2"
"1958/59",""
"1958/59",""
