season,scorers
"1930/31","Watts 2,Kennedy J"
"1930/31","Dixon,Kennedy J"
"1930/31","Watts 2,Dixon"
"1930/31","Dixon"
"1930/31","Meston,Dixon"
"1930/31","Meston 2,Watts 2"
"1930/31","Watts 2,Dixon,Kennedy J 3,OG"
"1930/31","Dixon,Kennedy J"
"1930/31","Kennedy J,Urmson"
"1930/31","Watts,Dixon,Kennedy J"
"1930/31","Watts,Kennedy J"
"1930/31","Kennedy J"
"1930/31","Meston,Watts 2,Dixon 2,Kennedy J 2"
"1930/31","Watts,Kennedy J 2"
"1930/31","Watts 3,Dixon 2"
"1930/31","Meston,Kennedy J 2"
"1930/31","Lewis,Watts,Dixon,Urmson"
"1930/31","Watts,Urmson"
"1930/31",""
"1930/31","Watts,Dixon,Kennedy J 2"
"1930/31",""
"1930/31","Watts 2,Dixon 2,Kennedy J 2"
"1930/31","Watts,Kennedy J 3"
"1930/31","Lewis,Watts,Dixon 2,Kennedy J"
"1930/31","Watts"
"1930/31","Dixon"
"1930/31","Watts,Dixon 3,Kennedy J 4"
"1930/31","Meston,Dixon 2"
"1930/31",""
"1930/31","Kennedy J,Urmson"
"1930/31","Meston,Watts,Dixon"
"1930/31","Kennedy J"
"1930/31","Watts,Dixon 2"
"1930/31","Dixon,Kennedy J 2,Urmson"
"1930/31","Watts,Dixon 2,Kennedy J,Urmson"
"1930/31","Dixon 2"
"1930/31","Meston,Watts,Urmson"
"1930/31","Urmson 2"
"1930/31",""
"1930/31","Dixon,Kennedy J"
"1930/31","Barton"
"1930/31",""
"1930/31","Kennedy J"
"1930/31",""
