season,scorers
"1994/95",""
"1994/95","Aldridge 2,Nevin"
"1994/95","Aldridge,Malkin"
"1994/95","Aldridge"
"1994/95","Aldridge 3,Malkin"
"1994/95","Aldridge,Malkin"
"1994/95",""
"1994/95",""
"1994/95","O'Brien"
"1994/95","Aldridge,Malkin 2"
"1994/95","Brannan"
"1994/95","Malkin"
"1994/95",""
"1994/95","Aldridge"
"1994/95",""
"1994/95","Aldridge"
"1994/95","Aldridge 3"
"1994/95",""
"1994/95","Aldridge"
"1994/95","Morrissey"
"1994/95","Aldridge 4,Malkin 2"
"1994/95",""
"1994/95","Irons,Nevin"
"1994/95",""
"1994/95","Malkin"
"1994/95","Muir 2,Brannan"
"1994/95","Irons,Malkin"
"1994/95",""
"1994/95","Stevens,Mungall"
"1994/95",""
"1994/95","Jones G,Malkin 2"
"1994/95",""
"1994/95","Irons,Jones G"
"1994/95",""
"1994/95","Muir 2"
"1994/95",""
"1994/95","O'Brien,Muir,Malkin"
"1994/95","Brannan,Muir,Malkin"
"1994/95",""
"1994/95","Morrissey,Malkin 2"
"1994/95","Muir,Jones G"
"1994/95","Muir"
"1994/95","Nevin"
"1994/95","Muir 2,Nevin,Aldridge"
"1994/95","Garnett"
"1994/95",""
"1994/95","Morrissey,Aldridge"
"1994/95",""
"1994/95","Malkin"
"1994/95","Aldridge 2,Malkin,Irons"
"1994/95","Aldridge"
"1994/95","Nevin"
"1994/95",""
"1994/95",""
"1994/95","Aldridge"
"1994/95","Aldridge"
"1994/95","Irons"
"1994/95","Malkin"
"1994/95",""
