season,scorers
"1969/70","Yardley 2,Smith"
"1969/70","Beamish"
"1969/70","Yardley 2,Smith"
"1969/70","Beamish,Pritchard,Yardley"
"1969/70","MacNamee"
"1969/70","Yardley"
"1969/70","Yardley,Smith"
"1969/70","King A"
"1969/70","Smith"
"1969/70",""
"1969/70","Yardley 3"
"1969/70",""
"1969/70",""
"1969/70",""
"1969/70","Yardley"
"1969/70","Yardley,Smith,MacNamee 2,OG"
"1969/70",""
"1969/70",""
"1969/70","King A,Beamish"
"1969/70","Smith,Beamish"
"1969/70","Storton S,Smith"
"1969/70","Beamish,Yardley 2"
"1969/70","Beamish,Smith"
"1969/70","Smith"
"1969/70",""
"1969/70","Beamish,Scott"
"1969/70","Brodie,Scott,Smith"
"1969/70","Smith"
"1969/70","Smith,Beamish"
"1969/70",""
"1969/70","Beamish,MacNamee"
"1969/70",""
"1969/70",""
"1969/70",""
"1969/70","Smith"
"1969/70",""
"1969/70",""
"1969/70","Yardley"
"1969/70","King A"
"1969/70",""
"1969/70","Beamish"
"1969/70",""
"1969/70","King A"
"1969/70","Pritchard,Beamish,Yardley"
"1969/70",""
"1969/70","King A"
"1969/70","Yardley"
"1969/70","Yardley"
"1969/70","King A,Hinch,Gill"
"1969/70","Knapp"
"1969/70","Yardley"
"1969/70","Beamish,Hinch,Gill 3"
"1969/70",""
"1969/70","Beamish"
"1969/70","Yardley"
