season,scorers
"1990/91","Muir 2"
"1990/91","Vickers"
"1990/91","Muir"
"1990/91","Steel"
"1990/91","Morrissey 2,Steel,Muir"
"1990/91","Harvey"
"1990/91","Hughes,Muir 2"
"1990/91","McNab 2,Muir"
"1990/91","Morrissey"
"1990/91","McNab"
"1990/91","Hughes"
"1990/91",""
"1990/91","McCarrick,Bishop 3,Steel,Malkin"
"1990/91","McCarrick,Malkin"
"1990/91",""
"1990/91",""
"1990/91",""
"1990/91","Steel"
"1990/91","Morrissey,Steel"
"1990/91","Higgins,Harvey"
"1990/91","Morrissey,Steel,Muir 2"
"1990/91","Harvey"
"1990/91","Vickers,Irons"
"1990/91",""
"1990/91","Irons"
"1990/91","Steel"
"1990/91","Higgins"
"1990/91","Muir,Thomas,Morrissey"
"1990/91","Steel,Irons"
"1990/91","Brannan"
"1990/91","Morrissey,Steel 2"
"1990/91","Irons,Muir"
"1990/91","Muir,Thomas"
"1990/91",""
"1990/91","Muir 2"
"1990/91","OG"
"1990/91","Steel,Muir 2"
"1990/91","Irons"
"1990/91","Mungall"
"1990/91","Thomas"
"1990/91","Harvey,Muir 3"
"1990/91",""
"1990/91","Muir"
"1990/91","Muir,Morrissey"
"1990/91","Garnett"
"1990/91","Morrissey,Malkin"
"1990/91","Thomas"
"1990/91","Irons,Malkin"
"1990/91",""
"1990/91","Morrissey"
"1990/91",""
"1990/91",""
"1990/91","Morrissey"
"1990/91","Morrissey,Steel"
"1990/91","Vickers,Cooper"
"1990/91","Irons,OG"
"1990/91","Cooper"
"1990/91","Cooper 2"
"1990/91","Brannan"
"1990/91","Steel,Cooper"
"1990/91","Malkin"
