season,scorers
"1971/72","Beamish,Storton T"
"1971/72","Brodie"
"1971/72","Mathias"
"1971/72","Moore M,Beamish 2"
"1971/72",""
"1971/72",""
"1971/72","Beamish"
"1971/72",""
"1971/72",""
"1971/72","Storton T 2"
"1971/72",""
"1971/72","Coyne,Crossley"
"1971/72","Coyne,Beamish"
"1971/72","Beamish,Coyne"
"1971/72",""
"1971/72",""
"1971/72","Russell,Beamish"
"1971/72","Beamish"
"1971/72","Russell,King A"
"1971/72","Russell"
"1971/72","King A,Moore M,Crossley 2"
"1971/72","Moore M"
"1971/72","Beamish"
"1971/72","Storton T,Crossley"
"1971/72","Brodie,Beamish,Moore M,Crossley"
"1971/72","Russell,Beamish"
"1971/72",""
"1971/72","Beamish,Storton T,Crossley"
"1971/72","Crossley"
"1971/72",""
"1971/72","Beamish,Moore M,Storton T,Crossley"
"1971/72","Beamish"
"1971/72",""
"1971/72","Yeats,Beamish"
"1971/72",""
"1971/72","Moore M"
"1971/72","Beamish,Moore M 2,Crossley"
"1971/72",""
"1971/72","Beamish,OG"
"1971/72",""
"1971/72","Moore M,Manning"
"1971/72",""
"1971/72",""
"1971/72","Storton T 2,Maher"
"1971/72","King A,Storton T"
"1971/72",""
"1971/72","Fagan"
"1971/72","OG"
"1971/72","Moore M"
"1971/72","Yeats,Russell,Fagan"
"1971/72",""
"1971/72",""
"1971/72",""
"1971/72","Yeats,King A"
"1971/72",""
"1971/72","Moore M"
