season,scorers
"1922/23","Sharkey"
"1922/23","Thompson"
"1922/23","Thompson,Phillips,Moreton,Sharkey"
"1922/23","Rainford"
"1922/23","Rainford"
"1922/23","Rainford,Evans"
"1922/23",""
"1922/23",""
"1922/23",""
"1922/23",""
"1922/23","Moreton,OG"
"1922/23","Evans"
"1922/23",""
"1922/23",""
"1922/23",""
"1922/23",""
"1922/23","Thompson,Sharkey"
"1922/23","Hayes F"
"1922/23",""
"1922/23",""
"1922/23",""
"1922/23","Robinson J"
"1922/23","Campbell,Beswick,Hilton 2,Evans"
"1922/23",""
"1922/23","Crowther,Evans 2"
"1922/23","Beswick,OG"
"1922/23",""
"1922/23","Thompson"
"1922/23","Beswick"
"1922/23","Beswick,Crowther"
"1922/23",""
"1922/23","Sayer"
"1922/23","Beswick 2,Sayer 2"
"1922/23","Beswick,Sayer 2,Lomax"
"1922/23","Campbell,Sayer"
"1922/23","Sayer,Lomax"
"1922/23","Sayer"
"1922/23","Thompson,Beswick,Sayer"
"1922/23","OG"
