season,scorers
"1935/36",""
"1935/36","McLaren,Bell"
"1935/36","McLaren,Woodward,Urmson"
"1935/36","Bell"
"1935/36","MacDonald"
"1935/36","Bell 2"
"1935/36","Bell 2,Woodward"
"1935/36","Eden,MacDonald,Woodward"
"1935/36","McLaren,Urmson"
"1935/36",""
"1935/36","Bell"
"1935/36","Eden,Bell 3"
"1935/36",""
"1935/36","Bell 4,OG 2"
"1935/36","Bell"
"1935/36","Bell 2,Urmson"
"1935/36","Woodward 2,Urmson"
"1935/36","MacDonald 2,Bell,Urmson 2"
"1935/36","Eden,Bell 3,Urmson 2"
"1935/36","Eden"
"1935/36","OG"
"1935/36","MacDonald,Bell 9,Woodward 2,Urmson"
"1935/36","Woodward,Urmson,OG"
"1935/36",""
"1935/36",""
"1935/36","MacDonald,Bell,Woodward 2"
"1935/36","MacDonald,Bell 2,Woodward"
"1935/36","Bell,Urmson"
"1935/36","Bell,Urmson"
"1935/36","Bell,Woodward 2,Urmson"
"1935/36","Woodward,Urmson"
"1935/36","Baker 2,Woodward,Urmson 3"
"1935/36","Crompton"
"1935/36","Bell"
"1935/36","MacDonald,Bell,Woodward 2"
"1935/36","Spencer R"
"1935/36","Dellow 2,Owen 2,Crompton"
"1935/36","MacDonald"
"1935/36","Owen"
"1935/36",""
"1935/36",""
"1935/36",""
"1935/36","Woodward,MacDonald,Alcock"
"1935/36",""
"1935/36",""
"1935/36",""
"1935/36","Dellow,Eden,Owen"
