season,scorers
"1936/37","Jones 2,Almond 2,OG"
"1936/37",""
"1936/37","OG"
"1936/37",""
"1936/37","McLaren,Dellow,Almond"
"1936/37","Miller,OG"
"1936/37","Eden 2"
"1936/37","OG"
"1936/37",""
"1936/37","Dellow,Eden"
"1936/37","Waring,Almond"
"1936/37",""
"1936/37","Carter,Waring 2"
"1936/37","Almond"
"1936/37","Wood"
"1936/37",""
"1936/37",""
"1936/37","Wood 2"
"1936/37","Waring 2"
"1936/37","Dellow,Waring"
"1936/37","Dellow"
"1936/37","Wood"
"1936/37","Dellow,Jones,Waring 2,Eden"
"1936/37","Waring"
"1936/37",""
"1936/37","Dellow 3,Wood"
"1936/37","Waring 2,Wood"
"1936/37","Jones,Waring"
"1936/37","Dellow,Waring,Eden"
"1936/37","Dellow 2,Waring,Wood 2,Eden"
"1936/37",""
"1936/37",""
"1936/37","Davies,Dellow,Jones,Eden"
"1936/37","Dellow"
"1936/37",""
"1936/37","Dellow,Eden"
"1936/37",""
"1936/37",""
"1936/37","Waring"
"1936/37","OG"
"1936/37",""
"1936/37","Jones"
"1936/37","Eden 2,Jones,Wood 3"
