season,scorers
"1968/69","Casey,Yardley"
"1968/69",""
"1968/69","Yardley"
"1968/69","Casey,Yardley"
"1968/69","Yardley"
"1968/69","Yardley"
"1968/69","Beamish,Yardley"
"1968/69","Casey"
"1968/69",""
"1968/69","Yardley 2,King A"
"1968/69",""
"1968/69","MacNamee"
"1968/69",""
"1968/69",""
"1968/69","Gill,King A"
"1968/69","Smith,Beamish,Hudson"
"1968/69","Yardley,MacNamee 2"
"1968/69","Smith,Yardley"
"1968/69",""
"1968/69","Hudson"
"1968/69","Smith,Beamish"
"1968/69","Hudson,Sinclair"
"1968/69","Yardley 2,Sinclair"
"1968/69",""
"1968/69","Beamish"
"1968/69","Yardley 2,Sinclair 2"
"1968/69",""
"1968/69","Hudson,Beamish"
"1968/69",""
"1968/69","Casey,Hudson,Beamish 2"
"1968/69","Hudson"
"1968/69","Sinclair"
"1968/69","Casey,Pritchard,Sinclair"
"1968/69",""
"1968/69",""
"1968/69",""
"1968/69","King A"
"1968/69","Hudson,OG"
"1968/69",""
"1968/69","MacNamee"
"1968/69","Rowland,Beamish"
"1968/69","Moorcroft,Beamish"
"1968/69","King A,Smith"
"1968/69","Beamish"
"1968/69","King A,Rowland"
"1968/69","King A,Smith 2,Beamish 3"
"1968/69","Rowland,Smith 2,Beamish,MacNamee"
"1968/69",""
"1968/69","Smith 2"
"1968/69",""
"1968/69",""
"1968/69","MacNamee"
