season,scorers
"1978/79","McAuley"
"1978/79","O'Neil"
"1978/79","Peplow"
"1978/79","Peplow"
"1978/79","Cliff"
"1978/79",""
"1978/79","Peplow"
"1978/79","Evans,Moore 2"
"1978/79",""
"1978/79","Moore,Evans"
"1978/79",""
"1978/79",""
"1978/79","O'Neil,Bramhall,Moore 3,Peplow"
"1978/79","Evans,Bramhall"
"1978/79",""
"1978/79","Moore"
"1978/79",""
"1978/79","O'Neil"
"1978/79",""
"1978/79","Peplow"
"1978/79","Moore,McAuley"
"1978/79",""
"1978/79","Moore"
"1978/79",""
"1978/79","Craven,Peplow"
"1978/79",""
"1978/79","Evans,Peplow"
"1978/79","Parry,Moore"
"1978/79","Evans"
"1978/79","Kerr"
"1978/79","Kerr"
"1978/79","Postlewhite"
"1978/79",""
"1978/79",""
"1978/79",""
"1978/79","Evans,OG"
"1978/79","Kerr,Palios"
"1978/79","Kerr"
"1978/79",""
"1978/79","Evans"
"1978/79","Evans"
"1978/79",""
"1978/79",""
"1978/79","Craven"
"1978/79","Evans"
"1978/79","Evans,Kerr"
"1978/79","Thomas"
"1978/79",""
"1978/79","Kerr"
"1978/79","Thomas"
"1978/79","Peplow"
