season,scorers
"1947/48","Curran,Jones"
"1947/48","Jones"
"1947/48","Atkinson,Jones"
"1947/48","Atkinson"
"1947/48","Atkinson 2,Curran"
"1947/48","Harlock,Atkinson,Curran"
"1947/48","Alldis,Atkinson 2,Leeming"
"1947/48","Jones"
"1947/48","Harlock"
"1947/48",""
"1947/48","Harlock,Lamb,Bridges,Jones"
"1947/48","Bridges"
"1947/48",""
"1947/48","Curran 2"
"1947/48",""
"1947/48","Curran,Bridges"
"1947/48",""
"1947/48","Harlock,Bridges"
"1947/48","Bridges,Leeming"
"1947/48",""
"1947/48","Atkinson,Curran"
"1947/48",""
"1947/48","Connor,Atkinson,Bridges"
"1947/48",""
"1947/48",""
"1947/48","Lamb,OG"
"1947/48",""
"1947/48","Lamb,Atkinson,Bridges 2"
"1947/48","Harlock,Atkinson"
"1947/48","Bridges"
"1947/48","Lamb,Atkinson"
"1947/48","Atkinson 2"
"1947/48","Lamb 2"
"1947/48",""
"1947/48",""
"1947/48",""
"1947/48",""
"1947/48","Atkinson 2"
"1947/48",""
"1947/48","Alexander"
"1947/48","Cox"
"1947/48",""
"1947/48",""
"1947/48","Connor"
