season,scorers
"1925/26","Roberts,Marquis"
"1925/26",""
"1925/26","Matthews,Chalmers"
"1925/26","Matthews,White,Marquis"
"1925/26",""
"1925/26","Marquis 2"
"1925/26","White,Marquis 2"
"1925/26",""
"1925/26",""
"1925/26",""
"1925/26","Stuart,Marquis,White 2,Proctor"
"1925/26",""
"1925/26","Marquis,White"
"1925/26","Chalmers"
"1925/26","White,Chalmers"
"1925/26","Marquis,White"
"1925/26",""
"1925/26","Proctor"
"1925/26","Proctor"
"1925/26",""
"1925/26","Marquis,Proctor,Chalmers"
"1925/26","Marquis 2"
"1925/26","Beswick,Marquis,Proctor"
"1925/26","Fogg"
"1925/26","Marquis"
"1925/26","White,Proctor"
"1925/26","Campbell,White"
"1925/26","White 2"
"1925/26",""
"1925/26","Beswick 2,Cartman"
"1925/26","Stuart,White"
"1925/26","Moreton"
"1925/26","Marquis,Charlton 2"
"1925/26","Marquis 2"
"1925/26","Marquis,Charlton"
"1925/26","Stuart,Cartman,OG"
"1925/26","Marquis,Littlehales,Proctor,Cartman"
"1925/26","Marquis,Littlehales 2"
"1925/26","Littlehales"
"1925/26",""
"1925/26",""
"1925/26","Marquis"
"1925/26","Marquis,Proctor 2"
"1925/26","White,Proctor 3"
