season,scorers
"1984/85","",""
"1984/85","Clarke,Clayton"
"1984/85","Aspinall 2,Clarke"
"1984/85","Clayton,Anderson"
"1984/85","Clayton 2"
"1984/85",""
"1984/85","Clayton"
"1984/85","Williams G"
"1984/85","Clarke 2,Clayton"
"1984/85","Williams J,Clarke,Clayton 2"
"1984/85","Clayton"
"1984/85",""
"1984/85","Clarke"
"1984/85","Clayton 2,Anderson"
"1984/85","Edwards,Clarke,Clayton"
"1984/85",""
"1984/85","Clarke,Clayton 2"
"1984/85","Clarke,Clayton"
"1984/85","McMullen"
"1984/85","Edwards,Clarke 3,Clayton 2,Anderson"
"1984/85","Clayton"
"1984/85","Williams G,Williams J,Clarke"
"1984/85",""
"1984/85","Edwards 2,Clarke 2"
"1984/85","Rodaway,Clayton 2"
"1984/85","Kelly"
"1984/85",""
"1984/85","Kelly,Clayton"
"1984/85","Williams G,Clarke 2,Clayton"
"1984/85","Aspinall"
"1984/85","Clayton"
"1984/85","Williams G,Clarke,Clayton,Palios"
"1984/85","Clarke"
"1984/85","Palios"
"1984/85",""
"1984/85","Edwards,Hilditch,Clayton"
"1984/85","Ferguson"
"1984/85","Aspinall,Clayton"
"1984/85",""
"1984/85","Williams J,Palios,Clarke"
"1984/85","Clarke,Anderson"
"1984/85","Clarke 2,Clayton 2"
"1984/85","Clarke"
"1984/85","Williams G,Clarke,Clayton 2"
"1984/85","Williams G,Clayton,Anderson"
"1984/85","Clayton,Aspinall"
"1984/85","Clarke"
"1984/85",""
"1984/85","Williams G"
"1984/85",""
"1984/85","Aspinall,Clarke"
"1984/85","Clayton 3"
"1984/85","Palios,Aspinall"
"1984/85","Clarke 2,Clayton"
"1984/85","Williams J"
