season,scorers
"1933/34","Whitehurst 2,Woodward 3"
"1933/34",""
"1933/34","Mackay,Watts,Urmson"
"1933/34","Watts 2,Whitehurst"
"1933/34","Watts,Whitehurst"
"1933/34","Whitehurst,Woodward"
"1933/34",""
"1933/34",""
"1933/34","Bell"
"1933/34","Bell 4,Woodward"
"1933/34","Bell 2"
"1933/34","Bell"
"1933/34",""
"1933/34","Meacock,Bell 3,Urmson 2"
"1933/34",""
"1933/34","Bell 4,Spencer E 2,Urmson"
"1933/34","Bell"
"1933/34","Pearson,Bell 2,Woodward"
"1933/34","Bell,Urmson"
"1933/34","Meacock,Bell 3,Woodward"
"1933/34","Urmson"
"1933/34","Bell,Urmson"
"1933/34","Bell,Urmson"
"1933/34","Watts,Woodward,Urmson"
"1933/34","Hunt,Bell,Urmson 2"
"1933/34","Woodward,Urmson"
"1933/34","Meacock"
"1933/34","Bell,Urmson"
"1933/34",""
"1933/34","Hunt,Bell 2,Urmson"
"1933/34",""
"1933/34","Barton"
"1933/34","Bell"
"1933/34","Woodward 2,Pennington"
"1933/34","Bell 3"
"1933/34","Bell 2"
"1933/34","Woodward"
"1933/34","Brown,Woodward"
"1933/34","Bell 2,Woodward"
"1933/34","Brown,Urmson 2"
"1933/34","Woodward"
"1933/34","Bell,Urmson 2"
"1933/34","Urmson"
"1933/34","Watson"
"1933/34","Bell 3"
"1933/34","Urmson"
