season,scorers
"1931/32","Watts,Dixon"
"1931/32",""
"1931/32","Meston,Watts,Dixon,Kennedy J,Urmson"
"1931/32",""
"1931/32","Watts 2,Dixon 2,Urmson 2"
"1931/32","Dixon,OG"
"1931/32","Kennedy J"
"1931/32","Meston 2,Fishwick,Whitehurst 4,Urmson"
"1931/32","Meston"
"1931/32","Fishwick,Kennedy J,Urmson"
"1931/32","Meston"
"1931/32","Whitehurst,Fishwick"
"1931/32","Lewis,Urmson"
"1931/32","Dixon,OG"
"1931/32","Meston 2,Dixon,Kennedy J 2"
"1931/32","Dixon,Whitehurst,Urmson"
"1931/32","Watts,Dixon 2,Whitehurst,OG"
"1931/32","Meston,Dixon"
"1931/32","Dixon,Whitehurst,Urmson,OG"
"1931/32","Meston,Watts 5,Dixon 2,Whitehurst"
"1931/32","Lewis,Meston,Watts,Dixon,Urmson 2"
"1931/32","Meston"
"1931/32","Dixon 2"
"1931/32","Watts,Dixon"
"1931/32","Watts,Whitehurst 2"
"1931/32","Whitehurst"
"1931/32","Kennedy J,Urmson"
"1931/32",""
"1931/32","Watts,Dixon"
"1931/32","Barton,Kennedy J"
"1931/32","Watts 2,OG"
"1931/32","Fishwick"
"1931/32","Dixon,Urmson 2"
"1931/32","Meston 2,Bell 2,Dixon,Urmson"
"1931/32",""
"1931/32","Bell"
"1931/32","Bell"
"1931/32",""
"1931/32","Fishwick,Kennedy J 2,Urmson 2"
"1931/32","Bell 2,Kennedy J,OG"
"1931/32","Bell 3"
"1931/32",""
"1931/32","Bell 3,Whitehurst"
"1931/32","Dixon,Urmson"
