season,scorers
"1924/25","Campbell,Littlehales"
"1924/25",""
"1924/25","Brown"
"1924/25",""
"1924/25","Dean"
"1924/25",""
"1924/25",""
"1924/25","Moreton,Dean"
"1924/25","Dean"
"1924/25","Dean 2"
"1924/25","Sayer,Dean 3"
"1924/25","Dean"
"1924/25",""
"1924/25","Cartman"
"1924/25","Campbell,Littlehales"
"1924/25","Stuart,Littlehales"
"1924/25","Sayer"
"1924/25",""
"1924/25","Brown,Dean 2,Littlehales 2"
"1924/25","Dean 2,Sayer"
"1924/25",""
"1924/25","Dean 2"
"1924/25","Dean"
"1924/25",""
"1924/25","Littlehales"
"1924/25",""
"1924/25","Fogg,Dean 2,Littlehales 2"
"1924/25","Dean"
"1924/25","Fogg,Dean 3"
"1924/25",""
"1924/25","Dean"
"1924/25","Littlehales"
"1924/25","Dean 3"
"1924/25","Dean"
"1924/25","Halstead,Fogg,Rimmer"
"1924/25","Stuart,Littlehales"
"1924/25",""
"1924/25","Littlehales"
"1924/25","Sayer,Cartman"
"1924/25","Stuart"
"1924/25","Jackson J"
"1924/25","Stuart,Brown"
"1924/25","Fogg,Sayer"
"1924/25","Fogg"
"1924/25",""
"1924/25",""
