season,scorers
"1953/54","Done,Iceton"
"1953/54","Done"
"1953/54","Done"
"1953/54","McDevitt,Bainbridge,Atkinson,Done 2"
"1953/54",""
"1953/54",""
"1953/54","Done"
"1953/54","McDevitt,Done 3,Mycock,OG"
"1953/54","Done"
"1953/54",""
"1953/54","Davies R"
"1953/54","McDevitt,Done"
"1953/54","Done 2"
"1953/54","Williams R"
"1953/54",""
"1953/54","McDevitt"
"1953/54","Atkinson 2"
"1953/54","Davies R,Atkinson"
"1953/54",""
"1953/54","Done 2"
"1953/54","Millington"
"1953/54","Done"
"1953/54","Williams R,Done"
"1953/54","Williams R 2,Done 3"
"1953/54",""
"1953/54",""
"1953/54","Jolley 2"
"1953/54","Atkinson 3"
"1953/54","Williams R"
"1953/54","Bainbridge,Done"
"1953/54","Atkinson"
"1953/54",""
"1953/54","Done"
"1953/54","Done"
"1953/54","Williams R,Done"
"1953/54",""
"1953/54","Bainbridge"
"1953/54","Bainbridge"
"1953/54","Atkinson,Woan"
"1953/54","Atkinson,Williams T"
"1953/54",""
"1953/54","Atkinson"
"1953/54","Done,Woan"
"1953/54","Done"
"1953/54","Done"
"1953/54","Williams R,Bainbridge,Done 2"
"1953/54","Atkinson"
"1953/54",""
"1953/54","Done"
"1953/54","Done"
"1953/54","Done"
