season,game_no,game_date,player_name,shirt_no,role,min_on,min_off
1987/88,27,1987-12-15,Steve Craven,14,sub
1987/88,28,1987-12-18,Kenny McKenna,10,starter
1987/88,28,1987-12-18,Eddie Murray,11,starter
1987/88,28,1987-12-18,Johnny Morrissey,12,sub
1987/88,28,1987-12-18,Steve Craven,14,sub
1987/88,29,1987-12-26,Dave Martindale,4,starter
1987/88,29,1987-12-26,Andy Thorpe,12,sub
1987/88,30,1987-12-28,Dave Martindale,4,starter
1987/88,30,1987-12-28,Gary Williams,12,sub
1987/88,31,1988-01-01,Dave Martindale,4,starter
1987/88,31,1988-01-01,Gary Williams,12,sub
1987/88,36,1988-02-06,Ronnie Moore,5,starter
1987/88,36,1988-02-06,Eddie Murray,12,sub
1987/88,38,1988-02-20,Steve Mungall,11,starter
1987/88,38,1988-02-20,Gary Williams,12,sub
1987/88,39,1988-02-26,Ronnie Moore,5,starter
1987/88,39,1988-02-26,Eddie Murray,12,sub
1987/88,40,1988-03-01,Dave Martindale,4,starter
1987/88,40,1988-03-01,Ronnie Moore,5,starter
1987/88,40,1988-03-01,Eddie Murray,12,sub
1987/88,40,1988-03-01,Mark Hughes,14,sub
1987/88,42,1988-03-12,Dave Martindale,4,starter
1987/88,42,1988-03-12,Gary Williams,12,sub
1987/88,44,1988-03-25,Johnny Morrissey,7,starter
1987/88,44,1988-03-25,Gary Williams,12,sub
1987/88,45,1988-04-02,Dave Martindale,4,starter
1987/88,45,1988-04-02,Ronnie Moore,5,starter
1987/88,45,1988-04-02,Gary Williams,12,sub
1987/88,45,1988-04-02,Eddie Bishop,14,sub
1987/88,46,1988-04-04,Ronnie Moore,5,starter
1987/88,46,1988-04-04,Gary Williams,12,sub
1987/88,49,1988-04-25,Ronnie Moore,5,starter
1987/88,49,1988-04-25,Jimmy Harvey,8,starter
1987/88,49,1988-04-25,Eddie Murray,12,sub
1987/88,49,1988-04-25,Eddie Bishop,14,sub
1987/88,50,1988-04-30,Steve Vickers,6,starter
1987/88,50,1988-04-30,Steve Mungall,11,starter
1987/88,50,1988-04-30,Eddie Murray,12,sub
1987/88,50,1988-04-30,Shaun Garnett,14,sub
1987/88,51,1988-05-02,Jimmy Harvey,8,starter
1987/88,51,1988-05-02,Eddie Bishop,12,sub
1987/88,52,1988-05-07,Johnny Morrissey,7,starter
1987/88,52,1988-05-07,Eddie Murray,12,sub
1988/89,2,1988-08-29,Dave Martindale,4,starter
1988/89,2,1988-08-29,Kenny McKenna,12,sub
1988/89,4,1988-09-05,Dave Higgins,2,starter,,50
1988/89,4,1988-09-05,Ronnie Moore,5,starter
1988/89,4,1988-09-05,Kenny McKenna,12,sub,50,
1988/89,4,1988-09-05,Mark McCarrick,14,sub
1988/89,6,1988-09-16,Dave Martindale,4,starter
1988/89,6,1988-09-16,Mark Hughes,5,starter
1988/89,6,1988-09-16,Kenny McKenna,12,sub
1988/89,6,1988-09-16,Gary Williams,14,sub
1988/89,7,1988-09-19,Eddie Bishop,4,starter
1988/89,7,1988-09-19,John Smith,14,sub
1988/89,8,1988-09-23,Eddie Bishop,4,starter
1988/89,8,1988-09-23,Kenny McKenna,12,sub
1988/89,11,1988-10-04,Dave Higgins,2,starter
1988/89,11,1988-10-04,Chris Malkin,12,sub
1988/89,12,1988-10-07,Eddie Bishop,4,starter
1988/89,12,1988-10-07,Johnny Morrissey,7,starter
1988/89,12,1988-10-07,Chris Malkin,12,sub
1988/89,12,1988-10-07,Dave Martindale,14,sub
1988/89,14,1988-10-15,Johnny Morrissey,7,starter
1988/89,14,1988-10-15,Eddie Murray,12,sub
1988/89,17,1988-10-29,Eddie Bishop,4,starter
1988/89,17,1988-10-29,Johnny Morrissey,7,starter
1988/89,17,1988-10-29,Eddie Murray,12,sub
1988/89,17,1988-10-29,Dave Martindale,14,sub
1988/89,19,1988-11-04,Mark McCarrick,3,starter
1988/89,19,1988-11-04,Dave Martindale,14,sub
1988/89,20,1988-11-07,Jimmy Harvey,8,starter
1988/89,20,1988-11-07,Dave Martindale,14,sub
1988/89,22,1988-11-19,Ronnie Moore,5,starter
1988/89,24,1988-11-25,Johnny Morrissey,7,starter
1988/89,24,1988-11-25,Jimmy Harvey,8,starter
1988/89,24,1988-11-25,Gary Williams,12,sub
1988/89,24,1988-11-25,Chris Malkin,14,sub
1988/89,25,1988-11-29,Ronnie Moore,5,starter
1988/89,25,1988-11-29,Eddie Murray,7,starter
1988/89,25,1988-11-29,Chris Malkin,12,sub
1988/89,25,1988-11-29,Gary Williams,14,sub
1988/89,26,1988-12-02,Ronnie Moore,5,starter
1988/89,26,1988-12-02,Gary Williams,12,sub
1988/89,27,1988-12-05,Mark Hughes,6,starter
1988/89,27,1988-12-05,Jimmy Harvey,12,sub
1988/89,28,1988-12-10,Jimmy Harvey,8,starter
1988/89,28,1988-12-10,Eddie Bishop,12,sub
1988/89,29,1988-12-13,Johnny Morrissey,7,starter
1988/89,29,1988-12-13,Chris Malkin,14,sub
1988/89,30,1988-12-16,Jimmy Harvey,8,starter
1988/89,30,1988-12-16,Eddie Bishop,12,sub
1988/89,31,1988-12-26,Dave Martindale,4,starter
