game_date,shirt_no,player_name,role,min_off,min_on,off_for,on_for
2016-10-15,25,Mitch Duggan,starter,73,,14,
2016-10-15,18,Ben Tollitt,starter,64,,7,
2016-10-15,9,Andy Cook,starter,,,,
2016-10-15,17,Jake Kirby,sub,,46,,8
2016-10-15,7,Adam Mekki,sub,,64,,18
2016-10-15,14,Darren Stephenson,sub,,73,,25
2017-10-14,1,Scott Davies,starter,,,
2017-10-14,5,Steve McNulty,starter,,,
2017-10-14,3,Liam Ridehalgh,starter,,,
2017-10-14,4,Ritchie Sutton,starter,,,
2017-10-14,2,Adam Buxton,starter,,,
2017-10-14,24,Jeff Hughes,starter,,,
2017-10-14,15,Ollie Norburn,starter,,,
2017-10-14,18,Dylan Mottley-Henry,starter,65,,20
2017-10-14,11,Connon Jennings,starter,,,
2017-10-14,9,Andy Cook,starter,65,,22,
2017-10-14,10,James Norwood,starter,90,,19
2017-10-14,22,Gerry McDonagh,sub,,65,,9
2017-10-14,20,Mitch Duggan,sub,,65,,18
2017-10-14,19,Andy Mangan,sub,,90,,10
