season,scorers
"1970/71","Beamish"
"1970/71","Yardley,Hinch"
"1970/71",""
"1970/71","Beamish 3,King A"
"1970/71","Yardley,OG"
"1970/71","Yardley"
"1970/71","Hinch,Gill"
"1970/71","Yardley"
"1970/71",""
"1970/71",""
"1970/71","Hinch"
"1970/71","Hinch"
"1970/71",""
"1970/71","Gill"
"1970/71","Hinch"
"1970/71","Moore M"
"1970/71","Brodie,Moore M,Hinch"
"1970/71",""
"1970/71","Joy,Beamish,Moore M,Hinch"
"1970/71","Moore M 2"
"1970/71",""
"1970/71",""
"1970/71","Gill"
"1970/71",""
"1970/71",""
"1970/71",""
"1970/71","Beamish 3,Hinch 2"
"1970/71","Beamish"
"1970/71",""
"1970/71","Crossley,Beamish,Moore M"
"1970/71",""
"1970/71","Hinch"
"1970/71",""
"1970/71","Moore M,Brodie"
"1970/71",""
"1970/71",""
"1970/71","Dempsey,Moore M,Gill"
"1970/71","Moore M 2"
"1970/71","Beamish"
"1970/71",""
"1970/71","Crossley"
"1970/71","Crossley 2,Storton T"
"1970/71","Beamish"
"1970/71",""
"1970/71",""
"1970/71","OG"
"1970/71",""
"1970/71","Beamish"
"1970/71",""
"1970/71",""
"1970/71",""
"1970/71",""
"1970/71","Brodie"
