season,scorers
"1961/62","Arnell"
"1961/62","Campbell L"
"1961/62","Neill"
"1961/62","Jackson P,Arnell,Campbell L"
"1961/62","Finney,Jackson D,Gubbins"
"1961/62","Finney"
"1961/62","Arnell 3"
"1961/62","Gubbins,Arnell 2"
"1961/62",""
"1961/62","Gubbins,Arnell 3"
"1961/62","Gubbins,Arnell"
"1961/62",""
"1961/62",""
"1961/62","Finney"
"1961/62","Finney,Frye,Arnell"
"1961/62","Arnell,Gubbins 2"
"1961/62","Frye,Arnell"
"1961/62","Gubbins"
"1961/62","Frye,Arnell"
"1961/62","Finney,Frye,Gubbins 2,Anders"
"1961/62","Gubbins 2"
"1961/62","King J,Gubbins"
"1961/62",""
"1961/62","Frye"
"1961/62",""
"1961/62","Arnell"
"1961/62",""
"1961/62","Gubbins 2,Frye"
"1961/62",""
"1961/62","Arnell"
"1961/62","Gubbins 2,Arnell 3"
"1961/62","Neill,Frye,Finney"
"1961/62","OG"
"1961/62","Gubbins,Arnell D"
"1961/62",""
"1961/62","Byrne,Gubbins"
"1961/62","Byrne,Gubbins,Arnell 2"
"1961/62","Gubbins"
"1961/62",""
"1961/62","Finney,Byrne"
"1961/62","Gubbins"
"1961/62",""
"1961/62","Byrne,Arnell 2"
"1961/62","Arnell 2"
"1961/62",""
"1961/62",""
