season,scorers
"1985/86","Worthington"
"1985/86","Worthington 3,Clayton 3"
"1985/86","Clayton,Anderson"
"1985/86","Worthington"
"1985/86","Worthington,Anderson"
"1985/86",""
"1985/86","OG"
"1985/86","Sinclair,Muir,Worthington"
"1985/86","Worthington"
"1985/86","Worthington 2,Muir"
"1985/86",""
"1985/86","Morrissey,Worthington"
"1985/86","Morrissey"
"1985/86","Muir,Anderson"
"1985/86","Rodaway"
"1985/86","Rodaway,Muir"
"1985/86","Morrissey,Worthington 2,Muir 4"
"1985/86","Miller"
"1985/86","Rodaway,Worthington"
"1985/86","Muir,Anderson"
"1985/86","Rodaway,Worthington"
"1985/86","Muir"
"1985/86",""
"1985/86","Williams G,Ashcroft"
"1985/86","Morrissey"
"1985/86","Anderson"
"1985/86","Williams G,Morrissey,Anderson,Ashcroft"
"1985/86","Worthington,Robinson"
"1985/86","Williams G,Anderson"
"1985/86","Edwards,Robinson 2"
"1985/86",""
"1985/86",""
"1985/86","Morrissey,Anderson"
"1985/86","Mungall,Hilditch"
"1985/86","Anderson 2"
"1985/86",""
"1985/86","Muir"
"1985/86","Miller,Williams G"
"1985/86",""
"1985/86","Anderson"
"1985/86","Muir"
"1985/86","Hughes"
"1985/86",""
"1985/86","Muir"
"1985/86","Rodaway"
"1985/86","Worthington,Muir"
"1985/86",""
"1985/86","Muir"
"1985/86","Hilditch"
"1985/86","Worthington 2"
"1985/86","Worthington"
"1985/86","Morrissey,Edwards,Anderson 2"
"1985/86","Williams G"
"1985/86",""
"1985/86","Hilditch"
