season,scorers
"1988/89",""
"1988/89","Muir"
"1988/89",""
"1988/89","Muir"
"1988/89","Steel"
"1988/89","Muir"
"1988/89","Bishop"
"1988/89","Higgins,Muir 2"
"1988/89",""
"1988/89","Steel,Muir"
"1988/89",""
"1988/89",""
"1988/89","Hughes"
"1988/89",""
"1988/89","Bishop,Harvey 2"
"1988/89","Muir"
"1988/89","Steel,Muir"
"1988/89","Bishop"
"1988/89","Bishop,Morrissey"
"1988/89","Muir"
"1988/89","Bishop"
"1988/89","OG"
"1988/89","Muir 3"
"1988/89","Muir"
"1988/89",""
"1988/89","McCarrick,Morrissey"
"1988/89","Steel,Mungall"
"1988/89","Steel,Muir"
"1988/89","Muir"
"1988/89","Muir 2"
"1988/89",""
"1988/89","OG"
"1988/89","Martindale,Steel"
"1988/89","Vickers"
"1988/89","Muir"
"1988/89","McCarrick,Vickers,Harvey"
"1988/89",""
"1988/89","Bishop"
"1988/89","Morrissey"
"1988/89","Malkin"
"1988/89","Bishop,Vickers"
"1988/89","Muir"
"1988/89",""
"1988/89","Muir"
"1988/89","Steel,Muir"
"1988/89","Malkin"
"1988/89","Malkin 2,OG"
"1988/89",""
"1988/89","Muir 2"
"1988/89","Bishop 2"
"1988/89","Harvey,Steel,Mungall"
"1988/89","Thomas,Vickers"
"1988/89","Thomas"
"1988/89","Morrissey,Muir"
"1988/89","Steel,Muir"
"1988/89","Muir"
"1988/89","Muir"
"1988/89",""
"1988/89","McCarrick,Hughes,Muir"
"1988/89","Muir"
