season,scorers
"1972/73",""
"1972/73",""
"1972/73","Loyden,Young"
"1972/73",""
"1972/73",""
"1972/73","Crossley,Loyden 2"
"1972/73","Crossley"
"1972/73","Russell"
"1972/73","Crossley"
"1972/73",""
"1972/73","Flood,Loyden 3"
"1972/73","Russell"
"1972/73","Crossley"
"1972/73",""
"1972/73","Duffy"
"1972/73",""
"1972/73","Loyden"
"1972/73","Moore M,St John,Loyden 2"
"1972/73","Moore M"
"1972/73","OG"
"1972/73","Flood,Moore M"
"1972/73","Crossley"
"1972/73","Loyden"
"1972/73","Young"
"1972/73","Young,Crossley"
"1972/73",""
"1972/73","Loyden"
"1972/73","Loyden,Young 2,Crossley 2"
"1972/73","Moore M,Duffy,Crossley"
"1972/73",""
"1972/73",""
"1972/73","Graham 2,D'Arcy,Loyden,Young,OG"
"1972/73",""
"1972/73","Loyden"
"1972/73","Loyden"
"1972/73","Loyden,Young"
"1972/73",""
"1972/73","Yeats"
"1972/73","Loyden"
"1972/73","Veitch,Graham"
"1972/73","Moore M"
"1972/73",""
"1972/73","Young 2"
"1972/73","Young,Crossley"
"1972/73",""
"1972/73","Loyden"
"1972/73",""
"1972/73",""
"1972/73","Loyden"
