season,scorers
"1980/81","Edwards,Kelly,Craven"
"1980/81",""
"1980/81","Lumby"
"1980/81",""
"1980/81",""
"1980/81","Evans"
"1980/81","Evans,Lumby 2"
"1980/81","Bramhall,Kerr"
"1980/81","Lumby"
"1980/81",""
"1980/81","Beamish"
"1980/81","Lumby"
"1980/81","Lumby 2,Beamish"
"1980/81","Peplow,Lumby 3,Beamish"
"1980/81","Evans,Lumby,Beamish"
"1980/81","Lumby"
"1980/81","Peplow"
"1980/81","Peplow,Mungall,Kerr"
"1980/81","Mungall,Lumby"
"1980/81","Lumby"
"1980/81",""
"1980/81","Evans,Lumby 2"
"1980/81","Lumby"
"1980/81",""
"1980/81",""
"1980/81",""
"1980/81","Beamish,Craven"
"1980/81","Craven"
"1980/81","Lumby,Kerr"
"1980/81",""
"1980/81",""
"1980/81","Kerr"
"1980/81",""
"1980/81","Kelly"
"1980/81","Parry,Kelly,Beamish"
"1980/81","Kerr"
"1980/81","Evans,Kelly"
"1980/81",""
"1980/81","Powell"
"1980/81",""
"1980/81","Evans"
"1980/81","OG"
"1980/81","Bramhall"
"1980/81","Beamish,Kerr"
"1980/81","Evans"
"1980/81","Mungall,Kelly"
"1980/81","Parry,Evans"
"1980/81","Evans 2,Williams J"
"1980/81","Craven"
"1980/81",""
"1980/81","Williams J"
"1980/81","Peplow,Kelly"
"1980/81",""
