season,scorers
"1963/64","Dyson"
"1963/64","Dyson"
"1963/64","King J,Gubbins,Jones 2,Hickson,OG"
"1963/64","Dyson 2"
"1963/64","Jones,Hickson,Dyson 2"
"1963/64","Jones,Dyson"
"1963/64",""
"1963/64",""
"1963/64","Dyson"
"1963/64","Conroy,Dyson"
"1963/64",""
"1963/64","Campbell,OG"
"1963/64",""
"1963/64","Jackson P,Manning"
"1963/64","Evans"
"1963/64","Dyson"
"1963/64","Evans"
"1963/64",""
"1963/64","McDonnell,Evans"
"1963/64","Dyson,Roberts"
"1963/64","Evans,Dyson"
"1963/64","McDonnell"
"1963/64",""
"1963/64","Jones"
"1963/64","Jones,Manning,Dyson"
"1963/64","Campbell,Manning,OG"
"1963/64","Manning,Dyson"
"1963/64","Dyson"
"1963/64","Manning"
"1963/64","Jones,Manning 2"
"1963/64","Manning,Dyson 2"
"1963/64","Jones,Manning,Dyson"
"1963/64","Manning,Dyson 2"
"1963/64","Manning"
"1963/64","Jackson P,Jones,Dyson"
"1963/64","Edwards,Manning"
"1963/64","Jones,Dyson"
"1963/64","Jones,Dyson"
"1963/64",""
"1963/64","Manning 2"
"1963/64","Campbell,Jones,Manning,Dyson"
"1963/64","Jones,OG"
"1963/64",""
"1963/64","Dyson 2"
"1963/64","Campbell,Jones,Manning,Dyson 2"
"1963/64","Jones,Dyson"
"1963/64","Evans,OG"
"1963/64","Dyson"
"1963/64","Manning 2"
"1963/64","Manning 2"
