season,scorers
"1964-65","Manning 2,Dyson 3"
"1964-65","Lornie,Manning 2,McDonnell"
"1964-65","Dyson"
"1964-65","Manning 2,Dyson,McDonnell"
"1964-65","Manning,McDonnell"
"1964-65","Manning"
"1964-65",""
"1964-65","Manning"
"1964-65","Manning 2,McDonnell,Weir"
"1964-65","Dyson 2,Jones 2,Weir"
"1964-65",""
"1964-65","Hill,Dyson,Manning 2,McDonnell,Weir"
"1964-65",""
"1964-65","Manning,McDonnell"
"1964-65","Dyson 2,McDonnell"
"1964-65",""
"1964-65","Manning 3,McDonnell 2"
"1964-65","Hill 2,McDonnell"
"1964-65","Stuart,Manning"
"1964-65","Manning,McDonnell 2"
"1964-65","Jones 2,Manning"
"1964-65","King A,McDonnell,A'Court"
"1964-65",""
"1964-65",""
"1964-65","Dyson 2"
"1964-65","Sinclair,Dyson,McDonnell,A'Court"
"1964-65","McDonnell"
"1964-65","Dyson 2,McDonnell"
"1964-65","Jones 2,Dyson,McDonnell"
"1964-65","Dyson"
"1964-65","Dyson"
"1964-65",""
"1964-65","McDonnell,OG"
"1964-65",""
"1964-65","Hill,Dyson"
"1964-65","Manning,McDonnell"
"1964-65","Dyson,Manning,McDonnell"
"1964-65","Dyson"
"1964-65","McDonnell 2"
"1964-65","Dyson"
"1964-65","Stuart"
"1964-65",""
"1964-65","Dyson,McDonnell 2,A'Court"
"1964-65","King A,Sinclair,Dyson,A'Court"
"1964-65","Dyson"
"1964-65",""
"1964-65","Dyson 2"
"1964-65","Dyson"
"1964-65","Lomie,Dyson"
"1964-65",""
