season,scorers
"1986/87","Muir"
"1986/87","Worthington"
"1986/87","Worthington,Muir"
"1986/87","Mungall,Vickers 2"
"1986/87","Hughes,Muir,Anderson"
"1986/87","Morrissey 2"
"1986/87",""
"1986/87","Morrissey"
"1986/87","Williams G,Morrissey"
"1986/87","Muir 2"
"1986/87","Muir 2"
"1986/87","Vickers"
"1986/87",""
"1986/87","Moore"
"1986/87","Muir"
"1986/87","Muir"
"1986/87","Morrissey"
"1986/87","Thorpe Ad"
"1986/87","Muir 3"
"1986/87","Muir,Thorpe Ad 2"
"1986/87","Vickers"
"1986/87","Bell,Muir"
"1986/87",""
"1986/87",""
"1986/87","Moore"
"1986/87",""
"1986/87","Moore 2,Muir"
"1986/87","Muir 2"
"1986/87","Worthington"
"1986/87","Worthington"
"1986/87",""
"1986/87","Muir 2"
"1986/87","Muir"
"1986/87","Morrissey"
"1986/87","Muir"
"1986/87","Vickers,Muir"
"1986/87","Bell,Muir"
"1986/87","Morrissey,Anderson"
"1986/87",""
"1986/87","Moore,Bell,Muir"
"1986/87",""
"1986/87","Bell,Horwood"
"1986/87",""
"1986/87",""
"1986/87","Williams G"
"1986/87",""
"1986/87","Moore"
"1986/87","Bullock"
"1986/87",""
"1986/87","Camden"
"1986/87","Muir"
"1986/87","Williams G"
