season,game_no,game_date,disam_name,player_name,goals_scored
1923/24,22,1923-12-25,Campbell,Johnny Campbell,1
1923/24,22,1923-12-25,Sayer,Stan Sayer,1
1923/24,23,1923-12-26,Sayer,Stan Sayer,1
1923/24,24,1924-01-01,Sayer,Stan Sayer,1
1923/24,24,1924-01-01,Cartman,Bert Cartman,1
1923/24,25,1924-01-05,Halstead,Fred Halstead,1
1923/24,26,1924-01-12,Stuart,Tom Stuart,1
1923/24,27,1924-01-19,Campbell,Johnny Campbell,1
1923/24,27,1924-01-19,Beswick,Sammy Beswick,1
1923/24,28,1924-01-26,Stuart,Tom Stuart,1
1923/24,29,1924-02-02,Campbell,Johnny Campbell,1
1923/24,29,1924-02-02,Sayer,Stan Sayer,1
1923/24,30,1924-02-09,Moreton,Jimmy Moreton,1
1923/24,31,1924-02-16,Cartman,Bert Cartman,1
1923/24,32,1924-02-23,Littlehales,Harry Littlehales,1
1923/24,33,1924-03-01,Sayer,Stan Sayer,1
1923/24,34,1924-03-08,Moreton,Jimmy Moreton,1
1923/24,35,1924-03-15,Littlehales,Harry Littlehales,2
1923/24,36,1924-03-22,Sayer,Stan Sayer,1
1923/24,37,1924-03-29,Brown,Jack Brown,1
1923/24,37,1924-03-29,Littlehales,Harry Littlehales,1
1923/24,37,1924-03-29,OG,OG,1
1923/24,39,1924-04-12,Moreton,Jimmy Moreton,2
1923/24,39,1924-04-12,Sayer,Stan Sayer,1
1923/24,39,1924-04-12,Littlehales,Harry Littlehales,1
1923/24,40,1924-04-18,Brown,Jack Brown,1
1923/24,40,1924-04-18,Sayer,Stan Sayer,1
1923/24,40,1924-04-18,Littlehales,Harry Littlehales,1
1923/24,41,1924-04-19,Brown,Jack Brown,2
1923/24,41,1924-04-19,Littlehales,Harry Littlehales,1
1923/24,45,1924-04-28,Brown,Jack Brown,1
1923/24,45,1924-04-28,Cartman,Bert Cartman,1
1924/25,1,1924-08-30,Campbell,Johnny Campbell,1
1924/25,1,1924-08-30,Littlehales,Harry Littlehales,1
1924/25,3,1924-09-06,Brown,Jack Brown,1
1924/25,5,1924-09-20,Dean,Dixie Dean,1
1924/25,8,1924-10-04,Moreton,Jimmy Moreton,1
1924/25,8,1924-10-04,Dean,Dixie Dean,1
1924/25,9,1924-10-11,Dean,Dixie Dean,1
1924/25,10,1924-10-18,Dean,Dixie Dean,2
1924/25,11,1924-10-25,Sayer,Stan Sayer,1
1924/25,11,1924-10-25,Dean,Dixie Dean,3
1924/25,12,1924-11-01,Dean,Dixie Dean,1
1924/25,14,1924-11-15,Cartman,Bert Cartman,1
1924/25,15,1924-11-19,Campbell,Johnny Campbell,1
1924/25,15,1924-11-19,Littlehales,Harry Littlehales,1
1924/25,16,1924-11-22,Stuart,Tom Stuart,1
1924/25,16,1924-11-22,Littlehales,Harry Littlehales,1
1924/25,17,1924-11-29,Sayer,Stan Sayer,1
1924/25,19,1924-12-06,Brown,Jack Brown,1
1924/25,19,1924-12-06,Dean,Dixie Dean,2
1924/25,19,1924-12-06,Littlehales,Harry Littlehales,2
1924/25,20,1924-12-20,Dean,Dixie Dean,2
1924/25,20,1924-12-20,Sayer,Stan Sayer,1
1924/25,22,1924-12-27,Dean,Dixie Dean,2
1924/25,23,1925-01-01,Dean,Dixie Dean,1
1924/25,25,1925-01-17,Littlehales,Harry Littlehales,1
1924/25,27,1925-01-31,Fogg,Billy Fogg,1
1924/25,27,1925-01-31,Dean,Dixie Dean,2
1924/25,27,1925-01-31,Littlehales,Harry Littlehales,2
1924/25,28,1925-02-07,Dean,Dixie Dean,1
1924/25,29,1925-02-14,Fogg,Billy Fogg,1
1924/25,29,1925-02-14,Dean,Dixie Dean,3
1924/25,31,1925-02-28,Dean,Dixie Dean,1
1924/25,32,1925-03-04,Littlehales,Harry Littlehales,1
1924/25,33,1925-03-07,Dean,Dixie Dean,3
1924/25,34,1925-03-14,Dean,Dixie Dean,1
1924/25,35,1925-03-18,Halstead,Fred Halstead,1
1924/25,35,1925-03-18,Fogg,Billy Fogg,1
1924/25,35,1925-03-18,Rimmer,Ellis Rimmer,1
1924/25,36,1925-03-21,Stuart,Tom Stuart,1
1924/25,36,1925-03-21,Littlehales,Harry Littlehales,1
1924/25,38,1925-04-04,Littlehales,Harry Littlehales,1
1924/25,39,1925-04-10,Sayer,Stan Sayer,1
1924/25,39,1925-04-10,Cartman,Bert Cartman,1
1924/25,40,1925-04-11,Stuart,Tom Stuart,1
1924/25,41,1925-04-13,Jackson J,Jimmy Jackson,1
1924/25,42,1925-04-14,Stuart,Tom Stuart,1
1924/25,42,1925-04-14,Brown,Jack Brown,1
1924/25,43,1925-04-18,Fogg,Billy Fogg,1
1924/25,43,1925-04-18,Sayer,Stan Sayer,1
1924/25,44,1925-04-22,Fogg,Billy Fogg,1
1925/26,1,1925-08-29,Roberts,Billy Roberts,1
1925/26,1,1925-08-29,Marquis,Fred Marquis,1
1925/26,3,1925-09-05,Matthews,Vince Matthews,1
1925/26,3,1925-09-05,Chalmers,Billy Chalmers,1
1925/26,4,1925-09-12,Matthews,Vince Matthews,1
1925/26,4,1925-09-12,White,Bob White,1
1925/26,4,1925-09-12,Marquis,Fred Marquis,1
1925/26,6,1925-09-19,Marquis,Fred Marquis,2
1925/26,7,1925-09-26,White,Bob White,1
1925/26,7,1925-09-26,Marquis,Fred Marquis,2
1925/26,11,1925-10-17,Stuart,Tom Stuart,1
1925/26,11,1925-10-17,Marquis,Fred Marquis,1
1925/26,11,1925-10-17,White,Bob White,2
1925/26,11,1925-10-17,Proctor,Norman Proctor,1
1925/26,13,1925-10-31,Marquis,Fred Marquis,1
1925/26,13,1925-10-31,White,Bob White,1
1925/26,14,1925-11-07,Chalmers,Billy Chalmers,1
1925/26,15,1925-11-14,White,Bob White,1
1925/26,15,1925-11-14,Chalmers,Billy Chalmers,1
1925/26,16,1925-11-21,Marquis,Fred Marquis,1
1925/26,16,1925-11-21,White,Bob White,1
1925/26,18,1925-12-02,Proctor,Norman Proctor,1
1925/26,19,1925-12-05,Proctor,Norman Proctor,1
1925/26,21,1925-12-25,Marquis,Fred Marquis,1
1925/26,21,1925-12-25,Proctor,Norman Proctor,1
1925/26,21,1925-12-25,Chalmers,Billy Chalmers,1
1925/26,22,1925-12-26,Marquis,Fred Marquis,2
1925/26,23,1926-01-01,Beswick,Sammy Beswick,1
1925/26,23,1926-01-01,Marquis,Fred Marquis,1
1925/26,23,1926-01-01,Proctor,Norman Proctor,1
1925/26,24,1926-01-02,Fogg,Billy Fogg,1
1925/26,25,1926-01-09,Marquis,Fred Marquis,1
1925/26,26,1926-01-16,White,Bob White,1
1925/26,26,1926-01-16,Proctor,Norman Proctor,1
1925/26,27,1926-01-23,Campbell,Johnny Campbell,1
1925/26,27,1926-01-23,White,Bob White,1
1925/26,28,1926-02-06,White,Bob White,2
1925/26,30,1926-02-20,Beswick,Sammy Beswick,2
1925/26,30,1926-02-20,Cartman,Bert Cartman,1
1925/26,31,1926-02-27,Stuart,Tom Stuart,1
1925/26,31,1926-02-27,White,Bob White,1
1925/26,32,1926-03-06,Moreton,Jimmy Moreton,1
1925/26,33,1926-03-13,Marquis,Fred Marquis,1
1925/26,33,1926-03-13,Charlton,Billy Charlton,2
1925/26,34,1926-03-20,Marquis,Fred Marquis,2
1925/26,35,1926-03-27,Marquis,Fred Marquis,1
1925/26,35,1926-03-27,Charlton,Billy Charlton,1
1925/26,36,1926-04-02,Stuart,Tom Stuart,1
1925/26,36,1926-04-02,Cartman,Bert Cartman,1
1925/26,36,1926-04-02,OG,OG,1
1925/26,37,1926-04-03,Marquis,Fred Marquis,1
1925/26,37,1926-04-03,Littlehales,Harry Littlehales,1
1925/26,37,1926-04-03,Proctor,Norman Proctor,1
1925/26,37,1926-04-03,Cartman,Bert Cartman,1
1925/26,38,1926-04-05,Marquis,Fred Marquis,1
1925/26,38,1926-04-05,Littlehales,Harry Littlehales,2
1925/26,39,1926-04-06,Littlehales,Harry Littlehales,1
1925/26,42,1926-04-17,Marquis,Fred Marquis,1
1925/26,43,1926-04-24,Marquis,Fred Marquis,1
1925/26,43,1926-04-24,Proctor,Norman Proctor,2
1925/26,44,1926-05-01,White,Bob White,1
1925/26,44,1926-05-01,Proctor,Norman Proctor,3
1926/27,1,1926-08-28,Marquis,Fred Marquis,1
1926/27,1,1926-08-28,Charlton,Billy Charlton,1
1926/27,1,1926-08-28,Cartman,Bert Cartman,1
1926/27,2,1926-08-30,Charlton,Billy Charlton,1
1926/27,3,1926-09-04,Marquis,Fred Marquis,2
1926/27,3,1926-09-04,Charlton,Billy Charlton,2
1926/27,4,1926-09-06,Charlton,Billy Charlton,1
1926/27,4,1926-09-06,Cartman,Bert Cartman,1
1926/27,6,1926-09-18,Proctor,Norman Proctor,1
1926/27,6,1926-09-18,Cartman,Bert Cartman,1
1926/27,6,1926-09-18,OG,OG,1
1926/27,7,1926-09-20,Littlehales,Harry Littlehales,1
1926/27,9,1926-10-02,OG,OG,1
1926/27,10,1926-10-09,Charlton,Billy Charlton,1
1926/27,11,1926-10-16,Charlton,Billy Charlton,1
1926/27,12,1926-10-23,Marquis,Fred Marquis,1
1926/27,12,1926-10-23,Charlton,Billy Charlton,1
1926/27,12,1926-10-23,OG,OG,1
1926/27,13,1926-10-30,Marquis,Fred Marquis,1
1926/27,14,1926-11-06,Flanagan,Jack Flanagan,3
1926/27,15,1926-11-13,Charlton,Billy Charlton,1
1926/27,16,1926-11-20,Flanagan,Jack Flanagan,1
1926/27,17,1926-11-27,Marquis,Fred Marquis,1
1926/27,18,1926-12-02,Littlehales,Harry Littlehales,1
1926/27,19,1926-12-04,Cartman,Bert Cartman,1
1926/27,20,1926-12-18,Flanagan,Jack Flanagan,1
