season,game_no,scorers
1937/38,27,"Ronnie Dellow, Ossie Jones, Herbert King, Billy Eden, OG"
1937/38,29,"Pongo Waring, Ossie Jones"
1937/38,30,Ted Buckley
1937/38,32,"Pongo Waring 2, Thomas Davis 2"
1937/38,33,Ronnie Dellow
1937/38,34,Pongo Waring
1937/38,36,"Thomas Davis, James Cassidy"
1937/38,37,"Pongo Waring, Billy Eden"
1937/38,38,"Ronnie Dellow 2, Billy Eden"
1937/38,39,"Ossie Jones, Pongo Waring, James Cassidy"
1937/38,40,"Ronnie Dellow, Ossie Jones"
1937/38,41,"Thomas Davis 2, Pongo Waring 2, James Cassidy, Billy Eden 2"
1937/38,42,"Thomas Davis, Pongo Waring"
1937/38,43,Billy Eden
1937/38,44,Billy Eden
1937/38,45,Ronnie Dellow
1938/39,1,"Duke Hamilton, Ronnie Dellow"
1938/39,2,Pongo Waring 2
1938/39,5,"Pongo Waring, Ted Buckley, OG"
1938/39,7,Pongo Waring
1938/39,8,Pongo Waring
1938/39,10,Ted Buckley
1938/39,11,"James Cassidy, Stan Docking 2"
1938/39,12,Ted Buckley
1938/39,13,"James Cassidy, Stan Docking"
1938/39,14,Ronnie Dellow
1938/39,16,James Griffiths
1938/39,19,Jack Roy
1938/39,20,Ronnie Dellow
1938/39,21,"Harry Travis, Stan Docking 2"
1938/39,22,"William Miller, Stan Docking"
1938/39,24,"Ted Buckley, Jack Roy"
1938/39,26,Stan Docking
1938/39,28,Ted Buckley 2
1938/39,29,"Billy Eden, James Cassidy"
1938/39,33,Harry Travis
1938/39,35,"Billy Eden, Harry Travis"
1938/39,38,Billy Eden 2
1938/39,39,Robert Thomas
1938/39,43,Jack Kearns
1945/46,1,Abe Rosenthal
1945/46,2,"Llew Ashcroft 2, Abe Rosenthal 2, Harold Atkinson, Stewie Williamson"
1945/46,3,"Harold Atkinson, Harold Bell, Abe Rosenthal"
1945/46,5,Harry Gould
1945/46,6,"Walter Price, Abe Rosenthal"
1946/47,1,Harold Atkinson
1946/47,2,"Harold Bell, Harold Atkinson"
1946/47,3,Harold Bridges
1946/47,4,"Llew Ashcroft, James Williamson"
1946/47,5,"Harold Atkinson 2, James Williamson"
1946/47,6,James Williamson
1946/47,7,Harold Atkinson 2
1946/47,8,Kinear Burns
1946/47,9,OG
1946/47,10,"Kinear Burns, Harold Atkinson"
1946/47,14,"Des Harlock, Harold Atkinson 2, Benny Jones"
1946/47,15,"Abe Rosenthal, Benny Jones"
1946/47,17,Des Harlock
1946/47,18,"Ten Salmon, Benny Jones"
1946/47,19,"Kinear Burns, Harold Atkinson, Abe Rosenthal"
1946/47,20,"Kinear Burns, Harold Atkinson 3, Benny Jones"
1946/47,21,Abe Rosenthal
1946/47,23,"Benny Jones, Ron Rice"
1946/47,24,"Benny Jones 2, Charles Birmingham"
1946/47,25,Benny Jones
1946/47,26,Harold Atkinson
1946/47,27,"Harold Atkinson 2, Alex Alexander"
1946/47,28,Abe Rosenthal 2
1946/47,29,Benny Jones
1946/47,30,Llew Ashcroft 3
1946/47,31,"Harold Atkinson, Benny Jones"
1946/47,32,"Harold Atkinson, Abe Rosenthal"
1946/47,34,Harold Atkinson
1946/47,35,"Harold Atkinson 2, Abe Rosenthal, Benny Jones"
1946/47,37,"Benny Jones, William Cartwright"
1946/47,38,Harold Atkinson
1946/47,39,"Alan Cox, Abe Rosenthal, Benny Jones"
1946/47,41,Benny Jones
1947/48,1,"Frank Curran, Benny Jones"
1947/48,2,Benny Jones
1947/48,3,"Harold Atkinson, Benny Jones"
1947/48,4,Harold Atkinson
1947/48,5,"Harold Atkinson 2, Frank Curran"
1947/48,6,"Des Harlock, Harold Atkinson, Frank Curran"
1947/48,7,"Gillie Alldis, Harold Atkinson 2, Cliff Leeming"
1947/48,8,Benny Jones
1947/48,9,Des Harlock
1947/48,11,"Des Harlock, Harry Lamb, Harold Bridges, Benny Jones"
1947/48,12,Harold Bridges
1947/48,14,Frank Curran 2
1947/48,16,"Frank Curran, Harold Bridges"
1947/48,18,"Des Harlock, Harold Bridges"
1947/48,19,"Harold Bridges, Cliff Leeming"
1947/48,21,"Harold Atkinson, Frank Curran"
1947/48,23,"John Connor, Harold Atkinson, Harold Bridges"
1947/48,26,"Harry Lamb, OG"
1947/48,28,"Harry Lamb, Harold Atkinson, Harold Bridges 2"
1947/48,29,"Des Harlock, Harold Atkinson"
1947/48,30,Harold Bridges
1947/48,31,"Harry Lamb, Harold Atkinson"
1947/48,32,Harold Atkinson 2
1947/48,33,Harry Lamb 2
1947/48,38,Harold Atkinson 2
1947/48,40,Alex Alexander
1947/48,41,Alan Cox
1947/48,44,John Connor
1948/49,1,Harold Atkinson
1948/49,4,"Harry Lamb, Harold Atkinson"
1948/49,5,"Harold Atkinson, Alex Alexander"
1948/49,6,"Andrew Jack 2, Stewie Williamson"
1948/49,7,"Andrew Jack, Stewie Williamson"
1948/49,8,Stewie Williamson
1948/49,10,Harry Lamb
1948/49,12,"Harold Atkinson, Stewie Williamson"
1948/49,13,Stewie Williamson
1948/49,16,Stewie Williamson
1948/49,17,"Harold Atkinson, OG"
1948/49,18,"Harry Gould 2, Gillie Alldis"
1948/49,19,Harry Gould
1948/49,20,"Seamus McBennett, James Pollard"
1948/49,21,John Barrie
1948/49,22,"Bill Bainbridge, OG"
1948/49,23,"Bill Bainbridge, Harry Eastham"
1948/49,24,"John Barrie, Harold Atkinson"
1948/49,25,Bill Bainbridge
1948/49,27,Bill Bainbridge
1948/49,30,"Len Kieran, Gillie Alldis"
1948/49,31,"Bill Bainbridge, Harold Atkinson 2"
1948/49,32,"Harold Atkinson, Gillie Alldis"
1948/49,36,Harold Atkinson 2
1948/49,38,John Connor
1948/49,41,"Bill Bainbridge, John Barrie"
1948/49,42,Bill Bainbridge
1948/49,43,Stewie Williamson
1949/50,2,Bill Bainbridge 2
1949/50,3,"Bill Bainbridge, James McKay"
1949/50,4,Bill Bainbridge 2
1949/50,5,Harry Eastham
1949/50,7,Harold Atkinson
1949/50,8,Stewie Williamson 2
1949/50,10,"Harry Eastham, Archie Wood"
1949/50,11,Bill Bainbridge
1949/50,12,Bill Bainbridge
1949/50,13,"Des Harlock, Bill Bainbridge, Harold Atkinson, Archie Wood"
1949/50,14,"Bill Bainbridge, Archie Wood"
1949/50,15,Harold Atkinson
1949/50,16,"Des Harlock, Bill Bainbridge"
1949/50,17,"Johnny Wheeler, Archie Wood"
1949/50,20,"Harry Lamb, Bill Bainbridge"
1949/50,22,Stewie Williamson
1949/50,25,"Johnny Wheeler, Harry Lamb, Archie Wood 2"
1949/50,27,Bill Bainbridge
1949/50,29,"Harold Atkinson 2, Abe Rosenthal"
1949/50,30,OG
1949/50,31,"Johnny Wheeler, Bill Bainbridge"
1949/50,32,Stewie Williamson
1949/50,33,Stewie Williamson
1949/50,35,"Bill Bainbridge, OG"
1949/50,36,Abe Rosenthal
1949/50,38,"Bill Bainbridge, Harold Atkinson"
1949/50,39,"Bill Bainbridge, Abe Rosenthal"
1949/50,41,"Des Harlock, Bill Bainbridge"
1949/50,42,Bill Bainbridge 2
1949/50,43,Harold Atkinson
1950/51,1,"Johnny Wheeler, Bill Bainbridge 2, Abe Rosenthal 4"
1950/51,2,"Bill Bainbridge, Abe Rosenthal"
1950/51,3,Bill Bainbridge
1950/51,4,"Abe Rosenthal, Lloyd Iceton 2"
1950/51,5,Harry Eastham
1950/51,6,"Des Harlock, Lloyd Iceton"
1950/51,7,Bill Bainbridge
1950/51,8,"Bill Bainbridge, Lloyd Iceton"
1950/51,9,Johnny Wheeler
1950/51,10,Abe Rosenthal 2
1950/51,11,"Johnny Wheeler, Bill Bainbridge"
1950/51,12,"Johnny Wheeler, Abe Rosenthal, Stewie Williamson 2"
1950/51,13,Abe Rosenthal
1950/51,14,Abe Rosenthal
1950/51,15,"Johnny Wheeler, Abe Rosenthal"
1950/51,17,"Harold Bell, Johnny Wheeler, Abe Rosenthal"
1950/51,18,"Des Harlock, Johnny Wheeler, Abe Rosenthal"
1950/51,19,Len Kieran
1950/51,20,"Johnny Wheeler, Stewie Williamson, Bill Bainbridge, Lloyd Iceton 2"
1950/51,22,Bill Bainbridge
1950/51,23,"Bill Bainbridge, Tom Doonan"
1950/51,24,"Bill Bainbridge, Tom Doonan, Stewie Williamson"
1950/51,25,Bill Bainbridge
1950/51,26,"Des Harlock 2, Bill Bainbridge, Stewie Williamson"
1950/51,27,"Des Harlock, Bill Bainbridge 2, Harry Eastham"
1950/51,28,Bill Bainbridge
1950/51,29,Abe Rosenthal
1950/51,30,Stewie Williamson
1950/51,31,"Des Harlock, Bill Bainbridge, Vince Dillon"
1950/51,33,Bill Bainbridge 2
1950/51,35,Len Kieran
1950/51,36,Vince Dillon
1950/51,37,Abe Rosenthal 2
1950/51,38,Vince Dillon
1950/51,39,"Vince Dillon, Lloyd Iceton, OG"
1950/51,40,"Harry Eastham, Vince Dillon 2"
1950/51,41,"Ralph Millington, Harry Eastham, Lloyd Iceton"
1950/51,42,Abe Rosenthal
1950/51,43,Harry Eastham
1950/51,44,Vince Dillon 2
1950/51,46,Vince Dillon
1950/51,47,"Len Kieran, Des Harlock"
1950/51,48,Harold Bell
1951/52,1,"Tommy Tilston 2, Bill Bainbridge, Abe Rosenthal"
1951/52,2,Tommy Tilston
1951/52,4,Bill Bainbridge 2
1951/52,5,"Harold Bell, Stewie Williamson, Tommy Tilston"
1951/52,6,Tommy Tilston
1951/52,7,Stewie Williamson
1951/52,8,"Tommy Tilston, Abe Rosenthal, OG"
1951/52,9,Stewie Williamson
1951/52,11,"Tommy Tilston, Harold Atkinson, Harry Eastham"
1951/52,13,"Tommy Tilston 2, Harold Atkinson"
1951/52,14,Harold Atkinson
1951/52,15,Vince Dillon
1951/52,17,Tommy Tilston
1951/52,18,Vince Dillon 2
1951/52,19,"Harold Atkinson 3, Lloyd Iceton"
1951/52,21,"Bill Bainbridge, Lloyd Iceton"
1951/52,22,OG
1951/52,23,Harold Atkinson
1951/52,25,"Ray Davies, Harold Atkinson 2"
1951/52,27,"Ray Davies, Tommy Tilston"
1951/52,28,"William Gibson, Abe Rosenthal"
1951/52,29,Abe Rosenthal 2
1951/52,30,"Bill Bainbridge, Tommy Tilston 3, Lloyd Iceton"
1951/52,31,"Ray Williams, Bill Bainbridge, Tommy Tilston 2, Abe Rosenthal"
1951/52,32,"Tommy Tilston, Abe Rosenthal"
1951/52,33,Bill Bainbridge
1951/52,35,"Stewie Williamson, Bill Bainbridge 2, Tommy Tilston, Kenny McDevitt"
1951/52,37,"Kenny McDevitt, Lloyd Iceton 2"
1951/52,38,"Bill Bainbridge, Harold Atkinson"
1951/52,39,Harold Atkinson 2
1951/52,41,Vince Dillon
1951/52,42,"Bill Bainbridge, Harold Atkinson"
1951/52,43,"Harold Atkinson 2, Kenny McDevitt"
1951/52,44,Bill Bainbridge
1951/52,46,"Ray Davies 2, Harry Eastham, Harold Atkinson"
1951/52,47,Ray Davies 3
1951/52,48,Kenny McDevitt
1951/52,50,"Ray Davies, Vince Dillon 2"
1951/52,51,"Vince Dillon 2, Lloyd Iceton"
1951/52,53,Bill Bainbridge
1952/53,4,Harold Atkinson
1952/53,7,"Harry Eastham, Lloyd Iceton"
1952/53,8,"Ray Davies 2, Harry Lamb, Cyril Done"
1952/53,9,Cyril Done 3
1952/53,10,Harry Lamb
1952/53,11,"Ray Davies, OG"
1952/53,12,Cyril Done
1952/53,13,Tom Mycock
1952/53,14,"Ray Davies, Lloyd Iceton"
1952/53,16,Kenny McDevitt 2
1952/53,17,"Kenny McDevitt, Cyril Done, Lloyd Iceton"
1952/53,19,"Ray Davies, Harold Atkinson 2, Kenny McDevitt, Lloyd Iceton"
1952/53,20,"Harold Atkinson 6, Cyril Done 2"
1952/53,22,Cyril Done 2
1952/53,23,Ray Williams
1952/53,24,"Cyril Done, Ray Williams"
1952/53,26,"Bill Bainbridge, Cyril Done"
1952/53,27,Ray Davies
1952/53,28,Lloyd Iceton
1952/53,29,Cyril Done
1952/53,32,"Cyril Done, Kenny McDevitt"
1952/53,33,"Cyril Done 3, OG"
1952/53,35,"Des Harlock, Harold Atkinson, Cyril Done"
1952/53,37,"Kenny McDevitt, Harold Atkinson, Cyril Done, Lloyd Iceton"
1952/53,40,Harold Atkinson
1952/53,41,"Ray Williams, Harry Eastham, Lloyd Iceton"
1952/53,42,Cyril Done
1952/53,43,"Ray Davies, Cyril Done"
1952/53,44,Cyril Done 2
1952/53,46,"Bill Bainbridge, Cyril Done"
1952/53,47,Cyril Done
1952/53,48,"Cyril Done, OG"
1952/53,49,"Ray Davies, Bill Bainbridge 2, Wiliam Jackson"
1952/53,50,Bill Bainbridge
1953/54,1,"Cyril Done, Lloyd Iceton"
1953/54,2,Cyril Done
1953/54,3,Cyril Done
1953/54,4,"Kenny McDevitt, Bill Bainbridge, Harold Atkinson, Cyril Done 2"
1953/54,7,Cyril Done
1953/54,8,"Kenny McDevitt, Cyril Done 3, Tom Mycock, OG"
1953/54,9,Cyril Done
1953/54,11,Ray Davies
1953/54,12,"Kenny McDevitt, Cyril Done"
1953/54,13,Cyril Done 2
1953/54,14,Ray Williams
1953/54,16,Kenny McDevitt
1953/54,17,Harold Atkinson 2
1953/54,18,"Ray Davies, Harold Atkinson"
1953/54,20,Cyril Done 2
1953/54,21,Ralph Millington
1953/54,22,Cyril Done
1953/54,23,"Ray Williams, Cyril Done"
1953/54,24,"Ray Williams 2, Cyril Done 3"
1953/54,27,Charlie Jolley 2
1953/54,28,Harold Atkinson 3
1953/54,29,Ray Williams
1953/54,30,"Bill Bainbridge, Cyril Done"
1953/54,31,Harold Atkinson
1953/54,33,Cyril Done
1953/54,34,Cyril Done
1953/54,35,"Ray Williams, Cyril Done"
1953/54,37,Bill Bainbridge
1953/54,38,Bill Bainbridge
1953/54,39,"Harold Atkinson, Don Woan"
1953/54,40,"Harold Atkinson, Tommy Williams"
1953/54,42,Harold Atkinson
1953/54,43,"Cyril Done, Don Woan"
1953/54,44,Cyril Done
1953/54,45,Cyril Done
1953/54,46,"Ray Williams, Bill Bainbridge, Cyril Done 2"
1953/54,47,Harold Atkinson
1953/54,49,Cyril Done
1953/54,50,Cyril Done
1953/54,51,Cyril Done
1954/55,1,OG
1954/55,2,Arthur Walls
1954/55,3,"Cyril Done, Abe Rosenthal"
1954/55,4,Cyril Done 2
1954/55,5,"Arthur Walls, Cyril Done, OG"
1954/55,6,Kenny McDevitt
1954/55,10,Abe Rosenthal
1954/55,11,Cyril Done
1954/55,12,Sammy Speakman
1954/55,14,"Cyril Done, Abe Rosenthal"
1954/55,15,Cyril Done
1954/55,16,Cyril Done
1954/55,17,"Kenny McDevitt, Cyril Done"
1954/55,18,Cyril Done 3
1954/55,19,Cyril Done
1954/55,20,"Cyril Done 2, Abe Rosenthal"
1954/55,23,Cyril Done 2
1954/55,24,Harold Atkinson
1954/55,25,Ralph Millington
1954/55,27,"Ray Davies, Ray Williams"
1954/55,28,"Kenny McDevitt 2, Mike Fleming"
1954/55,29,Ray Williams 2
1954/55,30,Derek Jones
1954/55,32,"Bill Lamont, Kenny McDevitt, Ray Williams"
1954/55,35,Harold Atkinson 2
1954/55,36,Mike Fleming
1954/55,37,Bill Lamont
1954/55,39,"Kenny McDevitt, Harold Bell"
1954/55,40,Harold Bell 2
1954/55,42,"Bill Lamont, Harold Atkinson 3, Harold Bell, Mike Fleming"
1954/55,46,Kenny McDevitt
1954/55,47,Arthur Walls
1954/55,48,Harold Bell
1955/56,2,"Harold Bell, Mike Fleming, Gerard Tansey"
1955/56,4,Noel Kelly
1955/56,7,"Ray Davies, Sammy Speakman 2, OG"
1955/56,8,"Ray Davies, Jackie Kidd"
1955/56,9,"Kenny McDevitt, Noel Kelly, Sammy Speakman"
1955/56,10,"Noel Kelly, Ray Davies 3"
1955/56,13,"Kenny McDevitt, Ray Davies"
1955/56,15,"Ray Davies, Sammy Speakman"
1955/56,17,Ray Williams
1955/56,18,Sammy Speakman
1955/56,19,"Ray Davies, Derek Jones"
1955/56,20,Sammy Speakman 2
1955/56,21,Derek Jones 2
1955/56,22,Kenny McDevitt
1955/56,24,"Kenny McDevitt, Arthur Walls, Jackie Kidd, Sammy Speakman"
1955/56,25,"Kenny McDevitt, Arthur Walls, Jackie Kidd"
1955/56,26,Len Kieran
1955/56,27,Arthur Walls
1955/56,29,Mike Fleming
1955/56,31,"Terry Stephens, Frank Parnell"
1955/56,32,"Frank Parnell, Sammy Speakman"
1955/56,34,"Kenny McDevitt, Derek Jones 2, Terry Stephens"
1955/56,35,"Derek Jones, Sammy Speakman"
1955/56,37,"Kenny McDevitt, Terry Stephens"
1955/56,39,Harold Bell
1955/56,40,"Derek Jones, Mike Fleming"
1955/56,44,Derek Jones
1955/56,46,"Noel Kelly, Derek Jones, Terry Stephens 2, OG"
1956/57,1,Phil Gwatkin
1956/57,3,"Phil Gwatkin, Noel Kelly"
1956/57,4,"Tony Spink, Noel Kelly"
1956/57,5,Tony Spink
1956/57,8,Derek Jones
1956/57,10,Derek Jones
1956/57,11,Verdi Godwin
1956/57,12,"Tommy Williams, Jim Dodd, Kenny McDevitt"
1956/57,14,Jim Dodd
1956/57,15,Peter Rees 2
1956/57,16,Frank Parnell
1956/57,17,"Tony Spink, Peter Rees"
1956/57,19,Ray Davies
1956/57,20,"Ray Davies, Phil Gwatkin, Verdi Godwin, Alan Hill"
1956/57,22,OG 2
1956/57,23,"Len Kieran, Jim Dodd, Mike Fleming"
1956/57,24,Jim Dodd
1956/57,26,"Phil Gwatkin, Alan Holder, Kenny McDevitt"
1956/57,27,Phil Gwatkin
1956/57,28,"Phil Gwatkin, Jim Dodd 2"
1956/57,30,"Jackie Heydon, Jim Dodd"
1956/57,31,"Kenny McDevitt, Jim Dodd"
1956/57,32,Peter Rees
1956/57,36,Bernard Molyneux
1956/57,40,"Kenny McDevitt 3, Jim Dodd"
1956/57,41,"Kenny McDevitt, Jim Dodd"
1956/57,42,"Jackie Kidd, Bernard Molyneux"
1956/57,44,"Noel Kelly, Bernard Molyneux"
1957/58,1,"Keith Williams, Alec Gaskell, Tommy Eglington"
1957/58,2,Alec Gaskell
1957/58,3,Tommy Eglington
1957/58,5,Keith Williams
1957/58,6,Tommy Eglington
1957/58,7,Tommy Eglington
1957/58,8,"Keith Williams, Alec Gaskell"
1957/58,9,"Charlie McDonnell, Keith Williams 3, Eddie Crossan"
1957/58,10,Eddie Crossan
1957/58,11,Mike Fleming
1957/58,13,"Eddie Crossan, Tommy Eglington"
1957/58,14,Eddie Crossan
1957/58,15,"Derek Jones 2, Keith Williams 2"
1957/58,16,"Charlie McDonnell, Keith Williams, Derek Jones"
1957/58,17,Charlie McDonnell
1957/58,18,"Keith Williams, Derek Jones"
1957/58,19,"Keith Williams, Tommy Eglington"
1957/58,20,"Wilf Charlton, Keith Williams 2, Eddie Crossan"
1957/58,21,Keith Williams 2
1957/58,22,"Keith Williams, Jim Dodd, Tommy Eglington"
1957/58,23,"Peter Farrell, Keith Williams, Jim Dodd"
1957/58,24,"Keith Williams, Tommy Eglington"
1957/58,25,"Kenny McDevitt, Charlie McDonnell, Tommy Eglington 2"
1957/58,26,Jim Dodd
1957/58,27,Keith Williams
1957/58,28,"Keith Williams 3, Jim Dodd 3"
1957/58,30,"Keith Williams, Jim Dodd"
1957/58,31,"Kenny McDevitt, Keith Williams, Eddie Crossan"
1957/58,34,Keith Williams 3
1957/58,36,"Keith Williams, Alec Gaskell 3, Tommy Eglington"
1957/58,38,Ken Finney 2
1957/58,40,Wilf Charlton
1957/58,41,"Kenny McDevitt, Ken Finney, Tony Rowley, Tommy Eglington"
1957/58,42,Tommy Eglington
1957/58,43,"Keith Williams, Jim Dodd"
1957/58,45,OG
1957/58,46,Keith Williams
1957/58,48,"Kenny McDevitt, Jim Dodd"
1957/58,49,"Kenny McDevitt, Tommy Eglington"
1958/59,1,"Charlie McDonnell 2, OG"
1958/59,2,Tony Rowley
1958/59,4,"Tony Rowley, Keith Williams"
1958/59,6,"Keith Williams, Tony Rowley, Charlie McDonnell"
1958/59,7,Keith Williams 3
1958/59,8,Charlie McDonnell
1958/59,10,"Keith Williams 2, Charlie McDonnell 2"
1958/59,11,"Keith Williams 2, Charlie McDonnell"
1958/59,12,"Keith Williams, OG"
1958/59,15,Jim Dodd
1958/59,16,"Keith Williams, Johnny Green"
1958/59,17,"Johnny Green, Tommy Eglington"
1958/59,18,Tommy Eglington
1958/59,19,"Tony Rowley, OG"
1958/59,20,"Ken Finney, Keith Williams 4, Tony Rowley, Johnny Green, Tommy Eglington"
1958/59,21,Tony Rowley 2
1958/59,22,Tony Rowley
1958/59,23,Tony Rowley
1958/59,24,"Keith Williams 2, Tony Rowley 2, Johnny Green"
1958/59,26,Charlie McDonnell 2
1958/59,27,"Charlie McDonnell, Jim Dodd 3"
1958/59,28,Charlie McDonnell
1958/59,29,Charlie McDonnell
1958/59,31,"Keith Williams, Tony Rowley"
1958/59,32,Keith Williams
1958/59,33,"Keith Williams, Tony Rowley 2, Tommy Eglington"
1958/59,34,"Tony Rowley 2, Johnny Green"
1958/59,35,Ken Finney 2
1958/59,36,"Tony Rowley, Johnny Green, Tommy Eglington"
1958/59,38,"Tony Rowley, Charlie McDonnell"
1958/59,39,Tony Rowley 2
1958/59,41,Keith Williams
1958/59,42,"Keith Williams, Tony Rowley"
1958/59,44,"Keith Williams, Tony Rowley"
1958/59,45,"Keith Williams 2, Charlie McDonnell"
1958/59,46,"Ken Finney, Keith Williams, Tony Rowley 4, Tommy Eglington, OG 2"
1959/60,1,"Ken Finney, Tony Rowley, Tommy Eglington 3"
1959/60,3,Tommy Eglington
1959/60,5,"Wilf Charlton, Ken Finney, Keith Williams, Tony Rowley, Jimmy Mulkerrin, Tommy Eglington"
1959/60,6,Tony Rowley
1959/60,7,"Keith Williams 2, Jimmy Mulkerrin 2"
1959/60,8,"Ken Finney, Keith Williams"
1959/60,9,Tommy Eglington
1959/60,12,"Derek Jones 2, Tommy Eglington"
1959/60,15,Charlie McDonnell
1959/60,16,"Ken Finney, Derek Jones, Charlie McDonnell"
1959/60,17,Tommy Eglington
1959/60,18,Wilf Charlton
1959/60,19,"Keith Williams, Charlie McDonnell, Tommy Eglington"
1959/60,20,"Jimmy Mulkerrin, Tommy Eglington 2"
1959/60,23,"Tony Rowley, Tommy Eglington"
1959/60,24,"Keith Williams, Tony Rowley, Charlie McDonnell 2"
1959/60,25,"Keith Williams, Tony Rowley 2"
1959/60,26,"Tony Rowley, Charlie McDonnell"
1959/60,28,Ken Finney
1959/60,29,Bobby Harrop
1959/60,31,"Tony Rowley 2, Jimmy Mulkerrin 2"
1959/60,32,Ken Finney
1959/60,33,"Keith Williams, Tony Rowley"
1959/60,34,"Tony Rowley, Jimmy Mulkerrin"
1959/60,35,"Tony Rowley, OG"
1959/60,37,Keith Williams
1959/60,38,Keith Williams
1959/60,39,Graham Barnett
1959/60,40,Graham Barnett
1959/60,41,"Ken Bracewell, Graham Barnett"
1959/60,42,"Charlie McDonnell, Graham Barnett"
1959/60,44,Keith Williams
1959/60,46,"Tony Rowley, Graham Barnett"
1959/60,47,Jackie Hood 2
1960/61,1,Graham Barnett
1960/61,2,"Ken Finney, Graham Barnett"
1960/61,5,"Ken Finney, Elkanah Onyeali 2, Tommy Eglington"
1960/61,6,"Ken Finney, Elkanah Onyeali"
1960/61,8,"Keith Williams, Tommy Eglington"
1960/61,9,"Keith Williams 3, Elkanah Onyeali"
1960/61,10,Graham Barnett 2
1960/61,11,Elkanah Onyeali
1960/61,12,"Ken Finney, Keith Williams"
1960/61,13,Tommy Eglington
1960/61,14,Elkanah Onyeali
1960/61,15,"Bobby Harrop, Elkanah Onyeali"
1960/61,16,"Ken Finney 2, Keith Williams"
1960/61,17,"Elkanah Onyeali, Tommy Eglington"
1960/61,18,"Keith Williams, Tony Rowley, Tommy Eglington"
1960/61,19,Keith Williams
1960/61,20,Keith Williams
1960/61,21,"Keith Williams, Tony Rowley"
1960/61,22,Keith Williams
1960/61,23,Keith Williams
1960/61,24,"Keith Williams, Elkanah Onyeali"
1960/61,25,Tony Rowley
1960/61,26,Tony Rowley 2
1960/61,27,"Keith Williams, Tony Rowley"
1960/61,30,"Keith Williams, Tony Rowley, Graham Barnett"
1960/61,31,"Tony Rowley, Ken Price"
1960/61,32,Tommy Eglington
1960/61,33,Ken Price
1960/61,34,"Keith Williams 3, Jimmy Mulkerrin, Tommy Eglington, OG"
1960/61,35,"Keith Williams, Graham Barnett"
1960/61,36,Keith Williams 2
1960/61,37,Ken Finney
1960/61,39,Keith Williams
1960/61,40,"Keith Williams, Alan Arnell 2"
1960/61,42,"Tommy Murray, Keith Williams 2, Alan Arnell, Ralph Gubbins 2, Tommy Eglington"
1960/61,43,Keith Williams
1960/61,44,Keith Williams
1960/61,45,Alan Arnell
1960/61,46,"Keith Williams, Alan Arnell"
1960/61,47,Keith Williams
1960/61,48,Ralph Gubbins 2
1960/61,50,"Keith Williams, Ralph Gubbins"
1960/61,51,Ralph Gubbins
1960/61,52,Charlie McDonnell
1961/62,1,Alan Arnell
1961/62,2,Les Campbell
1961/62,3,Tommy Neill
1961/62,4,"Peter Jackson, Alan Arnell, Les Campbell"
1961/62,5,"Ken Finney, David Jackson, Ralph Gubbins"
1961/62,6,Ken Finney
1961/62,7,Alan Arnell 3
1961/62,8,"Ralph Gubbins, Alan Arnell 2"
1961/62,10,"Ralph Gubbins, Alan Arnell 3"
1961/62,11,"Ralph Gubbins, Alan Arnell"
1961/62,14,Ken Finney
1961/62,15,"Ken Finney, John Frye, Alan Arnell"
1961/62,16,"Alan Arnell, Ralph Gubbins 2"
1961/62,17,"John Frye, Alan Arnell"
1961/62,18,Ralph Gubbins
1961/62,19,"John Frye, Alan Arnell"
1961/62,20,"Ken Finney, John Frye, Ralph Gubbins 2, Jimmy Anders"
1961/62,21,Ralph Gubbins 2
1961/62,22,"Johnny King, Ralph Gubbins"
1961/62,24,John Frye
1961/62,26,Alan Arnell
1961/62,28,"Ralph Gubbins 2, John Frye"
1961/62,30,Alan Arnell
1961/62,31,"Ralph Gubbins 2, Alan Arnell 3"
1961/62,32,"Tommy Neill, John Frye, Ken Finney"
1961/62,33,OG
1961/62,34,"Ralph Gubbins, Alan Arnell"
1961/62,36,"John Byrne, Ralph Gubbins"
1961/62,37,"John Byrne, Ralph Gubbins, Alan Arnell 2"
1961/62,38,Ralph Gubbins
1961/62,40,"Ken Finney, John Byrne"
1961/62,41,Ralph Gubbins
1961/62,43,"John Byrne, Alan Arnell 2"
1961/62,44,Alan Arnell 2
1962/63,1,"Ralph Gubbins, Alan Arnell"
1962/63,3,Malcolm Edwards
1962/63,5,John Manning
1962/63,6,"Jimmy Milner, Ralph Gubbins"
1962/63,7,"Les Campbell 3, Jimmy Milner, Alan Arnell 2"
1962/63,8,Dave Hickson
1962/63,9,"Jimmy Milner, Dave Hickson 2"
1962/63,10,Dave Hickson
1962/63,11,"Ralph Gubbins, Les Jones, Dave Hickson 2, Alan Arnell 3"
1962/63,12,"Bobby Conroy, Les Jones, Barry Dyson"
1962/63,13,Ralph Gubbins
1962/63,14,"Les Jones, Dave Hickson"
1962/63,15,"Dave Hickson, Barry Dyson"
1962/63,16,"Ralph Gubbins, Barry Dyson"
1962/63,17,Ralph Gubbins
1962/63,19,"Les Jones, Dave Hickson"
1962/63,20,Les Jones 2
1962/63,21,"John Manning 2, Dave Hickson 2"
1962/63,22,"Dave Hickson 3, Les Jones"
1962/63,23,Les Jones
1962/63,24,"Barry Dyson, OG"
1962/63,25,"Les Jones, Dave Hickson, Ralph Gubbins"
1962/63,26,"Johnny King, Les Jones"
1962/63,27,Dave Hickson
1962/63,28,Ken Finney
