season,game_no,player_name,shirt_no,role,on_for,off_for
1922/23,14,Thompson,2,starter,,
1922/23,14,Stuart,3,starter,,
1922/23,14,Campbell,4,starter,,
1922/23,14,Leary,5,starter,,
1922/23,14,Sewell,6,starter,,
1922/23,14,Moreton,7,starter,,
1922/23,14,Sharkey,8,starter,,
1922/23,14,Robinson J,9,starter,,
1922/23,14,Hilton,10,starter,,
1922/23,14,Evans,11,starter,,
1922/23,15,Gill,1,starter,,
1922/23,15,Thompson,2,starter,,
1922/23,15,Stuart,3,starter,,
1922/23,15,Campbell,4,starter,,
1922/23,15,Sewell,5,starter,,
1922/23,15,Hawarden,6,starter,,
1922/23,15,Moreton,7,starter,,
1922/23,15,Sharkey,8,starter,,
1922/23,15,Ratcliffe,9,starter,,
1922/23,15,Hilton,10,starter,,
1922/23,15,Evans,11,starter,,
1922/23,16,Gill,1,starter,,
1922/23,16,Thompson,2,starter,,
1922/23,16,Stuart,3,starter,,
1922/23,16,Campbell,4,starter,,
1922/23,16,Sewell,5,starter,,
1922/23,16,Hawarden,6,starter,,
1922/23,16,Moreton,7,starter,,
1922/23,16,Sharkey,8,starter,,
1922/23,16,Beswick,9,starter,,
1922/23,16,Hilton,10,starter,,
1922/23,16,Evans,11,starter,,
1922/23,17,Gill,1,starter,,
1922/23,17,Thompson,2,starter,,
1922/23,17,Stuart,3,starter,,
1922/23,17,Campbell,4,starter,,
1922/23,17,Sewell,5,starter,,
1922/23,17,Hawarden,6,starter,,
1922/23,17,Moreton,7,starter,,
1922/23,17,Sharkey,8,starter,,
1922/23,17,Beswick,9,starter,,
1922/23,17,Hilton,10,starter,,
1922/23,17,Evans,11,starter,,
1922/23,18,Gill,1,starter,,
1922/23,18,Thompson,2,starter,,
1922/23,18,Stuart,3,starter,,
1922/23,18,Campbell,4,starter,,
1922/23,18,Sewell,5,starter,,
1922/23,18,Hawarden,6,starter,,
1922/23,18,Moreton,7,starter,,
1922/23,18,Sharkey,8,starter,,
1922/23,18,Beswick,9,starter,,
1922/23,18,Hayes F,10,starter,,
1922/23,18,Evans,11,starter,,
1922/23,19,Gill,1,starter,,
1922/23,19,Thompson,2,starter,,
1922/23,19,Stuart,3,starter,,
1922/23,19,Campbell,4,starter,,
1922/23,19,Sewell,5,starter,,
1922/23,19,Hawarden,6,starter,,
1922/23,19,Moreton,7,starter,,
1922/23,19,Sharkey,8,starter,,
1922/23,19,Beswick,9,starter,,
1922/23,19,Hayes F,10,starter,,
1922/23,19,Evans,11,starter,,
1922/23,20,Gill,1,starter,,
1922/23,20,Thompson,2,starter,,
1922/23,20,Stuart,3,starter,,
1922/23,20,Campbell,4,starter,,
1922/23,20,Sewell,5,starter,,
1922/23,20,Hawarden,6,starter,,
1922/23,20,Moreton,7,starter,,
1922/23,20,Sharkey,8,starter,,
1922/23,20,Beswick,9,starter,,
1922/23,20,Hayes F,10,starter,,
1922/23,20,Evans,11,starter,,
1922/23,21,Gill,1,starter,,
1922/23,21,Thompson,2,starter,,
1922/23,21,Stuart,3,starter,,
1922/23,21,Campbell,4,starter,,
1922/23,21,Sewell,5,starter,,
1922/23,21,Hawarden,6,starter,,
1922/23,21,Moreton,7,starter,,
1922/23,21,Sharkey,8,starter,,
1922/23,21,Beswick,9,starter,,
1922/23,21,Hilton,10,starter,,
1922/23,21,Evans,11,starter,,
1922/23,22,Gill,1,starter,,
1922/23,22,Thompson,2,starter,,
1922/23,22,Stuart,3,starter,,
1922/23,22,Campbell,4,starter,,
1922/23,22,Sewell,5,starter,,
1922/23,22,Phillips,6,starter,,
1922/23,22,Moreton,7,starter,,
1922/23,22,Sharkey,8,starter,,
1922/23,22,Beswick,9,starter,,
1922/23,22,Hilton,10,starter,,
1922/23,22,Robinson J,11,starter,,
1922/23,23,Gill,1,starter,,
1922/23,23,Thompson,2,starter,,
1922/23,23,Stuart,3,starter,,
1922/23,23,Campbell,4,starter,,
1922/23,23,Sewell,5,starter,,
1922/23,23,Phillips,6,starter,,
1922/23,23,Moreton,7,starter,,
1922/23,23,Beswick,8,starter,,
1922/23,23,Crowther,9,starter,,
1922/23,23,Hilton,10,starter,,
1922/23,23,Evans,11,starter,,
1922/23,24,Gill,1,starter,,
1922/23,24,Thompson,2,starter,,
1922/23,24,Stuart,3,starter,,
1922/23,24,Campbell,4,starter,,
1922/23,24,Sewell,5,starter,,
1922/23,24,Phillips,6,starter,,
1922/23,24,Moreton,7,starter,,
1922/23,24,Beswick,8,starter,,
1922/23,24,Crowther,9,starter,,
1922/23,24,Hilton,10,starter,,
1922/23,24,Evans,11,starter,,
1922/23,25,Gill,1,starter,,
1922/23,25,Thompson,2,starter,,
1922/23,25,Stuart,3,starter,,
1922/23,25,Campbell,4,starter,,
1922/23,25,Sewell,5,starter,,
1922/23,25,Phillips,6,starter,,
1922/23,25,Moreton,7,starter,,
1922/23,25,Beswick,8,starter,,
