season,game_no,player_name,goals_scored
1924/25,41,Jimmy Jackson,1
1924/25,42,Tom Stuart,1
1924/25,42,Jack Brown,1
1924/25,43,Billy Fogg,1
1924/25,43,Stan Sayer,1
1924/25,44,Billy Fogg,1
1925/26,1,Billy Roberts,1
1925/26,1,Fred Marquis,1
1925/26,3,Vince Matthews,1
1925/26,3,Billy Chalmers,1
1925/26,4,Vince Matthews,1
1925/26,4,Bob White,1
1925/26,4,Fred Marquis,1
1925/26,6,Fred Marquis,2
1925/26,7,Bob White,1
1925/26,7,Fred Marquis,2
1925/26,11,Tom Stuart,1
1925/26,11,Fred Marquis,1
1925/26,11,Bob White,2
1925/26,11,Norman Proctor,1
1925/26,13,Fred Marquis,1
1925/26,13,Bob White,1
1925/26,14,Billy Chalmers,1
1925/26,15,Bob White,1
1925/26,15,Billy Chalmers,1
1925/26,16,Fred Marquis,1
1925/26,16,Bob White,1
1925/26,18,Norman Proctor,1
1925/26,19,Norman Proctor,1
1925/26,21,Fred Marquis,1
1925/26,21,Norman Proctor,1
1925/26,21,Billy Chalmers,1
1925/26,22,Fred Marquis,2
1925/26,23,Sammy Beswick,1
1925/26,23,Fred Marquis,1
1925/26,23,Norman Proctor,1
1925/26,24,Billy Fogg,1
1925/26,25,Fred Marquis,1
1925/26,26,Bob White,1
1925/26,26,Norman Proctor,1
1925/26,27,Johnny Campbell,1
1925/26,27,Bob White,1
1925/26,28,Bob White,2
1925/26,30,Sammy Beswick,2
1925/26,30,Bert Cartman,1
1925/26,31,Tom Stuart,1
1925/26,31,Bob White,1
1925/26,32,Jimmy Moreton,1
1925/26,33,Fred Marquis,1
1925/26,33,Billy Charlton,2
1925/26,34,Fred Marquis,2
1925/26,35,Fred Marquis,1
1925/26,35,Billy Charlton,1
1925/26,36,Tom Stuart,1
1925/26,36,Bert Cartman,1
1925/26,36,OG,1
1925/26,37,Fred Marquis,1
1925/26,37,Harry Littlehales,1
1925/26,37,Norman Proctor,1
1925/26,37,Bert Cartman,1
1925/26,38,Fred Marquis,1
1925/26,38,Harry Littlehales,2
1925/26,39,Harry Littlehales,1
1925/26,42,Fred Marquis,1
1925/26,43,Fred Marquis,1
1925/26,43,Norman Proctor,2
1925/26,44,Bob White,1
1925/26,44,Norman Proctor,3
1926/27,1,Fred Marquis,1
1926/27,1,Billy Charlton,1
1926/27,1,Bert Cartman,1
1926/27,2,Billy Charlton,1
1926/27,3,Fred Marquis,2
1926/27,3,Billy Charlton,2
1926/27,4,Billy Charlton,1
1926/27,4,Bert Cartman,1
1926/27,6,Norman Proctor,1
1926/27,6,Bert Cartman,1
1926/27,6,OG,1
1926/27,7,Harry Littlehales,1
1926/27,9,OG,1
1926/27,10,Billy Charlton,1
1926/27,11,Billy Charlton,1
1926/27,12,Fred Marquis,1
1926/27,12,Billy Charlton,1
1926/27,12,OG,1
1926/27,13,Fred Marquis,1
1926/27,14,Jack Flanagan,3
1926/27,15,Billy Charlton,1
1926/27,16,Jack Flanagan,1
