game_date,player_name,min_on,min_off,min_so
1992-04-04,Dave Higgins,0,0,81
1992-04-25,Chris Malkin,64,0,0
1992-04-25,Johnny Morrissey,0,64,0
1992-08-19,Dave Martindale,0,28,0
1992-08-19,Graham Branch,28,0,0
1992-08-19,Ian Muir,61,0,0
1992-08-19,Johnny Morrissey,0,61,0
1992-08-22,Johnny Morrissey,79,0,0
1992-08-22,Kenny Irons,0,79,0
1992-08-25,Chris Malkin,0,60,0
1992-08-25,Ged Brannan,0,60,0
1992-08-25,Ian Muir,60,0,0
1992-08-25,Johnny Morrissey,60,0,0
1992-08-28,Mark Hughes,0,46,0
1992-08-28,Neil McNab,46,0,0
1992-09-01,Steve Mungall,2,0,0
1992-09-01,Tony Thomas,0,2,0
1992-09-12,Chris Malkin,75,0,0
1992-09-12,Ian Muir,0,75,0
1992-09-12,Ian Nolan,0,33,0
1992-09-12,Steve Mungall,33,0,0
1992-09-15,Chris Malkin,0,46,0
1992-09-15,Steve Cooper,46,0,0
1992-09-18,Johnny Morrissey,0,78,0
1992-09-18,Steve Cooper,78,0,0
1992-10-10,Chris Malkin,0,78,0
1992-10-10,Dave Martindale,0,74,0
1992-10-10,Kenny Irons,74,0,0
1992-10-10,Steve Cooper,78,0,0
1992-10-24,Mark Hughes,55,0,0
1992-10-24,Steve Vickers,0,55,0
1992-11-14,Ged Brannan,0,26,0
1992-11-14,Mark Hughes,26,0,0
1992-12-16,Neil McNab,0,0,80
1993-01-02,Dave Martindale,16,0,0
1993-01-02,Ged Brannan,0,16,0
1993-01-02,John Aldridge,0,0,71
1993-01-09,Dave Martindale,84,0,0
1993-01-09,Kenny Irons,0,84,0
1993-02-06,Ian Muir,70,0,0
1993-02-06,Kenny Irons,0,70,0
1993-02-13,Chris Malkin,0,61,0
1993-02-13,Dave Martindale,67,0,0
1993-02-13,Ian Muir,67,0,0
1993-02-13,Neil McNab,0,67,0
1993-03-06,Ged Brannan,0,0,88
1993-03-06,Mark Hughes,45,0,0
1993-03-06,Steve Vickers,0,45,0
1993-03-13,Graham Branch,76,0,0
1993-03-13,Tommy Coyne,0,76,0
1993-04-24,John Aldridge,61,0,0
1993-04-24,Tommy Coyne,0,61,0
1993-05-08,Danny Coyne,0,0,38
1993-08-24,Ian Nolan,66,0,0
1993-08-24,Jon Kenworthy,66,0,0
1993-08-24,Mark Proctor,0,66,0
1993-08-24,Tony Thomas,0,66,0
1993-08-28,Chris Malkin,0,0,30
1993-08-28,Ian Nolan,0,0,85
1993-08-31,Ian Muir,83,0,0
1993-08-31,Ian Nolan,0,46,0
1993-08-31,Jon Kenworthy,46,83,0
1993-09-04,Ian Muir,65,0,0
1993-09-04,Jon Kenworthy,84,0,0
1993-09-04,Kenny Irons,0,65,0
1993-09-04,Tony Thomas,0,84,0
1993-09-14,Ian Muir,0,78,0
1993-09-14,Jon Kenworthy,78,0,0
1993-09-14,Mark Hughes,44,0,0
1993-09-14,Shaun Garnett,0,44,0
1993-09-18,Dave Higgins,0,68,0
1993-09-18,Jon Kenworthy,68,0,0
1993-09-25,Chris Malkin,9,0,0
1993-09-25,John Aldridge,0,9,0
1993-09-25,Jon Kenworthy,0,85,0
1993-09-25,Kenny Irons,85,0,0
1993-10-05,Dave Martindale,0,85,0
1993-10-05,Graham Branch,85,0,0
1993-10-09,Ged Brannan,0,81,0
1993-10-09,Graham Branch,81,0,0
1993-10-16,Graham Branch,52,0,0
1993-10-16,Jon Kenworthy,0,52,0
1993-10-22,Graham Branch,89,0,0
1993-10-22,Jon Kenworthy,0,89,0
1993-10-26,Dave Martindale,81,0,0
1993-10-26,Ged Brannan,0,81,0
1993-10-26,Ian Muir,46,0,0
1993-10-26,John Aldridge,0,46,0
1993-10-30,Graham Branch,67,0,0
1993-10-30,Jon Kenworthy,0,67,0
1993-11-06,Ged Brannan,0,75,0
1993-11-06,Graham Branch,75,0,0
1993-11-06,Jon Kenworthy,0,75,0
1993-11-06,Kenny Irons,75,0,0
1993-11-13,Chris Malkin,0,45,0
1993-11-13,Johnny Morrissey,45,0,0
1993-11-20,Gary Jones,63,0,0
1993-11-20,Kenny Irons,0,63,0
1993-12-19,Graham Branch,76,0,0
1993-12-19,Johnny Morrissey,0,76,0
1993-12-19,Mark Proctor,0,76,0
1993-12-19,Steve Mungall,76,0,0
1993-12-27,Graham Branch,45,0,0
1993-12-27,John Aldridge,0,45,0
1994-01-03,Graham Branch,0,69,0
1994-01-03,Jon Kenworthy,69,0,0
1994-01-03,Kenny Irons,69,0,0
1994-01-03,Mark Proctor,0,69,0
1994-01-08,Graham Branch,66,0,0
1994-01-08,Mark Proctor,0,66,0
1994-01-16,Dave Higgins,0,32,0
1994-01-16,Dave Martindale,46,0,0
1994-01-16,John McGreal,32,0,0
1994-01-16,Mark Hughes,0,46,0
1994-01-23,Ian Nolan,0,73,0
1994-01-23,Kenny Irons,73,0,0
1994-01-26,Kenny Irons,84,0,0
1994-01-26,Pat Nevin,0,84,0
1994-01-29,Dave Higgins,0,71,0
1994-01-29,Ian Nolan,0,75,0
1994-01-29,Kenny Irons,75,0,0
1994-01-29,Steve Mungall,71,0,0
1994-02-05,Danny Coyne,73,0,0
