season,game_no,player_name,goals_scored,game_date,opposition,venue,score,goals_for,goals_against,generic_comp,game_type,league_tier,manager
1955/56,2,Mike Fleming,1,1955-08-22,Gateshead,A,3-3,3,3,Football League,League,3,Noel Kelly
1955/56,2,Gerard Tansey,1,1955-08-22,Gateshead,A,3-3,3,3,Football League,League,3,Noel Kelly
1955/56,4,Noel Kelly,1,1955-08-30,Gateshead,H,1-1,1,1,Football League,League,3,Noel Kelly
1955/56,7,Ray Davies,1,1955-09-10,Bradford Park Avenue,H,4-1,4,1,Football League,League,3,Noel Kelly
1955/56,7,Sammy Speakman,2,1955-09-10,Bradford Park Avenue,H,4-1,4,1,Football League,League,3,Noel Kelly
1955/56,7,OG,1,1955-09-10,Bradford Park Avenue,H,4-1,4,1,Football League,League,3,Noel Kelly
1955/56,8,Ray Davies,1,1955-09-14,Darlington,A,2-6,2,6,Football League,League,3,Noel Kelly
1955/56,8,Jackie Kidd,1,1955-09-14,Darlington,A,2-6,2,6,Football League,League,3,Noel Kelly
1955/56,9,Kenny McDevitt,1,1955-09-17,Rochdale,A,3-1,3,1,Football League,League,3,Noel Kelly
1955/56,9,Noel Kelly,1,1955-09-17,Rochdale,A,3-1,3,1,Football League,League,3,Noel Kelly
1955/56,9,Sammy Speakman,1,1955-09-17,Rochdale,A,3-1,3,1,Football League,League,3,Noel Kelly
1955/56,10,Noel Kelly,1,1955-09-20,Accrington Stanley,H,4-1,4,1,Football League,League,3,Noel Kelly
1955/56,10,Ray Davies,3,1955-09-20,Accrington Stanley,H,4-1,4,1,Football League,League,3,Noel Kelly
1955/56,13,Kenny McDevitt,1,1955-10-01,York City,H,2-1,2,1,Football League,League,3,Noel Kelly
1955/56,13,Ray Davies,1,1955-10-01,York City,H,2-1,2,1,Football League,League,3,Noel Kelly
1955/56,15,Ray Davies,1,1955-10-15,Workington,H,2-0,2,0,Football League,League,3,Noel Kelly
1955/56,15,Sammy Speakman,1,1955-10-15,Workington,H,2-0,2,0,Football League,League,3,Noel Kelly
1955/56,17,Ray Williams,1,1955-10-29,Mansfield Town,H,1-0,1,0,Football League,League,3,Noel Kelly
1955/56,18,Sammy Speakman,1,1955-11-05,Wrexham,A,1-3,1,3,Football League,League,3,Noel Kelly
1955/56,19,Ray Davies,1,1955-11-12,Halifax Town,H,2-1,2,1,Football League,League,3,Noel Kelly
1955/56,19,Derek Jones,1,1955-11-12,Halifax Town,H,2-1,2,1,Football League,League,3,Noel Kelly
1955/56,20,Sammy Speakman,2,1955-11-19,Easington Colliery Welfare,A,2-0,2,0,FA Cup,Cup,NA,Noel Kelly
1955/56,21,Derek Jones,2,1955-11-26,Scunthorpe United,H,2-1,2,1,Football League,League,3,Noel Kelly
1955/56,22,Kenny McDevitt,1,1955-12-03,Oldham Athletic,A,1-4,1,4,Football League,League,3,Noel Kelly
1955/56,24,Kenny McDevitt,1,1955-12-17,Chester,H,4-0,4,0,Football League,League,3,Noel Kelly
1955/56,24,Arthur Walls,1,1955-12-17,Chester,H,4-0,4,0,Football League,League,3,Noel Kelly
1955/56,24,Jackie Kidd,1,1955-12-17,Chester,H,4-0,4,0,Football League,League,3,Noel Kelly
1955/56,24,Sammy Speakman,1,1955-12-17,Chester,H,4-0,4,0,Football League,League,3,Noel Kelly
1955/56,25,Kenny McDevitt,1,1955-12-24,Carlisle United,A,3-0,3,0,Football League,League,3,Noel Kelly
1955/56,25,Arthur Walls,1,1955-12-24,Carlisle United,A,3-0,3,0,Football League,League,3,Noel Kelly
1955/56,25,Jackie Kidd,1,1955-12-24,Carlisle United,A,3-0,3,0,Football League,League,3,Noel Kelly
1955/56,26,Len Kieran,1,1955-12-26,Barrow,H,1-1,1,1,Football League,League,3,Noel Kelly
1955/56,27,Arthur Walls,1,1955-12-27,Barrow,A,1-1,1,1,Football League,League,3,Noel Kelly
1955/56,29,Mike Fleming,1,1956-01-02,Southport,H,1-2,1,2,Football League,League,3,Noel Kelly
1955/56,31,Terry Stephens,1,1956-01-21,Rochdale,H,2-1,2,1,Football League,League,3,Noel Kelly
1955/56,31,Frank Parnell,1,1956-01-21,Rochdale,H,2-1,2,1,Football League,League,3,Noel Kelly
1955/56,32,Frank Parnell,1,1956-01-28,Hartlepools United,H,2-2,2,2,Football League,League,3,Noel Kelly
1955/56,32,Sammy Speakman,1,1956-01-28,Hartlepools United,H,2-2,2,2,Football League,League,3,Noel Kelly
1955/56,34,Kenny McDevitt,1,1956-02-11,York City,A,4-2,4,2,Football League,League,3,Noel Kelly
1955/56,34,Derek Jones,2,1956-02-11,York City,A,4-2,4,2,Football League,League,3,Noel Kelly
1955/56,34,Terry Stephens,1,1956-02-11,York City,A,4-2,4,2,Football League,League,3,Noel Kelly
1955/56,35,Derek Jones,1,1956-02-18,Crewe Alexandra,H,2-1,2,1,Football League,League,3,Noel Kelly
1955/56,35,Sammy Speakman,1,1956-02-18,Crewe Alexandra,H,2-1,2,1,Football League,League,3,Noel Kelly
1955/56,37,Kenny McDevitt,1,1956-03-03,Stockport County,H,2-1,2,1,Football League,League,3,Noel Kelly
1955/56,37,Terry Stephens,1,1956-03-03,Stockport County,H,2-1,2,1,Football League,League,3,Noel Kelly
1955/56,39,Harold Bell,1,1956-03-17,Bradford City,H,1-1,1,1,Football League,League,3,Noel Kelly
1955/56,40,Derek Jones,1,1956-03-24,Halifax Town,A,2-0,2,0,Football League,League,3,Noel Kelly
1955/56,40,Mike Fleming,1,1956-03-24,Halifax Town,A,2-0,2,0,Football League,League,3,Noel Kelly
1955/56,44,Derek Jones,1,1956-04-07,Scunthorpe United,A,1-2,1,2,Football League,League,3,Noel Kelly
1955/56,46,Noel Kelly,1,1956-04-18,Bradford Park Avenue,A,5-4,5,4,Football League,League,3,Noel Kelly
1955/56,46,Derek Jones,1,1956-04-18,Bradford Park Avenue,A,5-4,5,4,Football League,League,3,Noel Kelly
1955/56,46,Terry Stephens,2,1956-04-18,Bradford Park Avenue,A,5-4,5,4,Football League,League,3,Noel Kelly
1955/56,46,OG,1,1956-04-18,Bradford Park Avenue,A,5-4,5,4,Football League,League,3,Noel Kelly
1956/57,1,Phil Gwatkin,1,1956-08-20,Hull City,A,1-4,1,4,Football League,League,3,Noel Kelly
1956/57,3,Phil Gwatkin,1,1956-08-28,Hull City,H,2-4,2,4,Football League,League,3,Noel Kelly
1956/57,3,Noel Kelly,1,1956-08-28,Hull City,H,2-4,2,4,Football League,League,3,Noel Kelly
1956/57,4,Tony Spink,1,1956-09-01,Oldham Athletic,H,2-1,2,1,Football League,League,3,Noel Kelly
1956/57,4,Noel Kelly,1,1956-09-01,Oldham Athletic,H,2-1,2,1,Football League,League,3,Noel Kelly
1956/57,5,Tony Spink,1,1956-09-04,Accrington Stanley,H,1-2,1,2,Football League,League,3,Noel Kelly
1956/57,8,Derek Jones,1,1956-09-15,Southport,H,1-1,1,1,Football League,League,3,Noel Kelly
1956/57,10,Derek Jones,1,1956-09-22,Chesterfield,A,1-3,1,3,Football League,League,3,Noel Kelly
1956/57,11,Verdi Godwin,1,1956-09-24,Hartlepools United,A,1-5,1,5,Football League,League,3,Noel Kelly
1956/57,12,Tommy Williams,1,1956-09-29,Chester,H,3-1,3,1,Football League,League,3,Noel Kelly
1956/57,12,Jim Dodd,1,1956-09-29,Chester,H,3-1,3,1,Football League,League,3,Noel Kelly
1956/57,12,Kenny McDevitt,1,1956-09-29,Chester,H,3-1,3,1,Football League,League,3,Noel Kelly
1956/57,14,Jim Dodd,1,1956-10-13,Darlington,A,1-1,1,1,Football League,League,3,Noel Kelly
1956/57,15,Peter Rees,2,1956-10-20,Rochdale,H,2-2,2,2,Football League,League,3,Noel Kelly
1956/57,16,Frank Parnell,1,1956-10-27,Gateshead,A,1-3,1,3,Football League,League,3,Noel Kelly
1956/57,17,Tony Spink,1,1956-11-03,Wrexham,H,2-4,2,4,Football League,League,3,Noel Kelly
1956/57,17,Peter Rees,1,1956-11-03,Wrexham,H,2-4,2,4,Football League,League,3,Noel Kelly
1956/57,19,Ray Davies,1,1956-11-17,Bishop Auckland,A,1-2,1,2,FA Cup,Cup,NA,Noel Kelly
1956/57,20,Ray Davies,1,1956-11-24,Scunthorpe United,A,4-1,4,1,Football League,League,3,Noel Kelly
1956/57,20,Phil Gwatkin,1,1956-11-24,Scunthorpe United,A,4-1,4,1,Football League,League,3,Noel Kelly
1956/57,20,Verdi Godwin,1,1956-11-24,Scunthorpe United,A,4-1,4,1,Football League,League,3,Noel Kelly
1956/57,20,Alan Hill,1,1956-11-24,Scunthorpe United,A,4-1,4,1,Football League,League,3,Noel Kelly
1956/57,22,OG,2,1956-12-15,Workington,A,2-3,2,3,Football League,League,3,Noel Kelly
1956/57,23,Len Kieran,1,1956-12-22,York City,H,3-3,3,3,Football League,League,3,Noel Kelly
1956/57,23,Jim Dodd,1,1956-12-22,York City,H,3-3,3,3,Football League,League,3,Noel Kelly
1956/57,23,Mike Fleming,1,1956-12-22,York City,H,3-3,3,3,Football League,League,3,Noel Kelly
1956/57,24,Jim Dodd,1,1956-12-25,Bradford City,A,1-4,1,4,Football League,League,3,Noel Kelly
1956/57,26,Phil Gwatkin,1,1957-01-01,Crewe Alexandra,H,3-0,3,0,Football League,League,3,Noel Kelly
1956/57,26,Alan Holder,1,1957-01-01,Crewe Alexandra,H,3-0,3,0,Football League,League,3,Noel Kelly
1956/57,26,Kenny McDevitt,1,1957-01-01,Crewe Alexandra,H,3-0,3,0,Football League,League,3,Noel Kelly
1956/57,27,Phil Gwatkin,1,1957-01-05,Stockport County,A,1-3,1,3,Football League,League,3,Noel Kelly
1956/57,28,Phil Gwatkin,1,1957-01-12,Mansfield Town,H,3-1,3,1,Football League,League,3,Noel Kelly
1956/57,28,Jim Dodd,2,1957-01-12,Mansfield Town,H,3-1,3,1,Football League,League,3,Noel Kelly
1956/57,30,Jackie Heydon,1,1957-01-26,Stockport County,H,2-2,2,2,Football League,League,3,Noel Kelly
1956/57,30,Jim Dodd,1,1957-01-26,Stockport County,H,2-2,2,2,Football League,League,3,Noel Kelly
1956/57,31,Kenny McDevitt,1,1957-02-02,Chesterfield,H,2-2,2,2,Football League,League,3,Noel Kelly
1956/57,31,Jim Dodd,1,1957-02-02,Chesterfield,H,2-2,2,2,Football League,League,3,Noel Kelly
1956/57,32,Peter Rees,1,1957-02-09,Chester,A,1-1,1,1,Football League,League,3,Noel Kelly
1956/57,36,Bernard Molyneux,1,1957-03-13,Workington,H,1-1,1,1,Football League,League,3,Noel Kelly
1956/57,40,Kenny McDevitt,3,1957-04-06,Scunthorpe United,H,4-2,4,2,Football League,League,3,Noel Kelly
1956/57,40,Jim Dodd,1,1957-04-06,Scunthorpe United,H,4-2,4,2,Football League,League,3,Noel Kelly
1956/57,41,Kenny McDevitt,1,1957-04-08,Darlington,H,2-2,2,2,Football League,League,3,Noel Kelly
1956/57,41,Jim Dodd,1,1957-04-08,Darlington,H,2-2,2,2,Football League,League,3,Noel Kelly
1956/57,42,Jackie Kidd,1,1957-04-13,Bradford Park Avenue,A,2-1,2,1,Football League,League,3,Noel Kelly
1956/57,42,Bernard Molyneux,1,1957-04-13,Bradford Park Avenue,A,2-1,2,1,Football League,League,3,Noel Kelly
1956/57,44,Noel Kelly,1,1957-04-19,Carlisle United,A,2-2,2,2,Football League,League,3,Noel Kelly
1956/57,44,Bernard Molyneux,1,1957-04-19,Carlisle United,A,2-2,2,2,Football League,League,3,Noel Kelly
1957/58,1,Keith Williams,1,1957-08-24,Chester,A,3-1,3,1,Football League,League,3,Noel Kelly
1957/58,1,Alec Gaskell,1,1957-08-24,Chester,A,3-1,3,1,Football League,League,3,Noel Kelly
1957/58,1,Tommy Eglington,1,1957-08-24,Chester,A,3-1,3,1,Football League,League,3,Noel Kelly
1957/58,2,Alec Gaskell,1,1957-08-26,Scunthorpe United,H,1-4,1,4,Football League,League,3,Noel Kelly
1957/58,3,Tommy Eglington,1,1957-08-31,Chesterfield,H,1-2,1,2,Football League,League,3,Noel Kelly
1957/58,5,Keith Williams,1,1957-09-07,Darlington,A,1-2,1,2,Football League,League,3,Noel Kelly
1957/58,6,Tommy Eglington,1,1957-09-09,Bury,H,1-1,1,1,Football League,League,3,Noel Kelly
1957/58,7,Tommy Eglington,1,1957-09-14,Hartlepools United,A,1-1,1,1,Football League,League,3,Noel Kelly
1957/58,8,Keith Williams,1,1957-09-16,Bury,A,2-8,2,8,Football League,League,3,Noel Kelly
1957/58,8,Alec Gaskell,1,1957-09-16,Bury,A,2-8,2,8,Football League,League,3,Noel Kelly
1957/58,9,Charlie McDonnell,1,1957-09-21,Bradford Park Avenue,H,5-0,5,0,Football League,League,3,Noel Kelly
1957/58,9,Keith Williams,3,1957-09-21,Bradford Park Avenue,H,5-0,5,0,Football League,League,3,Noel Kelly
1957/58,9,Eddie Crossan,1,1957-09-21,Bradford Park Avenue,H,5-0,5,0,Football League,League,3,Noel Kelly
1957/58,10,Eddie Crossan,1,1957-09-23,Oldham Athletic,H,1-1,1,1,Football League,League,3,Noel Kelly
1957/58,11,Mike Fleming,1,1957-09-28,Carlisle United,A,1-3,1,3,Football League,League,3,Noel Kelly
1957/58,13,Eddie Crossan,1,1957-10-05,Southport,H,2-1,2,1,Football League,League,3,Peter Farrell
1957/58,13,Tommy Eglington,1,1957-10-05,Southport,H,2-1,2,1,Football League,League,3,Peter Farrell
1957/58,14,Eddie Crossan,1,1957-10-12,Mansfield Town,H,1-2,1,2,Football League,League,3,Peter Farrell
1957/58,15,Derek Jones,2,1957-10-19,Crewe Alexandra,A,4-0,4,0,Football League,League,3,Peter Farrell
1957/58,15,Keith Williams,2,1957-10-19,Crewe Alexandra,A,4-0,4,0,Football League,League,3,Peter Farrell
1957/58,16,Charlie McDonnell,1,1957-10-26,Rochdale,H,3-1,3,1,Football League,League,3,Peter Farrell
1957/58,16,Keith Williams,1,1957-10-26,Rochdale,H,3-1,3,1,Football League,League,3,Peter Farrell
1957/58,16,Derek Jones,1,1957-10-26,Rochdale,H,3-1,3,1,Football League,League,3,Peter Farrell
1957/58,17,Charlie McDonnell,1,1957-11-02,Halifax Town,A,1-1,1,1,Football League,League,3,Peter Farrell
1957/58,18,Keith Williams,1,1957-11-09,Stockport County,H,2-2,2,2,Football League,League,3,Peter Farrell
1957/58,18,Derek Jones,1,1957-11-09,Stockport County,H,2-2,2,2,Football League,League,3,Peter Farrell
1957/58,19,Keith Williams,1,1957-11-16,Witton Albion,H,2-1,2,1,FA Cup,Cup,NA,Peter Farrell
1957/58,19,Tommy Eglington,1,1957-11-16,Witton Albion,H,2-1,2,1,FA Cup,Cup,NA,Peter Farrell
1957/58,20,Wilf Charlton,1,1957-11-23,Bradford City,H,4-1,4,1,Football League,League,3,Peter Farrell
1957/58,20,Keith Williams,2,1957-11-23,Bradford City,H,4-1,4,1,Football League,League,3,Peter Farrell
1957/58,20,Eddie Crossan,1,1957-11-23,Bradford City,H,4-1,4,1,Football League,League,3,Peter Farrell
1957/58,21,Keith Williams,2,1957-11-30,Workington,A,2-1,2,1,Football League,League,3,Peter Farrell
1957/58,22,Keith Williams,1,1957-12-07,Durham City,A,3-0,3,0,FA Cup,Cup,NA,Peter Farrell
1957/58,22,Jim Dodd,1,1957-12-07,Durham City,A,3-0,3,0,FA Cup,Cup,NA,Peter Farrell
1957/58,22,Tommy Eglington,1,1957-12-07,Durham City,A,3-0,3,0,FA Cup,Cup,NA,Peter Farrell
1957/58,23,Peter Farrell,1,1957-12-14,Gateshead,A,3-2,3,2,Football League,League,3,Peter Farrell
1957/58,23,Keith Williams,1,1957-12-14,Gateshead,A,3-2,3,2,Football League,League,3,Peter Farrell
1957/58,23,Jim Dodd,1,1957-12-14,Gateshead,A,3-2,3,2,Football League,League,3,Peter Farrell
1957/58,24,Keith Williams,1,1957-12-21,Chester,H,2-2,2,2,Football League,League,3,Peter Farrell
1957/58,24,Tommy Eglington,1,1957-12-21,Chester,H,2-2,2,2,Football League,League,3,Peter Farrell
1957/58,25,Kenny McDevitt,1,1957-12-25,Barrow,A,4-1,4,1,Football League,League,3,Peter Farrell
1957/58,25,Charlie McDonnell,1,1957-12-25,Barrow,A,4-1,4,1,Football League,League,3,Peter Farrell
1957/58,25,Tommy Eglington,2,1957-12-25,Barrow,A,4-1,4,1,Football League,League,3,Peter Farrell
1957/58,26,Jim Dodd,1,1957-12-26,Barrow,H,1-1,1,1,Football League,League,3,Peter Farrell
1957/58,27,Keith Williams,1,1957-12-28,Chesterfield,A,1-2,1,2,Football League,League,3,Peter Farrell
1957/58,28,Keith Williams,3,1958-01-01,York City,H,6-1,6,1,Football League,League,3,Peter Farrell
1957/58,28,Jim Dodd,3,1958-01-01,York City,H,6-1,6,1,Football League,League,3,Peter Farrell
1957/58,30,Keith Williams,1,1958-01-11,Darlington,H,2-1,2,1,Football League,League,3,Peter Farrell
1957/58,30,Jim Dodd,1,1958-01-11,Darlington,H,2-1,2,1,Football League,League,3,Peter Farrell
1957/58,31,Kenny McDevitt,1,1958-01-18,Hartlepools United,H,3-2,3,2,Football League,League,3,Peter Farrell
1957/58,31,Keith Williams,1,1958-01-18,Hartlepools United,H,3-2,3,2,Football League,League,3,Peter Farrell
1957/58,31,Eddie Crossan,1,1958-01-18,Hartlepools United,H,3-2,3,2,Football League,League,3,Peter Farrell
1957/58,34,Keith Williams,3,1958-02-15,Southport,A,3-0,3,0,Football League,League,3,Peter Farrell
1957/58,36,Keith Williams,1,1958-03-01,Crewe Alexandra,H,5-2,5,2,Football League,League,3,Peter Farrell
1957/58,36,Alec Gaskell,3,1958-03-01,Crewe Alexandra,H,5-2,5,2,Football League,League,3,Peter Farrell
1957/58,36,Tommy Eglington,1,1958-03-01,Crewe Alexandra,H,5-2,5,2,Football League,League,3,Peter Farrell
1957/58,38,Ken Finney,2,1958-03-15,Halifax Town,H,2-0,2,0,Football League,League,3,Peter Farrell
1957/58,40,Wilf Charlton,1,1958-03-22,Mansfield Town,A,1-4,1,4,Football League,League,3,Peter Farrell
1957/58,41,Kenny McDevitt,1,1958-03-29,Hull City,H,4-4,4,4,Football League,League,3,Peter Farrell
1957/58,41,Ken Finney,1,1958-03-29,Hull City,H,4-4,4,4,Football League,League,3,Peter Farrell
1957/58,41,Tony Rowley,1,1958-03-29,Hull City,H,4-4,4,4,Football League,League,3,Peter Farrell
1957/58,41,Tommy Eglington,1,1958-03-29,Hull City,H,4-4,4,4,Football League,League,3,Peter Farrell
1957/58,42,Tommy Eglington,1,1958-04-04,Accrington Stanley,A,1-2,1,2,Football League,League,3,Peter Farrell
1957/58,43,Keith Williams,1,1958-04-05,Wrexham,A,2-2,2,2,Football League,League,3,Peter Farrell
1957/58,43,Jim Dodd,1,1958-04-05,Wrexham,A,2-2,2,2,Football League,League,3,Peter Farrell
1957/58,45,OG,1,1958-04-12,Workington,H,1-0,1,0,Football League,League,3,Peter Farrell
1957/58,46,Keith Williams,1,1958-04-19,Stockport County,A,1-2,1,2,Football League,League,3,Peter Farrell
1957/58,48,Kenny McDevitt,1,1958-04-26,Gateshead,H,2-1,2,1,Football League,League,3,Peter Farrell
1957/58,48,Jim Dodd,1,1958-04-26,Gateshead,H,2-1,2,1,Football League,League,3,Peter Farrell
1957/58,49,Kenny McDevitt,1,1958-04-30,Wrexham,H,2-1,2,1,Football League,League,3,Peter Farrell
1957/58,49,Tommy Eglington,1,1958-04-30,Wrexham,H,2-1,2,1,Football League,League,3,Peter Farrell
1958/59,1,Charlie McDonnell,2,1958-08-23,Doncaster Rovers,H,3-0,3,0,Football League,League,3,Peter Farrell
1958/59,1,OG,1,1958-08-23,Doncaster Rovers,H,3-0,3,0,Football League,League,3,Peter Farrell
1958/59,2,Tony Rowley,1,1958-08-25,Queens Park Rangers,A,1-1,1,1,Football League,League,3,Peter Farrell
1958/59,4,Tony Rowley,1,1958-09-01,Queens Park Rangers,H,2-0,2,0,Football League,League,3,Peter Farrell
1958/59,4,Keith Williams,1,1958-09-01,Queens Park Rangers,H,2-0,2,0,Football League,League,3,Peter Farrell
1958/59,6,Keith Williams,1,1958-09-10,Southend United,A,3-1,3,1,Football League,League,3,Peter Farrell
1958/59,6,Tony Rowley,1,1958-09-10,Southend United,A,3-1,3,1,Football League,League,3,Peter Farrell
1958/59,6,Charlie McDonnell,1,1958-09-10,Southend United,A,3-1,3,1,Football League,League,3,Peter Farrell
1958/59,7,Keith Williams,3,1958-09-13,Stockport County,H,3-1,3,1,Football League,League,3,Peter Farrell
1958/59,8,Charlie McDonnell,1,1958-09-15,Southend United,H,1-1,1,1,Football League,League,3,Peter Farrell
1958/59,10,Keith Williams,2,1958-09-23,Rochdale,A,4-1,4,1,Football League,League,3,Peter Farrell
1958/59,10,Charlie McDonnell,2,1958-09-23,Rochdale,A,4-1,4,1,Football League,League,3,Peter Farrell
1958/59,11,Keith Williams,2,1958-09-27,Colchester United,H,3-3,3,3,Football League,League,3,Peter Farrell
1958/59,11,Charlie McDonnell,1,1958-09-27,Colchester United,H,3-3,3,3,Football League,League,3,Peter Farrell
1958/59,12,Keith Williams,1,1958-09-29,Rochdale,H,2-1,2,1,Football League,League,3,Peter Farrell
1958/59,12,OG,1,1958-09-29,Rochdale,H,2-1,2,1,Football League,League,3,Peter Farrell
1958/59,15,Jim Dodd,1,1958-10-11,Brentford,H,1-2,1,2,Football League,League,3,Peter Farrell
1958/59,16,Keith Williams,1,1958-10-18,Swindon Town,A,2-1,2,1,Football League,League,3,Peter Farrell
1958/59,16,Johnny Green,1,1958-10-18,Swindon Town,A,2-1,2,1,Football League,League,3,Peter Farrell
1958/59,17,Johnny Green,1,1958-10-25,Mansfield Town,H,2-2,2,2,Football League,League,3,Peter Farrell
1958/59,17,Tommy Eglington,1,1958-10-25,Mansfield Town,H,2-2,2,2,Football League,League,3,Peter Farrell
1958/59,18,Tommy Eglington,1,1958-11-01,Notts County,A,1-1,1,1,Football League,League,3,Peter Farrell
1958/59,19,Tony Rowley,1,1958-11-08,Chesterfield,H,2-0,2,0,Football League,League,3,Peter Farrell
1958/59,19,OG,1,1958-11-08,Chesterfield,H,2-0,2,0,Football League,League,3,Peter Farrell
1958/59,20,Ken Finney,1,1958-11-15,Bishop Auckland,H,8-1,8,1,FA Cup,Cup,NA,Peter Farrell
1958/59,20,Keith Williams,4,1958-11-15,Bishop Auckland,H,8-1,8,1,FA Cup,Cup,NA,Peter Farrell
1958/59,20,Tony Rowley,1,1958-11-15,Bishop Auckland,H,8-1,8,1,FA Cup,Cup,NA,Peter Farrell
1958/59,20,Johnny Green,1,1958-11-15,Bishop Auckland,H,8-1,8,1,FA Cup,Cup,NA,Peter Farrell
1958/59,20,Tommy Eglington,1,1958-11-15,Bishop Auckland,H,8-1,8,1,FA Cup,Cup,NA,Peter Farrell
1958/59,21,Tony Rowley,2,1958-11-22,Southampton,H,2-0,2,0,Football League,League,3,Peter Farrell
1958/59,22,Tony Rowley,1,1958-11-29,Accrington Stanley,A,1-3,1,3,Football League,League,3,Peter Farrell
1958/59,23,Tony Rowley,1,1958-12-06,Doncaster Rovers,H,1-2,1,2,FA Cup,Cup,NA,Peter Farrell
1958/59,24,Keith Williams,2,1958-12-13,Wrexham,A,5-2,5,2,Football League,League,3,Peter Farrell
1958/59,24,Tony Rowley,2,1958-12-13,Wrexham,A,5-2,5,2,Football League,League,3,Peter Farrell
1958/59,24,Johnny Green,1,1958-12-13,Wrexham,A,5-2,5,2,Football League,League,3,Peter Farrell
1958/59,26,Charlie McDonnell,2,1958-12-26,Bury,A,2-4,2,4,Football League,League,3,Peter Farrell
1958/59,27,Charlie McDonnell,1,1958-12-27,Bury,H,4-0,4,0,Football League,League,3,Peter Farrell
1958/59,27,Jim Dodd,3,1958-12-27,Bury,H,4-0,4,0,Football League,League,3,Peter Farrell
1958/59,28,Charlie McDonnell,1,1959-01-01,Wrexham,H,1-2,1,2,Football League,League,3,Peter Farrell
1958/59,29,Charlie McDonnell,1,1959-01-24,Halifax Town,H,1-2,1,2,Football League,League,3,Peter Farrell
1958/59,31,Keith Williams,1,1959-02-07,Reading,H,2-1,2,1,Football League,League,3,Peter Farrell
1958/59,31,Tony Rowley,1,1959-02-07,Reading,H,2-1,2,1,Football League,League,3,Peter Farrell
1958/59,32,Keith Williams,1,1959-02-14,Colchester United,A,1-1,1,1,Football League,League,3,Peter Farrell
1958/59,33,Keith Williams,1,1959-02-21,Bournemouth and Boscombe Athletic,H,4-0,4,0,Football League,League,3,Peter Farrell
1958/59,33,Tony Rowley,2,1959-02-21,Bournemouth and Boscombe Athletic,H,4-0,4,0,Football League,League,3,Peter Farrell
1958/59,33,Tommy Eglington,1,1959-02-21,Bournemouth and Boscombe Athletic,H,4-0,4,0,Football League,League,3,Peter Farrell
1958/59,34,Tony Rowley,2,1959-02-23,Bradford City,H,3-1,3,1,Football League,League,3,Peter Farrell
1958/59,34,Johnny Green,1,1959-02-23,Bradford City,H,3-1,3,1,Football League,League,3,Peter Farrell
1958/59,35,Ken Finney,2,1959-02-28,Brentford,A,2-5,2,5,Football League,League,3,Peter Farrell
1958/59,36,Tony Rowley,1,1959-03-07,Swindon Town,H,3-1,3,1,Football League,League,3,Peter Farrell
1958/59,36,Johnny Green,1,1959-03-07,Swindon Town,H,3-1,3,1,Football League,League,3,Peter Farrell
1958/59,36,Tommy Eglington,1,1959-03-07,Swindon Town,H,3-1,3,1,Football League,League,3,Peter Farrell
1958/59,38,Tony Rowley,1,1959-03-14,Mansfield Town,A,2-0,2,0,Football League,League,3,Peter Farrell
1958/59,38,Charlie McDonnell,1,1959-03-14,Mansfield Town,A,2-0,2,0,Football League,League,3,Peter Farrell
1958/59,39,Tony Rowley,2,1959-03-16,Plymouth Argyle,H,2-0,2,0,Football League,League,3,Peter Farrell
1958/59,41,Keith Williams,1,1959-03-27,Hull City,H,1-0,1,0,Football League,League,3,Peter Farrell
1958/59,42,Keith Williams,1,1959-03-28,Chesterfield,A,2-3,2,3,Football League,League,3,Peter Farrell
1958/59,42,Tony Rowley,1,1959-03-28,Chesterfield,A,2-3,2,3,Football League,League,3,Peter Farrell
1958/59,44,Keith Williams,1,1959-04-04,Newport County,H,2-1,2,1,Football League,League,3,Peter Farrell
1958/59,44,Tony Rowley,1,1959-04-04,Newport County,H,2-1,2,1,Football League,League,3,Peter Farrell
1958/59,45,Keith Williams,2,1959-04-11,Southampton,A,3-2,3,2,Football League,League,3,Peter Farrell
1958/59,45,Charlie McDonnell,1,1959-04-11,Southampton,A,3-2,3,2,Football League,League,3,Peter Farrell
1958/59,46,Ken Finney,1,1959-04-18,Accrington Stanley,H,9-0,9,0,Football League,League,3,Peter Farrell
1958/59,46,Keith Williams,1,1959-04-18,Accrington Stanley,H,9-0,9,0,Football League,League,3,Peter Farrell
1958/59,46,Tony Rowley,4,1959-04-18,Accrington Stanley,H,9-0,9,0,Football League,League,3,Peter Farrell
1958/59,46,Tommy Eglington,1,1959-04-18,Accrington Stanley,H,9-0,9,0,Football League,League,3,Peter Farrell
1958/59,46,OG,2,1959-04-18,Accrington Stanley,H,9-0,9,0,Football League,League,3,Peter Farrell
1959/60,1,Ken Finney,1,1959-08-22,Accrington Stanley,H,5-1,5,1,Football League,League,3,Peter Farrell
1959/60,1,Tony Rowley,1,1959-08-22,Accrington Stanley,H,5-1,5,1,Football League,League,3,Peter Farrell
1959/60,1,Tommy Eglington,3,1959-08-22,Accrington Stanley,H,5-1,5,1,Football League,League,3,Peter Farrell
1959/60,3,Tommy Eglington,1,1959-08-29,Bournemouth and Boscombe Athletic,A,1-2,1,2,Football League,League,3,Peter Farrell
1959/60,5,Wilf Charlton,1,1959-09-05,Port Vale,H,6-0,6,0,Football League,League,3,Peter Farrell
1959/60,5,Ken Finney,1,1959-09-05,Port Vale,H,6-0,6,0,Football League,League,3,Peter Farrell
