season,game_no,player_name,goals_scored,game_date,opposition,venue,score,goals_for,goals_against,generic_comp,game_type,league_tier,manager
1922/23,3,Jimmy Moreton,1,1922-09-09,Accrington Stanley,H,4-1,4,1,Football League,League,3,Bert Cooke
1922/23,3,Bernard Sharkey,1,1922-09-09,Accrington Stanley,H,4-1,4,1,Football League,League,3,Bert Cooke
1922/23,4,Billy Rainford,1,1922-09-16,Accrington Stanley,A,1-4,1,4,Football League,League,3,Bert Cooke
1922/23,5,Billy Rainford,1,1922-09-23,Halifax Town,A,1-3,1,3,Football League,League,3,Bert Cooke
1922/23,6,Billy Rainford,1,1922-09-30,Halifax Town,H,2-1,2,1,Football League,League,3,Bert Cooke
1922/23,6,Jabez Evans,1,1922-09-30,Halifax Town,H,2-1,2,1,Football League,League,3,Bert Cooke
1922/23,11,Jimmy Moreton,1,1922-11-04,Walsall,H,2-3,2,3,Football League,League,3,Bert Cooke
1922/23,11,OG,1,1922-11-04,Walsall,H,2-3,2,3,Football League,League,3,Bert Cooke
1922/23,12,Jabez Evans,1,1922-11-11,Walsall,A,1-2,1,2,Football League,League,3,Bert Cooke
1922/23,17,Bob Thompson,1,1922-12-23,Chesterfield,H,2-3,2,3,Football League,League,3,Bert Cooke
1922/23,17,Bernard Sharkey,1,1922-12-23,Chesterfield,H,2-3,2,3,Football League,League,3,Bert Cooke
1922/23,18,Fred Hayes,1,1922-12-25,Ashington,H,1-0,1,0,Football League,League,3,Bert Cooke
1922/23,22,James Robinson,1,1923-01-06,Crewe Alexandra,H,1-2,1,2,Football League,League,3,Bert Cooke
1922/23,23,Johnny Campbell,1,1923-01-13,Durham City,H,5-1,5,1,Football League,League,3,Bert Cooke
1922/23,23,Sammy Beswick,1,1923-01-13,Durham City,H,5-1,5,1,Football League,League,3,Bert Cooke
1922/23,23,Harold Hilton,2,1923-01-13,Durham City,H,5-1,5,1,Football League,League,3,Bert Cooke
1922/23,23,Jabez Evans,1,1923-01-13,Durham City,H,5-1,5,1,Football League,League,3,Bert Cooke
1922/23,25,George Crowther,1,1923-01-27,Grimsby Town,H,3-2,3,2,Football League,League,3,Bert Cooke
1922/23,25,Jabez Evans,2,1923-01-27,Grimsby Town,H,3-2,3,2,Football League,League,3,Bert Cooke
1922/23,26,Sammy Beswick,1,1923-02-03,Lincoln City,H,2-0,2,0,Football League,League,3,Bert Cooke
1922/23,26,OG,1,1923-02-03,Lincoln City,H,2-0,2,0,Football League,League,3,Bert Cooke
1922/23,28,Bob Thompson,1,1923-02-17,Hartlepools United,H,1-1,1,1,Football League,League,3,Bert Cooke
1922/23,29,Sammy Beswick,1,1923-02-24,Hartlepools United,A,1-0,1,0,Football League,League,3,Bert Cooke
1922/23,30,Sammy Beswick,1,1923-03-03,Darlington,H,2-2,2,2,Football League,League,3,Bert Cooke
1922/23,30,George Crowther,1,1923-03-03,Darlington,H,2-2,2,2,Football League,League,3,Bert Cooke
1922/23,32,Stan Sayer,1,1923-03-17,Wrexham,A,1-2,1,2,Football League,League,3,Bert Cooke
1922/23,33,Sammy Beswick,2,1923-03-24,Wrexham,H,4-0,4,0,Football League,League,3,Bert Cooke
1922/23,33,Stan Sayer,2,1923-03-24,Wrexham,H,4-0,4,0,Football League,League,3,Bert Cooke
1922/23,34,Sammy Beswick,1,1923-03-30,Wigan Borough,H,4-2,4,2,Football League,League,3,Bert Cooke
1922/23,34,Stan Sayer,2,1923-03-30,Wigan Borough,H,4-2,4,2,Football League,League,3,Bert Cooke
1922/23,34,John Lomax,1,1923-03-30,Wigan Borough,H,4-2,4,2,Football League,League,3,Bert Cooke
1922/23,35,Johnny Campbell,1,1923-04-02,Southport,H,2-0,2,0,Football League,League,3,Bert Cooke
1922/23,35,Stan Sayer,1,1923-04-02,Southport,H,2-0,2,0,Football League,League,3,Bert Cooke
1922/23,36,Stan Sayer,1,1923-04-07,Rochdale,H,2-0,2,0,Football League,League,3,Bert Cooke
1922/23,36,John Lomax,1,1923-04-07,Rochdale,H,2-0,2,0,Football League,League,3,Bert Cooke
1922/23,37,Stan Sayer,1,1923-04-14,Barrow,A,1-2,1,2,Football League,League,3,Bert Cooke
1922/23,38,Bob Thompson,1,1923-04-21,Barrow,H,3-0,3,0,Football League,League,3,Bert Cooke
1922/23,38,Sammy Beswick,1,1923-04-21,Barrow,H,3-0,3,0,Football League,League,3,Bert Cooke
1922/23,38,Stan Sayer,1,1923-04-21,Barrow,H,3-0,3,0,Football League,League,3,Bert Cooke
1922/23,39,OG,1,1923-04-28,Ashington,A,1-3,1,3,Football League,League,3,Bert Cooke
1923/24,1,Johnny Campbell,1,1923-08-25,Grimsby Town,H,2-1,2,1,Football League,League,3,Bert Cooke
1923/24,1,Stan Sayer,1,1923-08-25,Grimsby Town,H,2-1,2,1,Football League,League,3,Bert Cooke
1923/24,4,Stan Sayer,1,1923-09-06,Halifax Town,H,3-0,3,0,Football League,League,3,Bert Cooke
1923/24,4,Bert Cartman,2,1923-09-06,Halifax Town,H,3-0,3,0,Football League,League,3,Bert Cooke
1923/24,5,Stan Sayer,1,1923-09-08,Southport,H,1-1,1,1,Football League,League,3,Bert Cooke
1923/24,6,Sammy Beswick,1,1923-09-15,Southport,A,1-1,1,1,Football League,League,3,Bert Cooke
1923/24,7,Jack Brown,2,1923-09-22,Barrow,H,3-0,3,0,Football League,League,3,Bert Cooke
1923/24,7,Stan Sayer,1,1923-09-22,Barrow,H,3-0,3,0,Football League,League,3,Bert Cooke
1923/24,8,Stan Sayer,1,1923-09-29,Barrow,A,1-1,1,1,Football League,League,3,Bert Cooke
1923/24,10,Stan Sayer,1,1923-10-13,New Brighton,H,1-2,1,2,Football League,League,3,Bert Cooke
1923/24,11,Bert Cartman,1,1923-10-20,Lincoln City,H,1-3,1,3,Football League,League,3,Bert Cooke
1923/24,12,Stan Sayer,1,1923-10-27,Lincoln City,A,1-1,1,1,Football League,League,3,Bert Cooke
1923/24,13,Jack Brown,1,1923-11-03,Darlington,H,1-4,1,4,Football League,League,3,Bert Cooke
1923/24,14,Stan Sayer,1,1923-11-10,Darlington,A,1-4,1,4,Football League,League,3,Bert Cooke
1923/24,15,Harold Hilton,1,1923-11-17,Ellesmere Port,H,1-0,1,0,FA Cup,Cup,NA,Bert Cooke
1923/24,17,Jack Brown,2,1923-12-01,Coventry City,A,2-2,2,2,FA Cup,Cup,NA,Bert Cooke
1923/24,18,Stan Sayer,3,1923-12-06,Coventry City,H,3-2,3,2,FA Cup,Cup,NA,Bert Cooke
