season,game_no,game_date,player_name,shirt_no,role,min_on,min_off
1995/96,9,1995-09-23,John Aldridge,8,starter,,89.0
1995/96,9,1995-09-23,Shaun Garnett,5,starter,,85.0
1995/96,9,1995-09-23,Ian Moore,12,sub,85.0,
1995/96,10,1995-09-30,Gary Stevens,2,starter,,75.0
1995/96,10,1995-09-30,Pat Nevin,11,starter,,25.0
1995/96,10,1995-09-30,Ian Moore,12,sub,75.0,
1995/96,10,1995-09-30,Jon Kenworthy,14,sub,25.0,
1995/96,12,1995-10-07,Ian Moore,12,sub,82.0,
1995/96,12,1995-10-07,Gary Bennett,9,starter,,82.0
1995/96,13,1995-10-14,John Aldridge,8,starter,,81.0
1995/96,13,1995-10-14,Graham Branch,12,sub,81.0,
1995/96,15,1995-10-24,Gary Bennett,9,starter,,74.0
1995/96,15,1995-10-24,Graham Branch,12,sub,74.0,
1995/96,18,1995-11-08,Gary Bennett,9,starter,,74.0
1995/96,18,1995-11-08,Graham Branch,14,sub,74.0,
1995/96,19,1995-11-19,Graham Branch,12,sub,75.0,
1995/96,19,1995-11-19,Ian Moore,10,starter,,75.0
1995/96,20,1995-11-22,Kenny Irons,14,sub,84.0,
1995/96,20,1995-11-22,Gary Stevens,2,starter,,84.0
1995/96,21,1995-11-25,Graham Branch,12,sub,83.0,
1995/96,21,1995-11-25,Pat Nevin,11,starter,,83.0
1995/96,21,1995-11-25,Kenny Irons,2,starter,,63.0
1995/96,21,1995-11-25,Alan Rogers,14,sub,63.0,
1995/96,22,1995-12-02,Shaun Garnett,5,starter,,76.0
1995/96,22,1995-12-02,Graham Branch,12,sub,82.0,
1995/96,22,1995-12-02,Gary Bennett,9,starter,,82.0
1995/96,22,1995-12-02,Liam O'Brien,14,sub,76.0,
1995/96,23,1995-12-09,Graham Branch,8,starter,,67.0
1995/96,23,1995-12-09,Johnny Morrissey,14,sub,67.0,
1995/96,23,1995-12-09,Gary Jones,6,starter,,60.0
1995/96,23,1995-12-09,Liam O'Brien,12,sub,60.0,
1995/96,24,1995-12-16,Pat Nevin,11,starter,,79.0
1995/96,24,1995-12-16,Ian Moore,10,starter,,51.0
1995/96,24,1995-12-16,Kenny Irons,14,sub,79.0,
1995/96,24,1995-12-16,Liam O'Brien,12,sub,51.0,
1995/96,26,1995-12-26,Johnny Morrissey,14,sub,57.0,
1995/96,26,1995-12-26,Gary Bennett,9,starter,,57.0
1995/96,27,1996-01-01,Pat Nevin,11,starter,,83.0
1995/96,27,1996-01-01,Johnny Morrissey,14,sub,83.0,
1995/96,28,1996-01-06,Liam O'Brien,12,sub,70.0,
1995/96,28,1996-01-06,Gary Jones,6,starter,,70.0
1995/96,29,1996-01-13,Kenny Irons,10,starter,,46.0
1995/96,29,1996-01-13,Gary Jones,12,sub,46.0,
1995/96,29,1996-01-13,Graham Branch,11,starter,,89.0
1995/96,29,1996-01-13,Steve Mungall,14,sub,89.0,
1995/96,30,1996-01-20,Graham Branch,14,sub,77.0,
1995/96,30,1996-01-20,Dave Higgins,10,starter,,77.0
1995/96,31,1996-01-30,Steve Mungall,12,sub,77.0,
1995/96,31,1996-01-30,Liam O'Brien,6,starter,,77.0
1995/96,31,1996-01-30,Pat Nevin,11,starter,,84.0
1995/96,31,1996-01-30,Graham Branch,14,sub,84.0,
1995/96,32,1996-02-03,Liam O'Brien,6,starter,,19.0
1995/96,32,1996-02-03,Graham Branch,12,sub,19.0,
1995/96,32,1996-02-03,Alan Mahon,14,sub,81.0,
1995/96,32,1996-02-03,Steve Mungall,7,starter,,81.0
1995/96,33,1996-02-10,Graham Branch,12,sub,77.0,
1995/96,33,1996-02-10,Pat Nevin,11,starter,,77.0
1995/96,33,1996-02-10,Alan Mahon,14,sub,70.0,
1995/96,33,1996-02-10,Tony Thomas,3,starter,,46.0
1995/96,33,1996-02-10,Johnny Morrissey,13,sub,46.0,
1995/96,33,1996-02-10,Kenny Irons,10,starter,,70.0
1995/96,34,1996-02-17,John McGreal,4,starter,,81.0
1995/96,34,1996-02-17,Shaun Garnett,13,sub,81.0,
1995/96,35,1996-02-20,Graham Branch,11,starter,,83.0
1995/96,35,1996-02-20,Johnny Morrissey,13,sub,83.0,
1995/96,36,1996-02-24,Shaun Garnett,5,starter,,46.0
1995/96,36,1996-02-24,Steve Mungall,12,sub,46.0,
1995/96,36,1996-02-24,Liam O'Brien,6,starter,,77.0
1995/96,36,1996-02-24,Gary Jones,14,sub,77.0,
1995/96,36,1996-02-24,Gary Bennett,9,starter,,77.0
1995/96,36,1996-02-24,Johnny Morrissey,13,sub,77.0,
1995/96,37,1996-03-03,Alan Rogers,4,starter,,90.0
1995/96,37,1996-03-03,Paul Cook,6,starter,,68.0
1995/96,37,1996-03-03,Dave Higgins,13,sub,90.0,
1995/96,37,1996-03-03,Kenny Irons,12,sub,68.0,
1995/96,37,1996-03-03,Graham Branch,11,starter,,87.0
1995/96,37,1996-03-03,Gary Bennett,14,sub,87.0,
1995/96,38,1996-03-09,Johnny Morrissey,13,sub,69.0,
1995/96,38,1996-03-09,Graham Branch,11,starter,,69.0
1995/96,38,1996-03-09,Kenny Irons,12,sub,46.0,
1995/96,38,1996-03-09,Gary Stevens,2,starter,,46.0
1995/96,39,1996-03-12,Graham Branch,11,starter,,80.0
1995/96,39,1996-03-12,Gary Bennett,14,sub,80.0,
1995/96,40,1996-03-16,Graham Branch,11,starter,,76.0
1995/96,40,1996-03-16,Gary Bennett,14,sub,76.0,
1995/96,40,1996-03-16,Kenny Irons,12,sub,90.0,
1995/96,40,1996-03-16,Pat Nevin,9,starter,,90.0
1995/96,41,1996-03-23,Kenny Irons,12,sub,89.0,
1995/96,41,1996-03-23,Pat Nevin,9,starter,,89.0
1995/96,41,1996-03-23,Tony Thomas,3,starter,,58.0
1995/96,41,1996-03-23,Johnny Morrissey,13,sub,58.0,
1995/96,42,1996-03-30,Kenny Irons,3,starter,,81.0
1995/96,42,1996-03-30,Graham Branch,12,sub,81.0,
1995/96,43,1996-04-02,Gary Jones,14,sub,85.0,
1995/96,43,1996-04-02,Paul Cook,6,starter,,77.0
1995/96,43,1996-04-02,Kenny Irons,12,sub,77.0,
1995/96,43,1996-04-02,Graham Branch,11,starter,,85.0
1995/96,44,1996-04-06,Graham Branch,14,sub,57.0,
1995/96,44,1996-04-06,Kenny Irons,3,starter,,57.0
1995/96,45,1996-04-08,Jon Kenworthy,13,sub,83.0,
1995/96,45,1996-04-08,Graham Branch,11,starter,,83.0
1995/96,46,1996-04-13,John Aldridge,8,starter,,82.0
1995/96,46,1996-04-13,Liam O'Brien,12,sub,82.0,
1995/96,46,1996-04-13,Kenny Irons,11,starter,,82.0
1995/96,46,1996-04-13,Gary Jones,14,sub,82.0,
1995/96,46,1996-04-13,Jon Kenworthy,13,sub,75.0,
1995/96,46,1996-04-13,Johnny Morrissey,7,starter,,75.0
1995/96,47,1996-04-17,Alan Rogers,3,starter,,80.0
1995/96,47,1996-04-17,Alan Morgan,14,sub,80.0,
1995/96,47,1996-04-17,Johnny Morrissey,7,starter,,79.0
1995/96,47,1996-04-17,Pat Nevin,13,sub,79.0,
1995/96,48,1996-04-20,Kenny Irons,11,starter,,66.0
1995/96,48,1996-04-20,Alan Morgan,14,sub,66.0,
1995/96,48,1996-04-20,John Aldridge,8,starter,,75.0
1995/96,48,1996-04-20,Gary Jones,13,sub,75.0,
1995/96,49,1996-04-27,Pat Nevin,9,starter,,16.0
1995/96,49,1996-04-27,Alan Morgan,14,sub,16.0,
1995/96,49,1996-04-27,John Aldridge,8,starter,,86.0
1995/96,49,1996-04-27,Ian Moore,13,sub,86.0,
1995/96,50,1996-04-30,Alan Morgan,14,sub,62.0,
1995/96,50,1996-04-30,John Aldridge,8,starter,,85.0
1995/96,50,1996-04-30,Ian Moore,13,sub,85.0,
1995/96,50,1996-04-30,Alan Rogers,3,starter,,62.0
1995/96,51,1996-05-05,Kenny Irons,11,starter,,76.0
1995/96,51,1996-05-05,Ian Moore,12,sub,76.0,
