game_date,player_name,goal_min,penalty
1995-02-25,Ian Muir,79,
1995-02-25,John Aldridge,90,
1995-03-05,Shaun Garnett,81,
1995-03-11,Johnny Morrissey,20,
1995-03-11,John Aldridge,44,pen
1995-03-25,Chris Malkin,82,
1995-04-01,Chris Malkin,2,
1995-04-01,John Aldridge,13,
1995-04-01,John Aldridge,34,
1995-04-01,Kenny Irons,71,
1995-04-08,John Aldridge,40,pen
1995-04-14,Pat Nevin,34,
1995-04-30,John Aldridge,66,pen
1995-05-03,John Aldridge,34,
1995-05-07,Kenny Irons,45,
1995-05-14,Chris Malkin,15,
1995-08-12,Liam O'Brien,52,
1995-08-12,John Aldridge,81,
1995-08-19,John Aldridge,42,
1995-08-19,John Aldridge,87,
1995-08-26,Liam O'Brien,73,
1995-08-26,John Aldridge,78,
1995-08-26,Ian Moore,86,
1995-08-29,John Aldridge,58,
1995-09-12,Gary Bennett,19,
1995-09-12,John Aldridge,68,
1995-09-19,John Aldridge,50,
1995-09-23,Pat Nevin,56,
1995-09-23,Gary Bennett,61,
1995-09-30,Gary Bennett,28,
1995-09-30,John Aldridge,76,
1995-10-04,Gary Jones,13,
1995-10-04,Ged Brannan,53,
1995-10-04,Gary Jones,78,
1995-10-07,John Aldridge,3,
1995-10-14,Ian Moore,58,
1995-10-14,Gary Bennett,90,pen
1995-10-21,Ian Moore,42,
1995-10-21,Gary Bennett,80,
1995-10-21,Ian Moore,90,
1995-10-24,Ian Moore,75,
1995-10-29,Ian Moore,46,
1995-11-04,Pat Nevin,13,
1995-11-04,Ian Moore,24,
1995-11-04,John Aldridge,31,
1995-11-04,Gary Bennett,80,
1995-11-04,John Aldridge,86,
1995-11-08,John Aldridge,90,
1995-11-19,Ian Moore,66,
1995-11-22,John Aldridge,31,
1995-11-22,John Aldridge,79,
1995-12-02,Gary Jones,1,
1995-12-02,Gary Bennett,2,
1995-12-09,Ian Moore,81,
1995-12-26,John Aldridge,67,
1995-12-26,John Aldridge,71,
1996-01-13,Ian Moore,85,
1996-01-20,John Aldridge,55,
1996-02-10,John Aldridge,76,
1996-02-17,Graham Branch,57,
1996-02-20,Gary Bennett,13,
1996-02-20,John Aldridge,25,
1996-03-03,Pat Nevin,18,
1996-03-03,John Aldridge,52,
1996-03-09,John Aldridge,40,
1996-03-09,Alan Rogers,70,
1996-03-12,Graham Branch,40,
1996-03-16,John Aldridge,83,
1996-03-16,Gary Bennett,84,
1996-03-23,John Aldridge,23,
1996-03-23,OG,61,
1996-04-02,Alan Rogers,47,
1996-04-02,John Aldridge,59,pen
1996-04-06,John Aldridge,60,
1996-04-08,Paul Cook,5,
1996-04-08,John Aldridge,81,pen
1996-04-13,OG,61,
1996-04-17,Liam O'Brien,30,
1996-04-17,Kenny Irons,61,
1996-04-17,Kenny Irons,63,
1996-04-17,John Aldridge,81,
1996-04-17,Alan Morgan,90,
1996-04-20,Liam O'Brien,70,
1996-04-27,John Aldridge,46,
1996-05-05,Kenny Irons,37,
1996-05-05,John Aldridge,57,pen
