position,ssn_join,ssn_lve,lge_apps,lge_sub,lge_gls,fac_apps,fac_sub,fac_gls,lc_apps,lc_sub,lc_gls,other_apps,other_sub,other_gls,total_apps,total_subs,total_gls,prev_club,next_club
IR,36,36,6,0,1,0,0,0,0,0,0,0,0,0,6,0,1,West Bromwich Albion,Walsall
OL,23,29,217,0,32,17,0,1,0,0,0,0,0,0,234,0,33,Manchester United,Chorley
CH,46,47,9,0,1,0,0,0,0,0,0,0,0,0,9,0,1,Local,""
LB,32,32,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,Planter's FC,""
HB,67,69,49,3,5,3,2,0,7,0,1,0,0,0,59,5,6,Holyhead Town,""
IL,37,38,51,0,9,1,0,0,0,0,0,0,0,0,52,0,9,Manchester City,Dundalk
OR,47,48,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,Rochdale,Goslings
CD,96,96,4,1,0,0,0,0,0,0,0,0,0,0,4,1,0,Bromborough Pool,""
OL,25,25,23,0,4,2,0,0,0,0,0,0,0,0,25,0,4,Liverpool,""
G,87,87,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,Everton (loan),""
IL,25,29,130,0,72,7,0,2,0,0,0,0,0,0,137,0,74,Cardiff City,Workington
WH,57,60,92,0,4,6,0,0,3,0,0,0,0,0,101,0,4,Southport,Sankeys
HB,23,24,17,0,0,1,0,0,0,0,0,0,0,0,18,0,0,Liverpool,""
RH,32,34,6,0,0,1,0,0,0,0,0,0,0,0,7,0,0,New Brighton,Sheffield Wednesday
CH,35,38,104,0,1,4,0,0,0,0,0,0,0,0,108,0,1,Everton,Gillingham
CF,84,84,45,0,22,2,0,3,2,0,1,4,0,3,53,0,29,Peterborough United,Bournemouth
G,59,60,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,Manchester United,Sankeys
F,84,85,47,0,35,3,0,2,2,0,2,3,0,1,55,0,40,Chesterfield,Plymouth Argyle
MF,76,78,44,6,4,1,0,0,0,0,0,0,0,0,45,6,4,Chicago Stings,Rochdale
FB,56,56,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,Blackburn Rovers,""
OL,62,63,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,Ellesmere Port Town,Preston North End
G,88,91,4,0,0,1,0,0,0,0,0,0,0,0,5,0,0,Ellesmere Port Town,Accrington Stanley
WH,61,61,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,Southampton,Aldershot
RB,30,30,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,St Johnstone,""
FB,47,48,46,0,3,2,0,0,0,0,0,0,0,0,48,0,3,Bolton Wanderers,""
LB,62,64,103,0,1,6,0,0,5,0,1,0,0,0,114,0,2,Bury,""
OR,21,22,19,0,0,2,0,2,0,0,0,0,0,0,21,0,2,South Liverpool,""
FB,31,31,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Everton,Carlisle United
MF,95,95,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,Coventry City (loan),""
MF,95,96,40,6,4,1,0,0,4,0,0,0,0,0,45,6,4,Coventry City,""
F,90,92,19,16,5,3,1,0,0,1,0,3,3,1,25,21,6,Barnsley,York City
OR,73,74,35,3,10,4,0,1,3,0,0,0,0,0,42,3,11,Liverpool University,Manchester United
IF,46,47,8,0,2,0,0,0,0,0,0,0,0,0,8,0,2,Local,""
G,92,96,78,1,0,1,0,0,8,0,0,1,0,0,88,1,0,YTS,""
F,71,71,12,3,3,0,0,0,0,0,0,0,0,0,12,3,3,Local,Hartlepool United
F,92,92,9,5,1,0,0,0,0,0,0,0,0,0,9,5,1,Glasgow Celtic,Motherwell
MF,77,81,106,8,18,4,3,1,10,3,1,0,0,0,120,14,20,Local,Crewe Alexandra
MF,87,87,6,7,0,0,0,0,2,0,0,0,1,0,8,8,0,Caemarfon Town,Caemarfon Town
WH,65,66,24,2,5,1,0,0,2,0,0,0,0,0,27,2,5,Blackpool,Fleetwood
RH,24,24,19,0,0,2,0,0,0,0,0,0,0,0,21,0,0,Wolves,Pontypridd
WH,35,35,12,0,2,0,0,0,0,0,0,0,0,0,12,0,2,Crystal Palace,Northwich Victoria
IL,29,29,18,0,4,0,0,0,0,0,0,0,0,0,18,0,4,Guildford City,Guildford City
IF,57,57,39,0,6,3,0,0,0,0,0,0,0,0,42,0,6,Blackburn Rovers,Cork Hibernian
F,69,75,186,17,37,16,0,6,7,3,2,0,0,0,209,20,45,Preston North End,Chester
CF,22,22,10,0,2,0,0,0,0,0,0,0,0,0,10,0,2,Hartlepools United,""
RB,30,30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Carlton,""
G,66,69,136,0,0,10,0,0,10,0,0,0,0,0,156,0,0,Runcorn,West Bromwich Albion
IL,21,21,32,0,6,2,0,0,0,0,0,0,0,0,34,0,6,Stockport County,Ashton National
G,37,38,52,0,0,4,0,0,0,0,0,0,0,0,56,0,0,Blackpool,Hull City
IF,47,47,17,0,7,0,0,0,0,0,0,0,0,0,17,0,7,Bristol Rovers,Shrewsbury Town
WH,34,35,21,0,0,4,0,0,0,0,0,0,0,0,25,0,0,Stoke City,Boston Town
FB,72,72,7,1,1,0,0,0,1,0,0,0,0,0,8,1,1,Everton,""
CH,31,31,7,0,0,3,0,0,0,0,0,0,0,0,10,0,0,West Bromwich Albion,Crook Town
G,86,86,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,Bradford City (loan),""
G,83,83,42,0,0,2,0,0,2,0,0,5,0,0,51,0,0,Swansea City,Bangor City
RH,36,38,44,0,1,1,0,0,0,0,0,0,0,0,45,0,1,Heswall,York City
IF,53,53,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Local,""
IF,51,57,120,0,28,16,0,1,0,0,0,0,0,0,136,0,29,Local,""
RB,25,25,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,Stoke City,Accrington Stanley
IR,37,37,10,0,6,0,0,0,0,0,0,0,0,0,10,0,6,Oldham Athletic,Cork City
LB,33,35,77,0,0,6,0,0,0,0,0,0,0,0,83,0,0,Manchester United,Retired
RH,38,38,32,0,0,1,0,0,0,0,0,0,0,0,33,0,0,Southampton,Swindon Town
CF,23,24,30,0,27,3,0,0,0,0,0,0,0,0,33,0,27,Pensby Institute,Everton
OR,35,38,105,0,29,5,0,2,0,0,0,0,0,0,110,0,31,Manchester City,Carlisle United
w,61,61,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Blackpool,Southport
FB,67,71,52,2,1,6,0,0,5,0,0,0,0,0,63,2,1,Local,""
CF,50,52,34,0,17,1,0,0,0,0,0,0,0,0,35,0,17,Bolton Wanderers,Truro City
CF,30,32,83,0,53,9,0,6,0,0,0,0,0,0,92,0,59,Nelson,""
IL,38,38,31,0,7,0,0,0,0,0,0,0,0,0,31,0,7,Newcastle United,Hartlepools United
RB,33,36,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,Port Sunlight Gym,South Liverpool
CF,56,59,63,0,22,1,0,1,0,0,0,0,0,0,64,0,23,Upton FC,Bangor City
CF,52,54,87,0,61,10,0,14,0,0,0,0,0,0,97,0,75,Liverpool,Port Vale
CF,50,50,4,0,2,0,0,0,0,0,0,0,0,0,4,0,2,Bradford City,Bangor City
OL,37,37,7,0,2,1,0,1,0,0,0,0,0,0,8,0,3,Leicester City,Waterford
IF,71,72,29,4,2,0,0,0,0,0,0,0,0,0,29,4,2,Brighton & Hove Albion,Darlington
IF,62,66,174,0,100,2,0,0,7,0,6,0,0,0,183,0,106,Bury,Crystal Palace
IL,48,52,154,0,12,5,0,0,0,0,0,0,0,0,159,0,12,Liverpool,Accrington Stanley
D,78,78,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Local,Telford United
OL,34,38,139,0,30,7,0,1,0,0,0,0,0,0,146,0,31,Darlington,New Brighton
CH,79,80,62,0,1,4,0,0,8,0,1,0,0,0,74,0,2,Wrexham,Runcorn
LH,62,63,34,0,2,0,0,0,2,0,0,0,0,0,36,0,2,Chester,Barrow
MF,94,94,2,1,0,0,0,0,0,2,0,3,0,0,5,3,0,YTS,""
D,84,86,70,0,6,5,0,1,2,0,0,6,0,0,83,0,7,Rochdale,Oswestry
RH,36,36,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Colwyn Bay United,Everton
OL,57,60,171,0,36,8,0,3,2,0,1,0,0,0,181,0,40,Everton,Cork Hibernian
OR,49,50,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"",""
G,81,82,79,0,0,6,0,0,9,0,0,0,0,0,94,0,0,Ipswich Town,Swindon Town
CF,63,63,12,0,5,1,0,0,0,0,0,0,0,0,13,0,5,Oxford United,Crewe Alexandra
