position,ssn_join,ssn_lve,lge_apps,lge_sub,lge_gls,fac_apps,fac_sub,fac_gls,lc_apps,lc_sub,lc_gls,other_apps,other_sub,other_gls,total_apps,total_subs,total_gls,prev_club,next_club
LB,21,21,17,0,0,0,0,0,0,0,0,0,0,0,17,0,0,Local,New Briohton
G,87,87,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,Manchester City (loan),""
G,88,96,344,0,0,19,0,0,34,0,0,34,1,0,431,1,0,Manchester City,""
FB,91,93,91,1,1,7,0,0,10,0,1,5,0,0,113,1,2,Marine,Sheffield Wednesday
MF,93,96,117,5,7,4,1,1,11,0,0,2,0,0,134,6,8,Newcastle United,""
OR,27,27,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Gillinahan,Darlington
MF,78,79,74,0,10,5,0,2,6,0,1,0,0,0,85,0,13,Southport,Halifac Town
G,86,86,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,Blackpool (loan),""
G,86,87,38,0,0,2,0,0,2,0,0,2,0,0,44,0,0,Blackpool,ICI Thornton
CH,38,38,17,0,0,0,0,0,0,0,0,0,0,0,17,0,0,Port Vale,""
D,82,82,17,0,1,0,0,0,0,0,0,0,0,0,17,0,1,Sheffield Wednesday (loan),Sheffield Wednesday
F,60,60,13,0,8,1,0,0,2,0,1,0,0,0,16,0,9,Nigeria,Holyhead Town
LB,36,38,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,Hoy1ake,Everton
CF,35,35,6,0,4,0,0,0,0,0,0,0,0,0,6,0,4,Manchester City,Newport County
HB,63,63,5,0,0,1,0,0,0,0,0,0,0,0,6,0,0,Bolton Wanderers,""
MF,73,79,177,13,25,8,0,0,16,1,0,0,0,0,201,14,25,Local,Crewe Alexandra
MF,82,84,55,4,7,3,0,0,1,1,0,4,3,1,63,8,8,Crewe Alexandra,Bangor City
CF,55,56,4,0,3,0,0,0,0,0,0,0,0,0,4,0,3,Local,""
RB,64,66,105,0,2,6,0,1,5,0,0,0,0,0,116,0,3,Everton,Bury
OL,67,67,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Blackpool,Haifax Town
