position,ssn_join,ssn_lve,lge_apps,lge_sub,lge_gls,fac_apps,fac_sub,fac_gls,lc_apps,lc_sub,lc_gls,other_apps,other_sub,other_gls,total_apps,total_subs,total_gls,prev_club,next_club
CD,72,83,254,4,4,13,0,0,18,0,0,0,0,0,285,4,4,Local,""
WH,46,48,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,Local,""
G,46,60,439,0.,0,25,0,0,3,0,0,0,0,0,467,0,0,Army,Northwich Victoria
OR,32,33,30,0,0,3,0,1,0,0,0,0,0,0,33,0,1,Shaftesbury B.C,Bournemouth
IL,33,33,2,0,1,0,0,0,0,0,0,0,0,0,2,0,1,Rainhill,""
OR,73,80,232,16,44,11,0,1,12,1,2,0,0,0,255,17,47,Nottingham Forest,""
RB,38,38,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,Wolves,""
LH,22,22,18,0,1,1,0,0,0,0,0,0,0,0,19,0,1,Reddich,Wallasey United
CH,74,77,174,1,5,8,0,0,9,0,0,0,0,0,191,1,5,Coventry City,USA
CH,83,84,36,0,6,2,0,0,2,0,0,5,0,1,45,0,7,USA,""
OR,45,45,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"",""
LB,89,89,2,0,0,1,0,0,2,0,0,0,0,0,5,0,0,Sheffield United (loan),""
RB·,32,36,173,0,0,16,0,0,0,0,0,0,0,0,189,0,0,Huyton Quarry,Northampton Town
G,84,84,8,0,0,1,0,0,0,0,0,1,0,0,10,0,0,Bolon Wanderers (loan),""
FB,67,70,41,6,0,0,0,0,7,0,0,0,0,0,48,6,0,Local,""
OL,47,48,24,0,1,2,0,0,0,0,0,0,0,0,26,0,1,Newport County,Wigan Athletic
G,35,36,22,0,0,0,0,0,0,0,0,0,0,0,22,0,0,Notts County,Crewe Alexandra
D,75,79,31,2,1,0,1,0,3,2,0,0,0,0,34,5,1,Local,Australia
MF,80,84,76,10,4,3,3,1,5,0,0,5,0.,0,89,13,5,Local,""
OL,21,21,23,0,3,2,0,2,0,0,0,0,0,0,25,0,5,Swansea Town,Hurst
CF,46,46,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,St Annes,""
CF,60,60,3,0,2,0,0,0,0,0,0,0,0,0,3,0,2,Aston Vila,Hartlepools United
CH,46,46,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Local,Rochdale
MF,62,69,176,2,29,16,0,0,12,0,2,0,0,0,204,2,31,Liverpool,Elesmere Port Town
FB,72,73,13,1,0,0,0,0,0,0,0,0,0,0,13,1,0,Everton,Southport
MF,92,92,15,0,2,0,0,0,0,0,0,0,0,0,15,0,2,Middlesbrough (loan),""
MF,93,94,18,0,0,1,0,0,1,0,0,0,1,0,20,1,0,Middlesbrough,""
IL,25,26,56,0,13,3,0,1,0,0,0,0,0,0,59,0,14,Leicester City,Halifax Town
F,82,82,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,Bournemouth,""
IL,21,22,21,0,6,1,0,0,0,0,0,0,0,0,22,0,6,Manchester United,Wallasey United
CF,22,22,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Sheffield Wednesday,""
OL,56,56,9,0,4,1,0,0,0,0,0,0,0,0,10,0,4,Llanidloes,Machynlleth
IL,46,46,5,0,1,0,0,0,0,0,0,0,0,0,5,0,1,Bradford City,""
CH,45,45,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,"",""
OL,28,28,5,0,1,0,0,0,0,0,0,0,0,0,5,0,1,Cardiff City,""
CF,28,29,17,0,13,2,0,0,0,0,0,0,0,0,19,0,13,Heswall,Manchester City
CF,35,35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Northampton Town,Oldham Athletic
LB,28,28,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Cardiff City,""
G,45,45,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"",""
OL,24,27,62,0,20,4,0,2,0,0,0,0,0,0,66,0,22,Whitchurch,Sheffield Wednesday
IR,25,25,6,0,1,0,0,0,0,0,0,0,0,0,6,0,1,Huddersfield Town,Winsford
G,68,69,8,0,0,0,0,0,1,0,0,0,0,0,9,0,0,Harrowby,""
LB,32,32,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Bromborough Pool,""
OL,21,21,32,0,1,2,0,0,0,0,0,0,0,0,34,0,1,Everton,Crewe Alexandra
OL,62,63,56,0,2,1,0,0,3,0,0,0,0,0,60,0,2,Wrexham,Oswestry
FB,64,68,143,4,1,5,0,0,9,0,0,0,0,0,157,4,1,Wrexham,""
CF,36,36,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Local,""
IR,21,21,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,Everton,Wallasey United
OL,22,23,7,0,1,1,0,0,0,0,0,0,0,0,8,0,1,Manchester United,""
s,85,85,4,0,3,0,0,0,0,0,0,0,0,0,4,0,3,Huddersfield Town (loan),""
MF,84,85,55,3,5,6,0,1,3,0,0,3,0,0,67,3,6,Blackpool,Burnley
LB,95,96,53,4,2,1,0,0,1,0,0,0,0,0,55,4,2,YTS,NottinRham Forest
G,32,34,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Liverpool,South Liverpool
IF,38,38,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Liverpool,World War 2
IF,45,46,26,0,8,5,0,4,0,0,0,0,0,0,31,0,12,World War 2,Bradford City
IF,49,51,69,0,24,6,0,4,0,0,0,0,0,0,75,0,28,Oldham Athletic,Bradford City
IF,54,54,21,0,3,2,0,1,0,0,0,0,0,0,23,0,4,Bradford City,Bradford City
IF,23,24,8,0,0,1,0,0,0,0,0,0,0,0,9,0,0,Chester,Northwich Victoria
WH,70,70,6,1,0,0,0,0,0,0,0,0,0,0,6,1,0,"",""
w,68,68,25,1,3,0,0,0,2,0,0,0,0,0,27,1,3,Mansfield Town,""
RB,31,31,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Cardiff City,""
CF,57,60,100,0,45,6,0,3,2,0,1,0,0,0,108,0,49,Liverpool,""
OL,38,38,20,0,2,1,0,0,0,0,0,0,0,0,21,0,2,Notts County,""
MF,71,72,54,1,7,7,0,0,3,0,0,0,0,0,64,1,7,Blackburn Rovers,Crewe Alexandra
LH,24,24,14,0,0,1,0,0,0,0,0,0,0,0,15,0,0,West Kirby,Pontypridd
WH,46,47,30,0,1,1,0,0,0,0,0,0,0,0,31,0,1,Burnley,""
CF,22,24,79,0,29,8,0,4,0,0,0,0,0,0,87,0,33,Millwall,New Brighton
IF,68,69,35,1,0,4,1,2,0,0,0,0,0,0,39,2,2,South Africa,""
