position,ssn_join,ssn_lve,lge_apps,lge_sub,lge_gls,fac_apps,fac_sub,fac_gls,lc_apps,lc_sub,lc_gls,other_apps,other_sub,other_gls,total_apps,total_subs,total_gls,prev_club,next_club
MF,72,74,15,2,0,0,0,0,0,0,0,0,0,0,15,2,0,Local,Luton Town
CH,73,73,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,Formby,""
CH,22,22,34,0,0,1,0,0,0,0,0,0,0,0,35,0,0,Barnsley,Merthyr Town
IR,22,22,22,0,3,1,0,0,0,0,0,0,0,0,23,0,3,Barrow,""
CH,30,30,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,East Fife,East Fife
WH,55,55,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Rhyl,""
RH,30,30,27,0,0,2,0,0,0,0,0,0,0,0,29,0,0,Liverpool,Wigan Borough
G,36,36,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Hoylake,""
CF,46,46,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,Local,""
G,85,85,12,0,0,4,0,0,0,0,0,0,0,0,16,0,0,Stoke City (loan),""
OL,48,48,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Crystal Palace,""
FB,84,85,22,0,1,3,0,0,1,1,0,1,1,0,27,2,1,Oldham Athletic,""
IF,63,68,130,8,17,6,0,0,9,1,1,0,0,0,145,9,18,Liverpool,Watford
IF,72,72,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,Watford,""
IF,60,60,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,Huddersfield Town,Halifax Town
CH,67,69,77,5,21,7,0,2,7,0,1,0,0,0,91,5,24,Everton,""
IF,24,25,35,0,0,2,0,0,0,0,0,0,0,0,37,0,0,Gillingham,Coventry City
LB,88,88,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,Local,""
IL,38,38,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Wolves,""
IR,38,38,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Kirkintilloch Rob Roy,""
OL,54,55,68,0,9,4,0,2,0,0,0,0,0,0,72,0,11,Middlesbrough,Wigan Athletic
LB,30,30,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Local,""
LH,31,38,235,0,3,21,0,0,0,0,0,0,0,0,256,0,3,Local,""
IL,32,33,15,0,2,1,0,2,0,0,0,0,0,0,16,0,4,Aston Villa,Leamington Town
CF,56,56,7,0,3,1,0,0,0,0,0,0,0,0,8,0,3,Sunderland,""
CF,72,72,9,0,1,2,0,0,0,0,0,0,0,0,11,0,1,Coventry City,Portsmouth
WH,65,65,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,Bolton Wanderers,""
CF,87,91,167,13,29,7,1,2,16,2,6,20,0,10,210,16,47,Wrexham,Retired
FB,45,56,311,0,0,27,0,0,0,0,0,0,0,0,338,0,0,Carlton,Burscough
IF,55,56,15,0,5,0,0,0,0,0,0,0,0,0,15,0,5,Everton,Ellesmere Port Town
IF,66,67,28,4,3,6,0,1,1,0,0,0,0,0,35,4,4,Oldham Athletic,""
FB,94,94,3,0,0,0,0,0,1,0,0,1,0,0,5,0,0,Glasgow Rangers (loan),""
